variant,seg,N,sharpe,ann,mdd,cum
base(FY/2Q/3Q),IS,1067,-0.8410510252764786,-20.489523514363032,-69.95567960055034,-62.97931263885739
base(FY/2Q/3Q),OOS,866,1.1313065612383508,26.650327334315282,-32.50354340369096,127.09299180988478
base(FY/2Q/3Q),ALL,1933,0.026182121705749836,0.6295198560225929,-80.38941233566322,-15.928613482997378
all(base+1Q),IS,1128,-0.7839773442365018,-18.03072497564931,-70.10252125616857,-60.38280331254175
all(base+1Q),OOS,917,1.1998600609300356,27.75421263939003,-28.944181024694537,148.94843848200244
all(base+1Q),ALL,2045,0.10822596944278824,2.4997336028304344,-77.89490437307087,-1.373607476228722
