date,pnl
2016-05-11,0.012681033364838709
2016-05-12,0.0218800435001474
2016-05-13,-0.019054128357891543
2016-05-16,-0.03395280973766582
2016-05-17,-0.008224078258701632
2016-05-25,0.005696840206036635
2016-05-26,0.01919046443301102
2016-05-27,-0.009042195811983815
2016-05-30,0.0036770571008437813
2016-06-01,-0.01126191091173686
2016-06-06,0.02047874814802013
2016-06-07,-0.01718473101669833
2016-06-10,-0.0224599638146434
2016-06-13,-0.018686765531340802
2016-06-15,0.0038200674693391135
2016-06-16,-0.038362410340720896
2016-06-17,-0.001586399677218157
2016-06-20,-0.014230610497272192
2016-06-21,0.014791105106173768
2016-06-22,-0.02776971773338472
2016-06-24,0.10210905209384813
2016-06-27,0.023208419832675218
2016-06-28,0.006192277414383739
2016-06-29,0.006273801148095172
2016-06-30,0.01652015563746933
2016-07-01,0.006200967943343527
2016-07-04,-0.03898753207162041
2016-07-06,-0.01012112337410772
2016-07-07,-0.005012982535199936
2016-07-11,-0.02645443613061204
2016-07-12,-0.00748459662029052
2016-07-13,0.0024408904624107124
2016-07-14,0.010197183273323251
2016-07-15,0.022259626286479622
2016-07-19,0.013123630434581193
2016-07-21,0.0033685783296581867
2016-07-22,0.004208299893792013
2016-07-25,0.028705349495328922
2016-07-26,-0.02057704846885436
2016-07-27,-0.018284405960504468
2016-07-28,0.0034890695074712283
2016-07-29,0.01873968423712267
2016-08-01,0.012794695774965828
2016-08-02,-0.0032605309197225973
2016-08-03,-0.0026876022769715254
2016-08-08,-0.032899184225059504
2016-08-09,0.007013047302423075
2016-08-10,0.008736223860497811
2016-08-15,-0.012186126507644682
2016-08-16,0.009109920307199747
2016-08-17,0.015443165758417705
2016-08-18,0.0069310756016454
2016-08-19,-0.018552751075144605
2016-08-22,-0.0016
2016-08-23,0.031635687436158556
2016-08-25,-0.013848738059419639
2016-08-29,-0.012907688812920096
2016-08-31,0.004251772225236699
2016-09-01,-0.006905052229693229
2016-09-02,0.017209331957496292
2016-09-05,0.0044242274199264055
2016-09-07,-0.006590493534418088
2016-09-12,-0.01612927895963751
2016-09-14,-0.004769574761279067
2016-09-20,-0.005067543447463539
2016-09-26,-0.00014862017101928198
2016-09-28,-0.002525293359613175
2016-09-29,-0.012452579437555466
