code,name,N,mu%,Sharpe,WR%,PF,Cum%,DD%
57060,三井金属,666,-0.0099,-0.07,50.3,0.99,-6.6,-56.8
57110,三菱マテリアル,410,-0.266,-2.11,45.4,0.68,-109.1,-111.1
57130,住友金属鉱山,643,-0.2956,-2.18,43.7,0.68,-190.0,-194.7
57140,DOWA HD,510,-0.192,-1.54,48.6,0.76,-97.9,-107.6
58010,古河電工,565,-0.1717,-0.98,47.3,0.83,-97.0,-125.1
58020,住友電工,519,0.1269,0.9,52.4,1.18,65.9,-49.5
58030,フジクラ,663,-0.1769,-0.97,46.0,0.84,-117.3,-142.2
