,HFT_MR,Kyle_lam,Open_conc,Close_conc,TWAP_pulse,TOPIX_link,FalseBO,LargePersist,MOC_mark,Daily_RV,cluster_k4
8035.T,-0.0005689328542151715,5.921541222457294,3.8581191015971843,11.874213924547092,0.09996727241382487,0.4624199216064771,0.6389222584520337,0.4738449789996182,0.5661538461538461,18.043754856200096,0
6857.T,-0.012313023984836143,4.015252471501758,3.764172992187789,7.2657109156693975,0.2839542090363933,0.4110313829194778,0.6872159951529839,0.49012567324955114,0.6037151702786377,22.504880867244566,2
6963.T,-0.022263866855336302,6.348816884215367,2.8726784541118002,20.153487302473803,0.07537144271212753,0.3322326679714497,0.6129657548998493,0.4693035670953652,0.4979757085020243,17.518989469511528,0
6526.T,-0.017108200846775695,4.962811269608224,2.926733006379482,9.014020214174927,0.21503686654986626,0.3560726843357208,0.6547591610970269,0.4849632962349041,0.588,20.76917667453167,2
6525.T,-0.009803438901494058,8.343517074675049,2.6641831299305507,12.464046616208002,0.148437150915283,0.3068141118884975,0.6717927111860122,0.47489888175113015,0.488,26.492830668139074,0
6146.T,-0.0012112356180825614,6.783601228234757,3.6520557592208682,5.6321799302003965,0.3819395214868668,0.3951965177650439,0.669708326543914,0.4814548073460569,0.5612903225806452,20.653862090123628,2
5713.T,0.011040025333434983,7.916454383694287,3.6154465835573264,14.03678897158481,0.10682404645030588,0.4443793539393821,0.6235853698540266,0.46806518074545794,0.5691318327974276,18.396350592136933,0
5802.T,-0.004948278613300815,6.125942877963926,3.5458060456922826,9.206704355033006,0.14538957908744232,0.4935737688648006,0.6483499377334994,0.4816886162727765,0.5201238390092879,21.393040091192177,0
5711.T,-0.008503441720772132,9.4899997096573,3.214661520287154,10.569763066342432,0.08581190130735217,0.4903895422334029,0.5888088808880888,0.4683945552862204,0.5096153846153846,13.90500957441999,0
5803.T,0.004683012032542096,3.9620523551305538,3.2325663657198325,5.258647219997616,0.4101327673186751,0.3998689247513638,0.7005444646098004,0.4865010799136069,0.5531914893617021,148.4063749460092,2
5801.T,0.0067087892717175215,7.693612316456833,3.3414867865957447,5.64325136980462,0.34387508839624265,0.3721446681467722,0.6839558445486164,0.48459333572196345,0.5807453416149069,24.93512521794947,2
5016.T,-0.01767124340384646,3.4964111674366385,3.196732480803002,6.726107938961577,0.24035632771061854,0.3630237601571762,0.6860310421286031,0.4804977267288825,0.5450819672131147,24.17658169045164,2
9434.T,-0.06930441870320327,0.9751653478733168,3.2050799444789764,23.309157357188035,0.021284519179736224,0.4230093934200326,0.4794520547945205,0.40266140956136026,0.5760869565217391,7.156315196230502,3
9984.T,-0.00849907347370808,3.2667585129016232,3.8872667422266702,6.354266127525041,0.23467367103900522,0.4419213360320603,0.66324200913242,0.48063698878031125,0.5840978593272171,30.869926435531433,2
7203.T,-0.010746520465686138,1.8013638223144275,3.935199052859266,16.704247013073314,0.11530153756700168,0.6153812162508921,0.6288682103440814,0.47575885328836426,0.5519713261648745,12.581577949179866,1
7267.T,-0.023022379419423405,2.2353473736325347,3.512460614117245,19.004212210841764,0.07399512480112626,0.5101024474157054,0.5494450050454087,0.47048138056312444,0.582089552238806,11.885662369578238,1
8058.T,0.002288203134274991,2.7023207648454823,3.5872987012782946,16.42446241159426,0.08210734267169417,0.6389372934272922,0.6046559117827242,0.4708695652173913,0.5964285714285714,11.586281888808722,1
8031.T,-0.012752234879515854,3.8395866764229134,3.0372062501202413,20.960167107866695,0.06712335350681067,0.6413471263963505,0.6198964922369178,0.4833988641328091,0.5871886120996441,12.277730464256841,1
8306.T,-0.008928830883059838,1.2655328505107735,4.288024294256852,11.332961987921607,0.14756019506279802,0.6600889435809344,0.6128526645768025,0.49523809523809526,0.6227106227106227,14.062616408177737,1
8316.T,-0.024093929080501845,2.4210150613391646,4.31167881872979,13.802086316709211,0.11926657650848864,0.655013434381618,0.6079708756466756,0.4688433632095604,0.6654411764705882,13.889769780957089,1
