,VWAP引寄(ρ),TWAP出来高(ρ),引け集中,寄付集中,TOPIX連動(ρ),HFT-MR(ρ1),Kyle λ×1e6,False BO率,大口後持続,MOCマーク率
8035.T,0.9656820373761652,0.09996727241382487,11.874213924547092,3.8581191015971843,0.4624199216064771,-0.0005689328542151715,5.921541222457294,0.6389222584520337,0.4738449789996182,0.5661538461538461
6857.T,0.9679529805710145,0.2839542090363933,7.2657109156693975,3.764172992187789,0.4110313829194778,-0.012313023984836143,4.015252471501758,0.6872159951529839,0.49012567324955114,0.6037151702786377
6963.T,0.9625046358919395,0.07537144271212753,20.153487302473803,2.8726784541118002,0.3322326679714497,-0.022263866855336302,6.348816884215367,0.6129657548998493,0.4693035670953652,0.4979757085020243
6526.T,0.9688505724634973,0.21503686654986626,9.014020214174927,2.926733006379482,0.3560726843357208,-0.017108200846775695,4.962811269608224,0.6547591610970269,0.4849632962349041,0.588
5713.T,0.9669269695639812,0.10682404645030588,14.03678897158481,3.6154465835573264,0.4443793539393821,0.011040025333434983,7.916454383694287,0.6235853698540266,0.46806518074545794,0.5691318327974276
5802.T,0.9678598191486336,0.14538957908744232,9.206704355033006,3.5458060456922826,0.4935737688648006,-0.004948278613300815,6.125942877963926,0.6483499377334994,0.4816886162727765,0.5201238390092879
5711.T,0.9643996429280793,0.08581190130735217,10.569763066342432,3.214661520287154,0.4903895422334029,-0.008503441720772132,9.4899997096573,0.5888088808880888,0.4683945552862204,0.5096153846153846
5803.T,0.9671122520289707,0.4101327673186751,5.258647219997616,3.2325663657198325,0.3998689247513638,0.004683012032542096,3.9620523551305538,0.7005444646098004,0.4865010799136069,0.5531914893617021
