,pair_portfolio,eneos_vwap_trend,lme_on_copper,lasertec_ma25,nonferrous_D_strong,nonferrous_D_freq,nonferrous_B_disp,semi_sox_fade,topix_rv,topix_day_ret,topix_close_skew,topix_twap_pulse,topix_trend,semi_disp
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013204304245346,4.186059490775579,-74.10285696343166,0.11834271713685365,0.01311413071616633,-0.052803503850030825,1.8254792086525888
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,-28.27027027027062,-61.09071536871568,3.4111158946597313,62.47019551740563,0.1645102076358109,0.016475038451872905,0.09975405352136081,4.034385452444179
2025-04-23,104.30844711681226,59.99069226294296,0.0,0.0,0.0,0.0,0.0,93.61314392466748,5.272064325231035,44.151483116721124,0.39322542597861115,0.023989083765984444,-0.07963845050529475,3.1564043026298103
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.881723661308689,3.1914948923829725,-53.13822460779383,0.2725475789431476,0.012881365805285573,-0.017278409266217543,4.23919905825069
2025-04-25,41.81320053164544,0.0,0.0,0.0,0.0,35.1706401299821,0.0,-114.95380511886852,3.647877113344593,56.519443147640125,0.2791129644192455,0.020614420962687806,0.07418574100037835,2.631282281914878
2025-04-28,0.0,-45.690626797009635,0.0,0.0,0.0,0.0,0.0,282.1761525863584,3.927106778513572,9.705291460855303,0.17089254164317125,0.0056908339654930164,0.017196912177993375,3.752202341904721
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,-4.151405866102735,153.68606958620325,3.6002512621066067,13.552679000481405,0.749885651892506,-0.0023305103913666115,0.13194978600556515,5.706894195097932
2025-05-01,0.0,0.0,0.0,0.0,-114.9743074750368,-79.17783888484067,0.0,-227.8163137304556,3.3298213313699394,33.89018083501006,0.3328516096514687,0.010560852467738226,0.031049950684233364,6.338461507213138
2025-05-02,-10.438846017415695,0.0,29.73171981937362,0.0,0.0,-130.04375264925983,0.0,39.04480234477692,3.671915985536567,11.062235316465774,1.2147726774799779,0.006373597158969849,0.1848594142516995,7.298992995561422
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.893369647820624,3.264303292883603,-8.930655865885262,1.8471493026660344,0.009489764987579951,-0.011239231481743182,2.0587200196800644
2025-05-08,0.0,0.0,0.0,0.0,0.0,-26.065892459749083,0.0,-86.81055275975402,3.8383955779669785,0.40761725480731315,26.854621407354962,0.010511002569046798,0.13752397081023193,2.4638506117062975
2025-05-09,53.036875373439955,-48.71771939631108,0.0,0.0,0.0,0.0,0.0,-19.826534570967603,3.059415162485392,31.781799231511698,0.47911684173816055,-0.004451348662662662,0.10333773145203763,0.6836125687021402
2025-05-12,0.0,0.0,0.0,0.0,0.0,0.0,-143.76894593927415,-313.44306676289136,2.8754072889236166,-11.47444840687295,0.35550884429214286,0.017370598171182246,-0.04856019063747323,3.8964841561875536
2025-05-13,-4.290339113291901,80.41274923592034,0.0,0.0,0.0,0.0,393.126871111987,281.556966767845,4.11956825118276,-8.614071572483617,1.5414205651184112,0.036207762597224434,-0.07126506962049894,8.698395236926098
2025-05-14,0.0,0.0,0.0,0.0,0.0,-168.8083522456457,0.0,-84.64090014471769,3.37359319831972,-22.638975144065874,0.43022955487165515,0.014435595831245998,-0.013659105358496113,5.455218155425578
2025-05-15,0.0,0.0,0.0,0.0,0.0,0.0,-57.92244131196033,-108.70986690798868,3.0518242671858617,-31.844699768170948,0.15251177421553624,0.005446015796446791,-0.044310449647013125,5.461240537859061
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,98.08598548297098,-120.1562753409764,2.4065868548981992,-18.43009131272666,0.15241503794798475,0.004314536528105076,-0.006134313498577324,1.7131600476217175
2025-05-19,0.0,0.0,0.0,0.0,0.0,0.0,236.5324608231436,0.0,2.6319090219154377,13.529869930410943,0.41828067212458053,0.004091151486487454,0.18031486394211635,2.9165543227610944
2025-05-20,0.0,0.0,0.0,0.0,0.0,0.0,-99.28585844636974,24.499980249645297,2.7830942040064373,-56.96092241116446,0.3448325958917496,0.005048087788798885,0.14901042681157003,3.286395444474063
2025-05-21,-2.1021794175685153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4839919615881163,-53.86362312932991,0.012224951791882654,0.001782713466160501,0.042435038638383646,2.2041435903982785
2025-05-22,0.0,0.0,0.0,0.0,0.0,0.0,-349.8940609951848,409.0895454469208,2.9911687803028335,12.455273407991907,0.15940488384388446,0.009054618553562092,0.1125429301210842,4.582363621482359
2025-05-23,-21.0668665257553,0.0,0.0,0.0,0.0,0.0,-7.1408057347355705,-162.1724725872584,2.1678781979774953,29.257132800986074,0.25835790930452923,0.005485327556917945,0.06525941555887636,4.705415686593666
2025-05-26,4.064174018661356,0.0,0.0,0.0,0.0,0.0,0.0,191.7556839370696,2.6655040824813114,40.27918142779363,0.11911312746111902,0.005472105087542914,0.2564461512170444,2.321131041711372
2025-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.99057012175933,2.24846849575916,68.89556232594352,0.001572069987163318,-0.00348813229748402,0.13075875469435932,1.7400490579898102
2025-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.9074371208995,2.911737412983453,-84.6356264432624,0.25921246996733266,0.011916855737558086,-0.05986518719598996,2.881237834228227
2025-05-29,9.574928389165557,0.0,0.0,0.0,0.0,0.0,139.20886168197111,-111.2246537236643,2.949481564936523,85.75701819512061,0.03316100881839231,-0.00028863892472347685,0.10392768574206489,7.885281977626773
2025-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.53834898740098,2.931166844390554,76.14012372320511,0.32589789191220586,-0.02011800814150256,0.020832561100307963,9.35138479784987
2025-06-02,0.0,0.0,0.0,0.0,0.0,0.0,94.44402165959345,-139.9400252720111,2.7713259222452713,-23.887009059103683,0.18691788269727197,0.010419914174125411,0.045258588254421625,1.8296716533532489
2025-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.91130316357692,2.5640790069319195,-37.78373753424158,0.30614603350539216,0.016742617225065475,0.043161644928631754,1.0597213044701
2025-06-04,0.0,0.0,0.0,0.0,0.0,0.0,146.03201449713188,29.27142652558779,2.65791268852953,7.401897904113497,2.895468770874399,0.003285002442380143,0.023153636718317275,3.399405056737452
2025-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.19646338792144,2.6419076342948107,-46.65287301535703,0.11279030515843111,0.0019122059269551653,0.04596635867488286,5.34931287782557
2025-06-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.325845701297009,66.23859987417501,2.3173424214841907,22.256964801423695,0.13301687273475576,0.0044591456939171905,0.08363003237026476,2.744558081812249
2025-06-09,18.317512305381833,0.0,0.0,0.0,0.0,0.0,0.0,-155.44687897419607,1.9501433161146016,-8.07128559436987,0.10662991868455679,0.00642615791345791,-0.0007419669997891604,3.2965610222251955
2025-06-10,0.0,0.0,0.0,0.0,0.0,0.0,-101.10746152851324,142.52798836276747,2.443526813275575,-25.274764615330625,0.15466042306212205,-0.0008492675845507883,0.11551080648519167,5.627956269087989
2025-06-11,0.0,0.0,0.0,0.0,0.0,0.0,-31.395233221231713,-132.1340689007868,2.282062278805138,-21.21911509491481,0.37021030224559415,0.0034454466805189554,-0.09006350764061584,5.8310709610037
2025-06-12,0.0,0.0,0.0,0.0,0.0,35.45476154176084,0.0,0.0,2.410059405576638,-26.01936041114916,0.10494462214377989,0.00026458198079082936,0.027445580528815645,0.7154190478658232
2025-06-13,0.0,33.85318372313107,0.0,0.0,0.0,0.0,0.0,177.3545826589147,3.8088928016131995,-64.94887348665878,0.09779622741506522,0.021371081892692066,0.1791430496785187,4.0556234677772895
2025-06-16,0.0,142.75907052588587,0.0,0.0,0.0,0.0,100.45126306044062,279.4619581500706,2.437288091613067,11.896907885486918,0.987034885724001,0.008553436275372096,0.13066140160752857,8.254154454502535
2025-06-17,0.0,0.0,0.0,480.7841472045289,0.0,0.0,0.0,-145.02243926635927,2.10155967621068,33.40929628069533,0.2611311199794244,0.011653978289949598,-0.007829169728949223,8.441846150787967
2025-06-18,0.0,0.0,0.0,849.0137469157563,0.0,0.0,0.0,83.79745611654023,2.0141507502437466,111.8356383380914,0.08030084842409266,0.003944968352782874,0.10191956127940136,10.192358208255976
2025-06-19,0.0,-32.95752895752723,0.0,1533.9113018598002,0.0,0.0,-22.490653528473896,76.60000439979322,2.076900031818214,-54.78261489032854,0.04184365855653743,0.0060425348946643,0.07645963244484079,4.376145184379375
2025-06-20,0.0,0.0,0.0,636.8952187182093,0.0,0.0,0.0,-169.49682378923177,2.8342650366450304,-53.3715225061282,0.5896180072777377,-0.017364868949146933,0.016559478699120608,7.084031227693791
2025-06-23,-4.396471846246353,134.31826896740674,0.0,0.0,0.0,0.0,0.0,225.9278592035108,2.8105675209897427,-12.045534289983895,0.25242376759210894,0.020799255312498897,0.11147819085054296,4.578543874239953
2025-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.65674537619725,2.7782695538166537,-24.78248083033985,0.04640068430832071,0.02472711327772937,0.12001269430891469,3.372820737006711
2025-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.25713501656545,2.523180167901204,-26.66972555992131,0.26693063577354087,0.015900656151645404,0.19246619215423588,5.791173721087933
