date,t_am_pulse,t_am_ret,t_am_close_vs_vwap,t_am_volume,t_pm_ret,t_day_ret,am_vol_z,peer_am_ret,peer_pm_ret,am_peer_adj,pm_peer_adj
2024-12-11,0.3809696519148952,-51.2820512820511,-62.40129655095683,9779500.0,240.0960384153672,206.83760683760656,-0.5086082972490686,-86.78347022779225,80.80226833488913,35.50141894574115,159.29377008047805
2024-12-12,0.37777045487190847,222.76422764227587,59.83433256841586,17948500.0,-252.661687589385,-26.016260162601277,1.6601733405949797,-51.268752333428196,-77.8992161312886,274.03297997570405,-174.7624714580964
2024-12-13,0.44720681864579354,169.546788392565,93.48374705025364,12176500.0,59.409120102762444,213.56374307140547,-0.06093920311228343,-44.241735812204084,27.28540601515089,213.7885242047691,32.12371408761155
2024-12-16,0.5443641946453982,144.9275362318847,62.58112629794033,13783500.0,59.01537505823784,203.2136105860105,0.34806847171148664,36.388120785057765,-37.93055321452742,108.53941544682692,96.94592827276526
2024-12-17,0.6582558555899857,-175.94859241126025,-265.93945561660945,12894900.0,-159.02712815715648,-342.7172582619342,-0.009339948737915436,-131.15112967566873,-72.48891050013833,-44.79746273559152,-86.53821765701815
2024-12-18,0.3927773627111113,125.97671822675905,4.00371442250913,10164200.0,-151.1811023622045,-27.108914048795675,-0.9971878723401535,54.15659050944266,-46.66339406692727,71.82012771731638,-104.51770829527725
2024-12-19,0.5919816291892249,140.5423280423279,-55.76268792608641,10131700.0,88.7096774193541,342.26190476190465,-0.9617178205442939,91.76478249993792,-43.14411542355789,48.77754554238999,131.853792842912
2024-12-20,0.5654731149410558,29.00886381949963,47.39186438561083,8936600.0,104.3003851091151,148.26752618855687,-1.3216388333470186,-7.490403120534726,8.569415730484142,36.49926694003436,95.73096937863096
2024-12-23,0.6423929390046056,-295.95015576323937,-138.14746857815362,10380100.0,185.8081050776872,-95.01557632398794,-0.8352289007236785,-48.70186342607663,31.549528095634884,-247.24829233716275,154.25857698205232
2024-12-24,0.6222769425019333,-409.2471102780382,-93.03388127940848,9443300.0,0.0,-392.06497969384577,-1.0550293984539152,-116.90185904487089,28.916397298157094,-292.3452512331673,-28.916397298157094
2024-12-25,0.48093291964425405,-44.922188352318756,-28.448621390401165,7439400.0,91.90583682683106,41.713460612866626,-1.6070887002910845,-83.27347736479058,105.76604501889686,38.351289012471824,-13.860208192065798
2024-12-26,0.16225776105713138,469.5735505510301,220.6015056923838,14130400.0,174.09896151496574,640.472767928446,0.5581246884217339,38.1164178960458,54.23678159846679,431.4571326549843,119.86217991649895
2024-12-27,0.5373995671376776,-102.52600297176784,-27.267313035076455,11819800.0,14.976785981728469,-63.893016344724884,-0.2680060067912271,2.309130486482232,14.923506596471459,-104.83513345825007,0.05327938525701015
2024-12-30,0.5055191564482945,-411.4490161001794,-95.82734308816731,10039800.0,152.07945375543153,-247.46571258199123,-0.8313752222926794,-11.349002200362332,-10.98217618191122,-400.10001389981704,163.06162993734276
2025-01-06,0.4084653355014462,2.994011976047428,8.626375950551157,12058200.0,-102.13277260438525,-134.73053892215538,-0.08385729187472084,69.48958154351453,-40.60094022861033,-66.4955695674671,-61.531832375774925
2025-01-07,0.34800049133592786,-95.52238805970114,81.92283368822828,11672300.0,-107.25075528700944,-225.37313432835825,-0.1393539458800775,-67.21756984955834,-0.4188278244016139,-28.3048182101428,-106.83192746260782
2025-01-08,0.09184149246612107,98.99458623356506,61.68110335560195,9452900.0,56.63554262972603,162.41299303944245,-0.8968259875324894,138.7704203500964,-13.545458910813323,-39.77583411653134,70.18100154053936
