ym,n,pulse_mean,peer_adj,vwap_dev
2024-11,12,0.4609132494200465,-103.81001369606533,-56.61741730799623
2024-12,21,0.53635029625849,80.36944461823147,33.071979965761784
2025-01,19,0.4759769928929,-34.1486637475332,-17.216376948365756
2025-02,18,0.4947056061202588,70.93117685618991,12.74424378323295
2025-03,20,0.47952112046179074,-12.660335193071493,1.4107476981298774
2025-04,19,0.48108387491407134,-21.068107206695714,-19.32877692773353
2025-05,20,0.4911644608326539,22.835511817548532,31.69612148156026
2025-06,21,0.4357785552449577,31.304856508141125,12.735118717030243
2025-07,22,0.4658203690519358,54.5014421071777,27.78708176808743
2025-08,20,0.3904348943760396,76.86169806085597,59.23287505129326
2025-09,20,0.28631074203772844,-29.598443659935533,-24.11376034035401
2025-10,22,0.3577290734899435,58.06131011533236,22.93531530017091
2025-11,18,0.40122931908188675,-88.35669090150506,-67.95271439146752
2025-12,22,0.35940939320287824,-48.5104605906115,-3.370251309665366
2026-01,19,0.2840853629414465,-17.94863994977561,29.642938935584795
2026-02,18,0.3870736397750892,-96.88538223297584,13.83472640064548
2026-03,21,0.2943412573406593,-311.5416760982193,-351.158510035412
2026-04,16,0.30935752836081515,61.58453522850798,-4.601770854764169
