,base,hi_only,lo_only,dynamic,semi_disp,disp_sig_prev
2025-04-21,0.0013204304245346002,0.0019806456368019,0.0006602152122673001,0.0013204304245346002,1.8254792086525888,
2025-04-22,-8.370693158493218,-11.990634332334414,-5.033454687354728,-8.370693158493218,4.034385452444179,
2025-04-23,31.006650686282885,28.255997783982178,38.972725944424205,31.006650686282885,3.1564043026298103,
2025-04-24,1.188172366130869,1.7822585491963032,0.5940861830654345,1.188172366130869,4.23919905825069,
2025-04-25,-1.7063364191418255,-8.118282715251583,7.851389107449669,-1.7063364191418255,2.631282281914878,
2025-04-28,23.64855257893488,35.47282886840232,11.82427628946744,23.64855257893488,3.752202341904721,
2025-04-30,15.036494489332107,22.63776985132021,7.393705068682971,15.036494489332107,5.706894195097932,
2025-05-01,-53.694276756536986,-67.25416095779198,-36.76101234807536,-53.694276756536986,6.338461507213138,
2025-05-02,-4.719377969185921,-16.21421450610017,0.8656176964110673,-4.719377969185921,7.298992995561422,
2025-05-07,-1.6893369647820624,-2.5340054471730933,-0.8446684823910312,-1.6893369647820624,2.0587200196800644,
2025-05-08,-11.287644521950309,-18.23476140591292,-5.122504411780173,-5.122504411780173,2.4638506117062975,-1.0
2025-05-09,1.1011059092881235,-7.6297943264198045,12.48384991366805,12.48384991366805,0.6836125687021402,-1.0
2025-05-12,-42.84582235143107,-61.39335460836112,-25.73597955389376,-25.73597955389376,3.8964841561875536,-1.0
2025-05-13,67.00357042234171,93.39362755609889,44.33026504403979,93.39362755609889,8.698395236926098,1.0
2025-05-14,-25.344925239036343,-46.457805470836796,-9.296295574605256,-46.457805470836796,5.455218155425578,1.0
2025-05-15,-15.504781995755696,-22.098724167394334,-9.490064237236659,-22.098724167394334,5.461240537859061,1.0
2025-05-16,-4.168748695459962,-8.21484275284936,0.8582052167591492,-8.21484275284936,1.7131600476217177,1.0
2025-05-19,18.92259686585149,23.65324608231436,16.557272257620053,16.557272257620053,2.9165543227610944,-1.0
2025-05-20,-5.49287065074505,-6.253588807190181,-5.725011078763618,-5.725011078763618,3.286395444474063,-1.0
2025-05-21,-0.3153269126352773,-0.10510897087842577,-0.6306538252705546,-0.6306538252705546,2.2041435903982785,-1.0
2025-05-22,12.917429665077293,26.374025717519636,-4.038106997316898,-4.038106997316898,4.582363621482359,-1.0
2025-05-23,-19.948541696367982,-26.09329478785008,-14.928539988521,-26.09329478785008,4.705415686593666,1.0
2025-05-26,19.785194496506165,28.966561291493505,10.807036402451887,28.966561291493505,2.321131041711372,1.0
2025-05-27,3.7990570121759335,5.6985855182639,1.8995285060879668,1.8995285060879668,1.7400490579898102,-1.0
2025-05-28,-14.39074371208995,-21.58611556813492,-7.195371856044975,-7.195371856044975,2.881237834228227,-1.0
2025-05-29,1.4504828205660907,-2.284065470894255,7.05586614830443,7.05586614830443,7.885281977626773,-1.0
2025-05-30,7.653834898740098,11.480752348110146,3.826917449370049,11.480752348110146,9.35138479784987,1.0
2025-06-02,-6.4384807944336355,-11.546601624842319,-0.38591974742901414,-11.546601624842319,1.8296716533532489,1.0
2025-06-03,-15.691130316357693,-23.536695474536536,-7.845565158178847,-7.845565158178847,1.0597213044701,-1.0
2025-06-04,14.609703812329329,18.993915428551357,11.685812341078622,11.685812341078622,3.399405056737452,-1.0
2025-06-05,-10.319646338792145,-15.479469508188215,-5.1598231693960726,-15.479469508188215,5.34931287782557,1.0
2025-06-06,6.197792331313741,9.403205410996549,2.93912079461796,9.403205410996549,2.744558081812249,1.0
2025-06-09,-12.797061051612332,-22.40115623086032,-2.277090257095254,-2.277090257095254,3.2965610222251955,-1.0
2025-06-10,6.164201913995688,11.268452101563794,0.04887711114244642,11.268452101563794,5.627956269087989,1.0
2025-06-11,-15.725025547777218,-22.959633657241188,-8.804369770525561,-22.959633657241188,5.8310709610037,1.0
2025-06-12,3.545476154176084,7.090952308352168,1.0636428462528251,7.090952308352168,0.7154190478658232,1.0
2025-06-13,21.12077663820458,31.681164957306862,10.56038831910229,10.56038831910229,4.0556234677772895,-1.0
2025-06-16,50.2582039124309,73.37828060743753,28.14263984802867,73.37828060743753,8.254154454502535,1.0
2025-06-17,19.1526463776811,2.2858414702725547,40.82729275713493,2.2858414702725547,8.441846150787967,1.0
2025-06-18,67.81070789575696,55.02030576326885,89.09124749740265,55.02030576326885,10.192358208255976,1.0
2025-06-19,109.9387863921347,80.99287105648251,153.99890821110014,80.99287105648251,4.376145184379375,1.0
2025-06-20,27.632982931351478,6.420237367525704,55.214680682359344,6.420237367525704,7.084031227693791,1.0
2025-06-23,35.3651420401548,53.81709563332531,16.69336485467197,53.81709563332531,4.578543874239953,1.0
2025-06-24,4.4656745376197255,6.698511806429587,2.2328372688098628,6.698511806429587,3.372820737006711,1.0
2025-06-25,-2.825713501656545,-4.238570252484817,-1.4128567508282726,-1.4128567508282726,5.791173721087933,-1.0
2025-06-26,-16.968905199317998,-27.064086418778277,-6.5688994718474465,-27.064086418778277,4.952376078329087,1.0
2025-06-27,32.186158831194476,38.03953584059673,23.99815596009631,38.03953584059673,2.4761384985319856,1.0
2025-06-30,0.0,0.0,0.0,0.0,5.7878162333123155,-1.0
2025-07-01,-2.863907000252723,-3.579883750315904,-2.5059186252211325,-3.579883750315904,3.59420363483166,1.0
2025-07-02,22.594271869288864,29.57707521157891,16.844134981957207,16.844134981957207,5.634082741540184,-1.0
2025-07-03,-5.365498668515814,-8.22414723300464,-2.4189004889115298,-8.22414723300464,4.648959231262626,1.0
2025-07-04,10.312830579957096,15.45902595983896,5.169555174388563,5.169555174388563,2.490721954862006,-1.0
2025-07-07,6.763092924332342,8.6939729544819,5.246689017616099,5.246689017616099,3.40011942808335,-1.0
2025-07-08,22.333535546176893,30.55555169939491,15.58389520289409,15.58389520289409,10.23300771093069,-1.0
2025-07-09,44.4663142771053,79.75478153000904,15.553998436543994,79.75478153000904,8.857846612946554,1.0
2025-07-10,-9.773036365000669,-14.064724727127052,-5.778762913061259,-14.064724727127052,3.3385483964569467,1.0
2025-07-11,16.38885567617781,26.051769484164332,6.403254972885495,6.403254972885495,6.935516725858861,-1.0
2025-07-14,0.0,0.0,0.0,0.0,1.6511334014602368,1.0
2025-07-15,15.932029783856926,26.15530512931796,4.580124211629594,4.580124211629594,6.314645886920543,-1.0
2025-07-16,7.743234891652107,13.984690636934776,0.8246824893818294,13.984690636934776,7.496133544922984,1.0
2025-07-17,25.730304649279876,40.296761764911025,10.677760450508378,40.296761764911025,7.4588223955159005,1.0
2025-07-18,4.2844599442828155,6.426689916424223,2.1422299721414078,6.426689916424223,5.082338596449143,1.0
2025-07-22,2.67400215405375,0.89133405135125,5.3480043081075,0.89133405135125,5.368679447803697,1.0
2025-07-23,11.82728028812436,19.08957571146182,4.536676390059763,19.08957571146182,3.260320321345123,1.0
2025-07-24,-1.136894409937898,-1.4211180124223723,-0.9947826086956607,-0.9947826086956607,2.839154307799418,-1.0
2025-07-25,-10.095292908530311,-12.619116135662889,-8.833381294964022,-8.833381294964022,2.2899707800928613,-1.0
2025-07-28,-0.7906636655663201,-0.2635545551887734,-1.5813273311326401,-1.5813273311326401,6.592667680198837,-1.0
2025-07-29,-17.480411227418827,-0.5908267487688583,-38.36489075224848,-0.5908267487688583,5.4274697258511875,1.0
2025-07-30,-3.588101136247328,-4.48512642030916,-3.1395884942164125,-4.48512642030916,14.513801618638505,1.0
2025-07-31,-3.1464679640210065,-6.948800279598645,1.8109424437586874,-6.948800279598645,19.20656065360214,1.0
2025-08-01,15.530830390849353,20.397114829032017,8.925067498321479,20.397114829032017,12.360972303509245,1.0
2025-08-04,32.893990629342625,55.63774339325373,8.18069197714248,55.63774339325373,4.071095547520094,1.0
2025-08-05,6.705910849282626,10.058866273923938,3.352955424641313,3.352955424641313,6.438411378761742,-1.0
2025-08-06,-13.141786488581198,-19.712679732871795,-6.570893244290599,-19.712679732871795,3.152060968328756,1.0
2025-08-07,0.5421437606110626,2.5886731922663384,-2.0116592571441405,-2.0116592571441405,25.992611647989747,-1.0
2025-08-08,-8.776514526628928,-14.789182778889877,-2.4666494050224537,-14.789182778889877,2.4102750886882593,1.0
2025-08-12,6.716528014808017,8.395660018510021,5.876962012957016,5.876962012957016,6.3180502966557865,-1.0
2025-08-13,-4.135513495952335,0.1339429302460715,-6.681988695589496,0.1339429302460715,4.989667858589678,1.0
2025-08-14,24.909579608914598,38.63040451796433,10.555737147568639,10.555737147568639,5.463226153358572,-1.0
2025-08-15,25.471612455273487,34.189066484757376,18.76333452486604,34.189066484757376,2.2772730784762576,1.0
2025-08-18,-11.714393563535568,-16.064863333491886,-8.117287299484984,-8.117287299484984,2.707723389656078,-1.0
2025-08-19,-8.688060988144523,-13.523165614052749,-3.6074192963183127,-3.6074192963183127,3.967625536026057,-1.0
2025-08-20,-32.26000270092482,-46.68173447033075,-18.69240572204712,-18.69240572204712,3.439567269999966,-1.0
2025-08-21,1.0079291113487905,-1.4556547918592706,4.95528724399808,4.95528724399808,4.929752353528906,-1.0
2025-08-22,-9.682776222807846,-13.983936197329646,-5.651730316727106,-5.651730316727106,6.010550782998245,-1.0
2025-08-25,1.8135188800709936,3.401564158507877,-0.11516931756658266,3.401564158507877,5.405461483568566,1.0
2025-08-26,-2.025827430031368,-3.038741145047052,-1.012913715015684,-1.012913715015684,2.0756609978667715,-1.0
2025-08-27,7.745640274410246,11.744589991465176,3.868283465056319,3.868283465056319,6.010837903530379,-1.0
2025-08-28,-2.5929286720372238,-3.24116084004653,-2.268812588032571,-3.24116084004653,13.060283390306688,1.0
2025-08-29,2.626448674786294,4.228983357007034,0.8792588201517568,4.228983357007034,3.7581914841795103,1.0
2025-09-01,-16.528518412734286,-25.753161750803702,-6.823683008813724,-6.823683008813724,8.636180446353254,-1.0
2025-09-02,-6.701030543107127,-10.301669517550575,-2.581221133268439,-10.301669517550575,3.1363872880048533,1.0
2025-09-03,59.94099046731589,77.07003723031627,54.234074395053995,54.234074395053995,7.716820643251326,-1.0
2025-09-04,7.532531214528966,9.415664018161207,6.590964812712846,9.415664018161207,5.649635266217334,1.0
2025-09-05,23.593415088494826,38.168812557777386,10.259656985464213,38.168812557777386,2.893233397024143,1.0
2025-09-08,-26.51225650924472,-38.90595819937155,-14.549768101365654,-14.549768101365654,2.5603250626892073,-1.0
2025-09-09,-5.5846784019975475,-8.706838587185269,-2.29760772471535,-2.29760772471535,4.152835477039291,-1.0
2025-09-10,-2.6417406440382853,-3.302175805047857,-2.3115230635335,-2.3115230635335,3.2711466609293915,-1.0
2025-09-11,14.589200814272031,33.26525237847776,3.261750549503488,3.261750549503488,5.04494330053458,-1.0
2025-09-12,-20.393494548327755,-30.65507202509538,-10.099501970258247,-30.65507202509538,4.492110301491487,1.0
2025-09-16,20.707794742287586,30.360859975698222,11.40514557774353,30.360859975698222,4.345534488443022,1.0
2025-09-17,7.740523776202974,8.622171054732675,8.353183802459167,8.353183802459167,1.7753456088714117,-1.0
2025-09-18,42.48208517181166,50.4445142266906,37.028672532750846,37.028672532750846,7.978607548938718,-1.0
2025-09-19,19.72912278205159,29.593684173077378,9.864561391025795,29.593684173077378,10.866762504796446,1.0
2025-09-22,40.89899070668184,60.46927963583757,21.76830498961869,60.46927963583757,6.790607243588135,1.0
2025-09-24,0.8916003928338776,2.965123614268435,-1.6469865500342857,2.965123614268435,3.967511408905486,1.0
2025-09-25,74.37984721883437,89.78828506648553,42.400903805079004,42.400903805079004,11.826848421747796,-1.0
2025-09-26,5.08041473006788,6.350518412584851,4.445362888809395,6.350518412584851,2.3820070461382237,1.0
