date,5803_day_ret,5803_pulse,5803_close_vwap_dev,5803_pm_ret,5803_volume,peer_ret,peer_adj_ret,pulse_bucket,ym
2024-11-14,-167.27652901202262,0.35726123491287143,-210.18731929898448,-287.4354561101544,11570300.0,202.20746316283567,-369.48399217485826,Q2,2024-11
2024-11-15,-173.1448763250887,0.30159393105715077,-53.24010844993343,1.7982377270264749,11506600.0,-91.43406611926808,-81.71081020582061,Q2,2024-11
2024-11-18,-388.7570724584777,0.3223437996579341,-168.08553198315423,-75.38635506973202,12525000.0,24.72084216396442,-413.4779146224421,Q2,2024-11
2024-11-19,652.9533874315919,0.5726591875212919,180.2630138393768,219.04417089065876,22019400.0,208.1155024105286,444.83788502106324,Q4_強,2024-11
2024-11-20,-96.74582233949013,0.4658520827923874,16.041487544193878,87.79788568356928,12839600.0,-23.338309424015453,-73.40751291547468,Q3,2024-11
2024-11-21,-377.58620689655186,0.6697269406360078,-429.17949005292996,-430.3840877914955,19549900.0,124.2422880955337,-501.82849499208555,Q4_強,2024-11
2024-11-22,87.91981712678032,0.5102037436492407,40.64743967244322,-48.56895056374655,21754800.0,104.48594921290687,-16.566132086126558,Q3,2024-11
2024-11-25,-259.06735751295315,0.3152269631047974,-109.28442210821787,-103.52693454992124,20025200.0,-74.77244033383234,-184.29491717912083,Q2,2024-11
2024-11-26,-612.7188281529117,0.5011335892442775,-130.34466498262677,-54.88266464799385,18556300.0,-215.1736136098951,-397.5452145430165,Q3,2024-11
2024-11-27,303.38164251207724,0.29861138318392855,178.3072227507887,446.7084639498431,21583900.0,-211.34063661378596,514.7222791258632,Q2,2024-11
2024-11-28,-43.56060606060641,0.7286337539594722,-121.89858571889923,51.625239005737015,23598800.0,120.75705922632851,-164.31766528693493,Q4_強,2024-11
2024-11-29,112.46664125047712,0.48771238332119876,127.55195109198868,47.34848484848398,13469300.0,115.1143157443076,-2.647674493830479,Q3,2024-11
2024-12-02,528.9719626168221,0.43318071850782147,246.7593660898948,228.7997094606875,22803900.0,221.68501942485875,307.28694319196336,Q3,2024-12
2024-12-03,627.8904304517963,0.385331135178032,191.3027336829165,98.02264661145755,25678000.0,179.37947323967472,448.5109572121216,Q2,2024-12
2024-12-04,249.1694352159479,0.6641703785641208,-16.445180564211846,-8.097165991902688,23715200.0,-73.21943380800194,322.38886902394984,Q4_強,2024-12
2024-12-05,-29.650436953807535,0.5480491719335395,-103.6040792589099,-239.84112435074812,26036300.0,-193.41845549399522,163.76801854018768,Q4_強,2024-12
2024-12-06,-469.0897794346072,0.6864511943721362,-93.3374441258561,37.62473417307399,24137400.0,-165.54819707758878,-303.5415823570184,Q4_強,2024-12
2024-12-09,-19.379844961240345,0.5924421179277654,48.58159654179018,63.507572056669126,22257500.0,-52.82090577821058,33.441060816970236,Q4_強,2024-12
2024-12-10,-211.52564956695485,0.3736751819271684,-7.40610713344747,89.27038626609374,19220800.0,-79.78063405857493,-131.74501550837994,Q2,2024-12
2024-12-11,206.83760683760656,0.44707434236101085,162.5006694768305,245.3671928620449,16254500.0,-4.313286321519236,211.1508931591258,Q3,2024-12
2024-12-12,-26.016260162601277,0.5198715962735896,-161.75994984093168,-196.57983058973926,26255300.0,-126.35087052940864,100.33461036680737,Q4_強,2024-12
2024-12-13,213.56374307140547,0.4961780171023666,103.24664364934178,61.02457041914144,18518200.0,-8.995047753878879,222.55879082528435,Q3,2024-12
2024-12-16,203.2136105860105,0.5782468321090605,94.89495780344414,91.928949828608,21012100.0,-4.391930944561125,207.60554153057163,Q4_強,2024-12
2024-12-17,-342.7172582619342,0.6601732598856708,-308.3042165333261,-80.15087223008032,20744600.0,-209.42618312676214,-133.29107513517206,Q4_強,2024-12
2024-12-18,-27.108914048795675,0.5301853813683447,-110.87389241828838,-90.31849152273841,15466600.0,3.508108647972408,-30.617022696768082,Q4_強,2024-12
2024-12-19,342.26190476190465,0.52234652568539,86.37084748289948,91.9651500484031,16744300.0,83.30949830752915,258.9524064543755,Q4_強,2024-12
2024-12-20,148.26752618855687,0.6052599753724675,148.85500863827116,104.3003851091151,14198300.0,8.30250922483122,139.96501696372565,Q4_強,2024-12
2024-12-23,-95.01557632398794,0.6421024975578218,91.0587341858693,150.03990422984836,15349000.0,-0.10005111491601681,-94.91552520907193,Q4_強,2024-12
2024-12-24,-392.06497969384577,0.6840784154661907,-55.66540887728899,8.135372600064361,13193200.0,-92.33507075529695,-299.7299089385488,Q4_強,2024-12
2024-12-25,41.713460612866626,0.5584447101218087,61.546604077009626,108.20413436692489,10482000.0,16.649819182550928,25.0636414303157,Q4_強,2024-12
2024-12-26,640.472767928446,0.31037412539644654,263.26970400419646,180.31784841075816,24044900.0,104.14823294749354,536.3245349809525,Q2,2024-12
2024-12-27,-63.893016344724884,0.5703162033294614,-2.6811611514976352,-1.4952153110048272,18201100.0,22.9686011793087,-86.86161752403359,Q4_強,2024-12
2024-12-30,-247.46571258199123,0.4554044409880761,56.202153552291634,136.34955066625264,18838200.0,-38.57451243749366,-208.89120014449756,Q3,2024-12
2025-01-06,-134.73053892215538,0.46288922461360155,-87.8789770315369,-109.56025814197857,18601400.0,15.528520305888307,-150.25905922804367,Q3,2025-01
2025-01-07,-225.37313432835825,0.4495838246777632,-46.65874968005301,-72.76034561164212,17821100.0,-77.32671499852489,-148.04641932983336,Q3,2025-01
2025-01-08,162.41299303944245,0.29421272177626934,78.21363035134033,25.94231649626133,16070200.0,127.75555309411462,34.65743994532784,Q1_弱,2025-01
2025-01-09,-415.5883696148577,0.2891454306310982,-393.0301656334512,-443.2301153612628,33454800.0,-208.65984773448974,-206.92852188036795,Q1_弱,2025-01
2025-01-10,9.495173286913072,0.6181681474518395,-106.15585683258266,-227.1322620519156,24920500.0,39.33994791848528,-29.844774631572207,Q4_強,2025-01
2025-01-14,-250.5985634477259,0.488129272740961,26.63846793352853,74.2206828302816,17185200.0,-170.4003509157531,-80.19821253197279,Q3,2025-01
2025-01-15,-147.6620180475796,0.46992237054997343,-48.786212206807235,-54.65385889367291,14335100.0,-111.74091243965734,-35.92110560792227,Q3,2025-01
2025-01-16,-269.25587467362953,0.4258743818343398,-164.83459323306082,-198.88231426692937,15237200.0,113.17984083920456,-382.4357155128341,Q3,2025-01
2025-01-17,120.40020349330271,0.46822382421349373,101.70939878624274,116.9689777928462,13488000.0,205.71421453554507,-85.31401104224236,Q3,2025-01
2025-01-20,84.99999999999952,0.37198111768205894,72.36131541514368,96.77957617220123,12787200.0,-9.647788890179982,94.6477888901795,Q2,2025-01
2025-01-21,-96.73717002787296,0.5957640049348316,2.7953832777005694,36.55699567962856,13765500.0,-118.62441833089044,21.887248303017472,Q4_強,2025-01
2025-01-22,1303.993480032599,0.4477743259289831,332.79471274316074,251.2934220251295,50313100.0,445.8495861175044,858.1438939150947,Q3,2025-01
2025-01-23,238.02816901408397,0.6797037893802824,64.1504672947879,220.75365579302675,41643600.0,-43.0971533636157,281.12532237769966,Q4_強,2025-01
2025-01-24,112.34396671289781,0.4666207560990665,86.70403161422647,71.83312612239368,24343700.0,17.95053770053623,94.39342901236158,Q3,2025-01
2025-01-27,-924.1475295755042,0.5028647912076519,-340.38285556093564,-306.2286308904416,31614400.0,-452.7900259557868,-471.3575036197174,Q3,2025-01
2025-01-28,-527.9999999999995,0.5586002946016643,-158.03565556874898,-271.15858668857794,31488700.0,-136.46829146355844,-391.5317085364411,Q4_強,2025-01
2025-01-29,-203.74898125509412,0.37198106090277194,215.03785308361057,335.3396388650043,45526200.0,-27.806290157415262,-175.94269109767885,Q2,2025-01
2025-01-30,107.0234113712365,0.5206371301176634,20.356244684454072,-86.92799737575862,22336500.0,154.51982756362867,-47.49641619239216,Q4_強,2025-01
2025-01-31,252.31971349503502,0.561486395620787,17.890398544031516,-25.340513145390986,30747000.0,80.72330793082837,171.59640556420663,Q4_強,2025-01
2025-02-03,-73.7946867825512,0.4164554697269348,-35.08285173650205,-23.07565518378074,17123200.0,-85.29670623576429,11.502019453213094,Q3,2025-02
