thresh,n,full_sharpe,full_t,mean_bp,wr,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
50,2564,-1.4663633000614824,-4.677354887925398,-4.927344736925507,44.57878315132605,1282,-2.2092722619592777,-4.983024036829003,1282,-1.0716830445693184,-2.417186176146105
75,2055,-1.3415285049604257,-3.830941743274703,-4.735260916737804,44.81751824817518,1027,-2.109083457999301,-4.257735874913338,1028,-0.9326330305257633,-1.8836797953310085
100,1641,-1.102450673222083,-2.813281479424322,-4.136786513227575,44.72882388787325,820,-1.860419491681761,-3.3559658804834043,821,-0.7087566098474405,-1.2792883068796692
150,1015,-0.8049578257836466,-1.6154959651854652,-3.39286066622282,45.51724137931035,507,-1.7240962192093308,-2.445486156878122,508,-0.2578347732911448,-0.36607753169604623
200,653,0.08014070097300341,0.12900586557579835,0.37178999998066364,49.31087289433385,326,-1.4913038146462994,-1.6961906246180476,327,1.1566307694472753,1.3175537682834686
250,408,1.1737238655928603,1.4934673977425243,5.6727163720415845,50.98039215686274,204,-1.2454627818103368,-1.120586967681088,204,2.953613611138689,2.657470755887683
300,261,1.9376703319684812,1.97196804474919,10.319805470921287,55.55555555555556,130,-0.17623531876514126,-0.12657978513840593,131,3.4712308115678367,2.5027580647112897
