thresh,n,full_sharpe,full_t,mean_bp,wr,h1_n,h1_sharpe,h1_t,h2_n,h2_sharpe,h2_t
0,3515,-1.571308756234158,-5.868456975907245,-3.9371828801197264,43.78378378378379,1757,-2.2790821696251116,-6.017908688775157,1758,-0.9812768092915606,-2.591795313148479
50,2617,-1.643240526086762,-5.295448247339742,-4.227550079363305,44.096293465800535,1308,-2.6113730113406106,-5.949391011151741,1309,-0.8049763029343682,-1.8346475640164985
100,1808,-1.5230932379543474,-4.079673736563973,-4.196745392221623,45.298672566371685,904,-2.359164642134981,-4.468298679757937,904,-0.7802513291687574,-1.4778095270404863
150,1212,-1.6446490319225227,-3.606818372779222,-4.864085356171517,45.37953795379538,606,-2.218844128944929,-3.440826991277268,606,-1.1076609844647123,-1.7176825369627065
200,814,-1.4894971614624941,-2.6770199763263838,-4.531714194065354,47.05159705159705,407,-2.4269895657944542,-3.084358445715462,407,-0.7196192419071139,-0.9145336748693479
300,360,-1.1501240050360413,-1.3746611151013308,-3.9402896128167475,48.333333333333336,180,-1.1670604994511928,-0.9863461466367632,180,-1.1370187276017134,-0.9609562153385922
500,78,1.4831839672801932,0.8251673834579776,5.371331164370042,60.256410256410255,39,3.566590670363844,1.4030892664515215,39,0.12074234548980185,0.04749978470213397
