date,pnl,cum
2021-01-15,142.50641756177674,142.50641756177674
2021-01-22,-125.49933791354324,17.0070796482335
2021-01-29,178.1249095449933,195.1319891932268
2021-02-05,170.4972008776067,365.6291900708335
2021-02-12,80.9543294910504,446.5835195618839
2021-02-19,-49.145897768074335,397.43762179380957
2021-02-26,9.704461890093413,407.14208368390297
2021-03-05,-20.347735021971893,386.79434866193105
2021-03-12,81.75545002444613,468.5497986863772
2021-03-19,-61.257150840514846,407.29264784586235
2021-03-26,-114.41351665428768,292.8791311915747
2021-04-02,-28.16050887214814,264.7186223194266
2021-04-09,34.78308291263243,299.501705232059
2021-04-16,-31.811888424204056,267.689816807855
2021-04-23,-99.75932788470902,167.93048892314596
2021-04-30,-92.52901823863905,75.4014706845069
2021-05-14,-77.9193745634212,-2.5179038789142965
2021-05-21,34.13209460225099,31.61419072333669
2021-05-28,25.268856313947758,56.88304703728445
2021-06-04,-23.78323049557526,33.09981654170919
2021-06-11,54.882544921800616,87.9823614635098
2021-06-18,0.46823289121092593,88.45059435472074
2021-06-25,-7.876510256780039,80.5740840979407
2021-07-02,63.96154890844488,144.53563300638558
2021-07-09,-51.63852571907185,92.89710728731373
2021-07-16,-41.93891091931843,50.9581963679953
2021-07-30,116.99261365930819,167.95081002730348
2021-08-06,-146.12826831660374,21.82254171069974
2021-08-13,-47.23010899503652,-25.40756728433678
2021-08-20,-66.54271318345016,-91.95028046778694
2021-08-27,329.88859811627367,237.93831764848673
2021-09-03,49.02440747897107,286.9627251274578
2021-09-10,-103.7743841242372,183.18834100322061
2021-09-17,111.44789399721266,294.63623500043326
2021-09-24,19.14661207985094,313.7828470802842
2021-10-01,1.7992729511530356,315.5821200314373
2021-10-08,-61.551106297240885,254.0310137341964
2021-10-15,160.86012203524834,414.89113576944476
2021-10-22,-54.97883009119326,359.9123056782515
2021-10-29,-3.0734463213537815,356.83885935689773
2021-11-05,70.11037079921635,426.9492301561141
2021-11-12,112.54353627476993,539.492766430884
2021-11-19,-90.0461781282776,449.4465883026064
2021-11-26,38.90080629190437,488.3473945945108
2021-12-03,-18.060306682367546,470.28708791214325
2021-12-10,81.94281506168448,552.2299029738277
2021-12-17,-36.43345632500098,515.7964466488268
2021-12-24,-67.18467099389092,448.61177565493585
2022-01-07,95.03901114324859,543.6507867981844
2022-01-14,-74.85066986671251,468.8001169314719
2022-01-21,9.043517023989544,477.8436339554614
2022-01-28,25.013714796656615,502.857348752118
2022-02-04,43.576127021566684,546.4334757736847
2022-02-18,-148.0295196209529,398.4039561527318
2022-02-25,129.06227966376443,527.4662358164962
2022-03-04,194.88765665827327,722.3538924747695
2022-03-11,-141.49539772217994,580.8584947525895
2022-03-18,23.68750360391498,604.5459983565045
2022-03-25,-145.4020066730933,459.1439916834112
2022-04-01,-82.61349017145064,376.53050151196055
2022-04-08,-46.769356529261444,329.7611449826991
2022-04-15,-7.261383348008664,322.4997616346904
2022-04-22,31.917059876920938,354.4168215116113
2022-05-13,-68.73825247945557,285.67856903215574
2022-05-20,-24.76836491441903,260.9102041177367
2022-05-27,-111.28104394428334,149.62916017345339
2022-06-03,-68.49535582409621,81.13380434935718
2022-06-10,39.59086941524267,120.72467376459986
2022-06-17,48.22007494753355,168.9447487121334
2022-06-24,-32.34484898107482,136.59989973105857
2022-07-01,-87.7868253758566,48.81307435520198
2022-07-08,-35.23039002833176,13.582684326870215
2022-07-15,-51.23615512556671,-37.653470798696496
2022-07-22,-65.43583459187627,-103.08930539057278
2022-07-29,45.31931069229527,-57.76999469827751
2022-08-05,-46.09791475207106,-103.86790945034858
2022-08-12,3.3148417204365117,-100.55306772991207
2022-08-19,-74.40053121286766,-174.95359894277973
2022-08-26,66.55869444911347,-108.39490449366626
2022-09-02,-59.616707254299236,-168.0116117479655
2022-09-09,46.37181762337497,-121.63979412459054
2022-09-16,22.114460755074404,-99.52533336951613
2022-09-30,-99.761379331883,-199.28671270139915
2022-10-07,-40.13578163371385,-239.42249433511302
2022-10-14,-93.0440848165654,-332.4665791516784
2022-10-21,3.9147387143499977,-328.5518404373284
2022-10-28,-36.665271110636425,-365.2171115479648
2022-11-04,-150.1866604641331,-515.4037720120979
2022-11-11,-18.642902186995897,-534.0466741990938
2022-11-18,-9.881656747631101,-543.9283309467249
2022-11-25,-95.42226825828989,-639.3505992050149
2022-12-02,-32.01268200791999,-671.3632812129349
2022-12-09,-75.01298272017023,-746.3762639331052
2022-12-16,218.5325467346791,-527.843717198426
2022-12-23,-35.07642652211379,-562.9201437205398
2022-12-30,-40.365740293230814,-603.2858840137707
2023-01-06,54.333307804169934,-548.9525762096007
2023-01-13,-51.68788336806521,-600.6404595776659
2023-01-20,44.844363034844655,-555.7960965428213
2023-01-27,24.90524628913755,-530.8908502536838
2023-02-03,-87.15162241292536,-618.0424726666091
2023-02-10,74.50780691605345,-543.5346657505556
2023-02-17,251.95734478856008,-291.57732096199555
2023-02-24,-48.355475789520845,-339.9327967515164
2023-03-03,18.615619122024984,-321.31717762949137
2023-03-10,102.3597467120954,-218.95743091739598
2023-03-17,-49.050347567348524,-268.0077784847445
2023-03-24,-31.26428333633875,-299.27206182108324
2023-03-31,-67.5841839563803,-366.8562457774635
2023-04-07,28.366614554019378,-338.4896312234441
2023-04-14,25.377064683290705,-313.1125665401534
2023-04-21,-61.574659834899336,-374.6872263750528
2023-04-28,-19.70373653418205,-394.3909629092348
2023-05-12,23.58092360223385,-370.810039307001
2023-05-19,-187.8038301243045,-558.6138694313055
2023-05-26,-7.516092440540778,-566.1299618718463
2023-06-02,-8.96486029461852,-575.0948221664648
2023-06-09,-5.074735255934982,-580.1695574223999
2023-06-16,-118.18930168157257,-698.3588591039725
2023-06-23,-3.511864079075451,-701.8707231830479
2023-06-30,75.12828057174058,-626.7424426113073
2023-07-07,-10.153237724748367,-636.8956803360556
2023-07-14,-4.767254252242061,-641.6629345882977
2023-07-21,46.63610856784488,-595.0268260204529
2023-07-28,18.568513918091956,-576.4583121023609
2023-08-04,48.44554568375314,-528.0127664186077
2023-08-18,126.95938571763438,-401.0533807009733
2023-08-25,-42.553201671637055,-443.6065823726104
2023-09-01,-29.95569149698115,-473.56227386959154
2023-09-08,-67.48856389890739,-541.0508377684989
2023-09-15,-12.128489318857547,-553.1793270873565
2023-09-22,21.30479253326798,-531.8745345540884
2023-09-29,28.20426516311148,-503.67026939097696
2023-10-06,-164.0072644959305,-667.6775338869074
2023-10-13,-136.30365083027218,-803.9811847171796
2023-10-20,5.819762951739277,-798.1614217654404
2023-10-27,-28.890026629100483,-827.0514483945409
2023-11-10,17.611941273696637,-809.4395071208443
2023-11-17,32.5894491343368,-776.8500579865074
2023-11-24,73.13537629499804,-703.7146816915093
2023-12-01,76.04525590424808,-627.6694257872613
2023-12-08,-189.55720339046835,-817.2266291777296
2023-12-15,-39.42406059152279,-856.6506897692524
2023-12-22,-234.6033553517227,-1091.2540451209752
2023-12-29,-40.818121079676224,-1132.0721662006515
2024-01-12,-82.9826862078626,-1215.054852408514
2024-01-19,28.61985284332802,-1186.434999565186
2024-01-26,-65.83183241838242,-1252.2668319835684
2024-02-02,11.413694065857605,-1240.853137917711
2024-02-09,195.9737298320708,-1044.87940808564
2024-02-16,-53.07951920400379,-1097.958927289644
2024-03-01,-10.644444676200791,-1108.6033719658446
2024-03-08,-144.56281176114118,-1253.1661837269858
2024-03-15,-110.28744033669396,-1363.4536240636796
2024-03-22,-26.694575641217305,-1390.148199704897
2024-03-29,17.164988759361542,-1372.9832109455356
2024-04-05,-39.591283423437986,-1412.5744943689735
2024-04-12,-194.8658489390016,-1607.4403433079751
2024-04-19,-118.4905653292274,-1725.9309086372025
2024-04-26,8.857130682480793,-1717.0737779547217
2024-05-10,-136.90729689366742,-1853.9810748483892
2024-05-17,-8.10572653218128,-1862.0868013805705
2024-05-24,-19.56810402819756,-1881.654905408768
2024-05-31,-188.25832160244062,-2069.9132270112086
2024-06-07,-4.620215565825703,-2074.5334425770343
2024-06-14,7.6902054625209395,-2066.843237114513
2024-06-21,68.66994785225846,-1998.1732892622547
2024-06-28,114.87110705416873,-1883.302182208086
2024-07-05,-38.844002036786506,-1922.1461842448725
2024-07-12,76.46316623209,-1845.6830180127824
2024-07-19,269.3438001696205,-1576.3392178431618
2024-07-26,167.84938817107638,-1408.4898296720853
2024-08-02,-94.17572069415573,-1502.665550366241
2024-08-09,-148.330225009979,-1650.9957753762199
2024-08-16,-151.21661030585835,-1802.212385682078
2024-08-23,12.797976050139134,-1789.414409631939
2024-08-30,-70.90839186458426,-1860.3228014965232
2024-09-06,-183.8348247270045,-2044.1576262235276
2024-09-13,-42.26039324609829,-2086.418019469626
2024-09-20,-34.32607591532403,-2120.74409538495
2024-09-27,-103.52413518516789,-2224.268230570118
2024-10-04,10.381319886857206,-2213.886910683261
2024-10-11,-21.874711416084942,-2235.761622099346
2024-10-18,-47.41635057041443,-2283.1779726697605
2024-10-25,-17.955899199803433,-2301.133871869564
2024-11-01,109.88512643353387,-2191.24874543603
2024-11-08,79.56031517813354,-2111.6884302578965
2024-11-15,169.79468986735043,-1941.893740390546
2024-11-22,-55.68068065269747,-1997.5744210432435
2024-11-29,-83.25024060404853,-2080.824661647292
2024-12-06,85.19771552933105,-1995.6269461179609
2024-12-13,239.97818717891224,-1755.6487589390485
2024-12-20,-115.83504596934887,-1871.4838049083974
2024-12-27,-177.07978862248441,-2048.563593530882
2025-01-10,-56.715940676830684,-2105.2795342077125
2025-01-17,-137.68652311590338,-2242.966057323616
2025-01-24,-63.95670575573119,-2306.922763079347
2025-01-31,-116.24169193313605,-2423.164455012483
2025-02-07,42.072773122508565,-2381.0916818899746
2025-02-14,32.6114862322865,-2348.480195657688
2025-02-21,-39.01254638314635,-2387.4927420408344
2025-02-28,3.7036110915344764,-2383.7891309492998
2025-03-07,47.86296289568224,-2335.9261680536174
2025-03-14,-85.92137215821374,-2421.847540211831
2025-03-21,185.44852381216646,-2236.3990163996646
2025-03-28,36.220954076694824,-2200.1780623229697
2025-04-04,1.601385959664917,-2198.5766763633046
2025-04-11,-14.568490186585025,-2213.14516654989
2025-04-18,66.36106017401909,-2146.7841063758706
2025-04-25,67.41582117348797,-2079.3682852023826
2025-05-02,-33.76246641450781,-2113.1307516168904
2025-05-09,31.029952935318853,-2082.1007986815716
2025-05-16,-13.564974108160605,-2095.6657727897323
2025-05-23,-95.35699473684951,-2191.022767526582
2025-05-30,130.71489329260947,-2060.3078742339726
2025-06-06,-137.24398002409367,-2197.551854258066
2025-06-13,177.89531511486706,-2019.656539143199
2025-06-20,160.7183348559267,-1858.9382042872724
2025-06-27,0.2832148905380727,-1858.6549893967342
2025-07-04,160.4442632132997,-1698.2107261834344
2025-07-11,25.770989380947725,-1672.4397368024868
2025-07-18,-43.01548886806241,-1715.4552256705492
2025-07-25,13.847619081955372,-1701.6076065885939
2025-08-01,-78.54014532125376,-1780.1477519098476
2025-08-08,163.23977230572177,-1616.9079796041258
2025-08-15,-113.92805347322837,-1730.8360330773542
2025-08-22,-0.43194760518135666,-1731.2679806825356
2025-08-29,-125.20759950870789,-1856.4755801912436
2025-09-05,-13.368951819957093,-1869.8445320112007
2025-09-12,243.71832121526785,-1626.1262107959328
2025-09-19,-14.305015414158209,-1640.431226210091
2025-09-26,-403.51078326643335,-2043.9420094765242
2025-10-03,141.51671408683063,-1902.4252953896935
2025-10-10,-153.35163627888934,-2055.7769316685826
2025-10-17,-92.27610608281421,-2148.053037751397
2025-10-24,33.97180815489195,-2114.081229596505
2025-10-31,-118.2162013926924,-2232.2974309891974
2025-11-07,-61.613514568566735,-2293.910945557764
2025-11-14,-27.9770461157095,-2321.8879916734736
2025-11-21,-160.62350304127233,-2482.511494714746
2025-11-28,177.09393653020257,-2305.4175581845434
2025-12-05,117.44856643395744,-2187.968991750586
2025-12-12,64.63959274676363,-2123.3293990038223
2025-12-19,0.5298692661587836,-2122.7995297376638
2025-12-26,-76.1644312828434,-2198.963961020507
2026-01-09,387.005569102858,-1811.9583919176494
2026-01-16,95.89141431048583,-1716.0669776071636
2026-01-23,146.39880917823857,-1569.6681684289251
2026-01-30,-20.642654309228035,-1590.310822738153
2026-02-06,-59.789581461433315,-1650.1004041995864
2026-02-13,91.90749856956735,-1558.192905630019
2026-02-20,-131.13635132910105,-1689.32925695912
2026-02-27,-107.28106451566315,-1796.610321474783
2026-03-06,180.2576679641549,-1616.352653510628
2026-03-13,22.026547428626294,-1594.3261060820016
2026-03-27,-154.35747986279904,-1748.6835859448006
2026-04-03,161.58175254329407,-1587.1018334015066
2026-04-10,231.3945466124437,-1355.707286789063
2026-04-17,-234.0719551002078,-1589.7792418892707
2026-04-24,68.65469505611425,-1521.1245468331565
