sector,entry,direction,N,mean_net,t_stat,sharpe
AI半導体,13:40:00,Momentum,493,-10.82,-0.49,-1.35
AI半導体,13:50:00,Reversion,492,-3.45,0.81,-0.44
AI半導体,13:50:00,Momentum,492,-12.55,-0.81,-1.61
AI半導体,14:00:00,Reversion,492,-4.61,0.62,-0.61
AI半導体,14:00:00,Momentum,492,-11.39,-0.62,-1.5
AI半導体,14:10:00,Reversion,492,-6.89,0.19,-0.87
AI半導体,14:10:00,Momentum,492,-9.11,-0.19,-1.15
AI半導体,14:20:00,Reversion,492,-4.62,0.62,-0.6
AI半導体,14:20:00,Momentum,492,-11.38,-0.62,-1.49
AI半導体,14:30:00,Reversion,492,-7.8,0.04,-1.05
AI半導体,14:30:00,Momentum,492,-8.2,-0.04,-1.11
AI半導体,14:40:00,Reversion,492,-9.55,-0.3,-1.32
AI半導体,14:40:00,Momentum,492,-6.45,0.3,-0.89
AI半導体,14:50:00,Reversion,492,-13.35,-1.59,-2.84
AI半導体,14:50:00,Momentum,492,-2.65,1.59,-0.57
