date,code,side,entry,exit,or_high,or_low,pnl,entry_ts
2025-04-01,58020,1,2468.5,2405.0,2468.5,2442.0,-0.027660775159055972,2025-04-01 09:20:00
2025-04-02,58020,-1,2415.5,2412.5,2435.0,2415.5,-0.0003572492186796573,2025-04-02 09:21:00
2025-04-04,58020,-1,2141.0,2087.5,2194.5,2141.0,0.02370583186467227,2025-04-04 09:16:00
2025-04-14,58020,-1,2052.0,2040.5,2103.5,2052.0,0.004020051444799828,2025-04-14 10:24:00
2025-04-15,58020,1,2161.0,2148.0,2161.0,2086.0,-0.007633900878130682,2025-04-15 09:21:00
2025-04-16,58020,-1,2102.5,2062.0,2130.0,2102.5,0.017850727270197878,2025-04-16 09:20:00
2025-04-18,58020,-1,2053.0,2056.0,2072.5,2053.0,-0.003060209556122199,2025-04-18 10:49:00
2025-04-21,58020,-1,2009.0,1997.5,2034.0,2009.0,0.0041406871745046665,2025-04-21 09:25:00
2025-04-22,58020,-1,1987.0,2013.0,2011.0,1987.0,-0.014600183087974712,2025-04-22 09:33:00
2025-04-23,58020,-1,2074.0,2081.0,2108.5,2074.0,-0.004969437604161706,2025-04-23 09:33:00
2025-04-24,58020,1,2199.0,2184.0,2199.0,2160.0,-0.008444653689965484,2025-04-24 09:18:00
2025-04-25,58020,1,2222.0,2221.5,2222.0,2205.0,-0.00182504782361212,2025-04-25 09:16:00
2025-04-28,58020,-1,2285.5,2256.5,2321.0,2285.5,0.01116987850474313,2025-04-28 09:18:00
2025-04-30,58020,-1,2272.0,2289.0,2302.5,2272.0,-0.009054540111524787,2025-04-30 11:00:00
2025-05-01,58020,1,2304.0,2348.0,2304.0,2272.5,0.017317159132205304,2025-05-01 09:39:00
2025-05-02,58020,-1,2347.5,2339.5,2369.0,2347.5,0.0018137007761469804,2025-05-02 09:58:00
2025-05-07,58020,-1,2339.0,2370.5,2372.0,2339.0,-0.01497741575799396,2025-05-07 09:17:00
2025-05-08,58020,-1,2364.0,2400.0,2392.0,2364.0,-0.016713637810048105,2025-05-08 09:22:00
2025-05-09,58020,1,2454.5,2441.5,2454.5,2425.5,-0.006910469996392281,2025-05-09 09:16:00
2025-05-12,58020,1,2479.0,2462.0,2479.0,2454.5,-0.008481225290791644,2025-05-12 09:42:00
2025-05-13,58020,-1,2520.0,2632.5,2543.5,2520.0,-0.04527506350266163,2025-05-13 09:18:00
2025-05-14,58020,1,2724.5,2656.5,2724.5,2645.0,-0.026875458132155104,2025-05-14 09:19:00
2025-05-15,58020,-1,2633.0,2655.5,2706.5,2633.0,-0.010109080366144513,2025-05-15 09:29:00
2025-05-16,58020,-1,2611.5,2655.0,2673.0,2611.5,-0.018119885799685712,2025-05-16 09:16:00
2025-05-19,58020,1,2629.0,2606.0,2629.0,2606.0,-0.010387067045090802,2025-05-19 09:50:00
2025-05-20,58020,-1,2656.0,2653.5,2698.0,2656.0,-0.0006582916716252035,2025-05-20 10:16:00
2025-05-21,58020,-1,2626.0,2624.5,2653.0,2626.0,-0.0010286258296129933,2025-05-21 09:28:00
2025-05-22,58020,1,2598.0,2693.0,2598.0,2562.0,0.034313895581054014,2025-05-22 09:31:00
2025-05-26,58020,-1,2798.0,2827.0,2837.0,2798.0,-0.01191120246816382,2025-05-26 09:22:00
2025-05-27,58020,1,2871.5,2861.5,2871.5,2837.0,-0.0050885784551942,2025-05-27 09:19:00
2025-05-28,58020,-1,2909.5,2889.5,2954.5,2909.5,0.005297768338891926,2025-05-28 10:54:00
2025-05-30,58020,1,3033.0,3036.0,3033.0,2999.5,-0.0006113691730605651,2025-05-30 09:21:00
2025-06-02,58020,1,3026.0,3014.0,3026.0,2991.0,-0.005573515161860495,2025-06-02 09:18:00
2025-06-03,58020,1,2986.0,2969.5,2986.0,2960.0,-0.007141110643220797,2025-06-03 09:18:00
2025-06-04,58020,-1,2979.0,2994.0,3004.0,2979.0,-0.006622612266291304,2025-06-04 09:22:00
2025-06-05,58020,-1,2971.0,2954.0,2999.0,2971.0,0.0041384123712825596,2025-06-05 10:05:00
2025-06-06,58020,1,2982.0,2972.5,2982.0,2962.5,-0.004790866759746806,2025-06-06 09:28:00
2025-06-09,58020,-1,2988.5,3017.0,2999.5,2988.5,-0.011091370894752246,2025-06-09 09:19:00
2025-06-10,58020,-1,2989.0,2996.5,3027.0,2989.0,-0.004106057614301978,2025-06-10 09:45:00
2025-06-11,58020,-1,2982.5,2919.5,3006.0,2982.5,0.019749506248478908,2025-06-11 09:20:00
2025-06-12,58020,-1,2914.0,2876.5,2932.0,2914.0,0.011352430451801952,2025-06-12 09:16:00
2025-06-13,58020,-1,2822.0,2805.0,2858.5,2822.0,0.004442314455962586,2025-06-13 09:18:00
2025-06-16,58020,-1,2815.0,2866.0,2833.5,2815.0,-0.019555067814326397,2025-06-16 09:28:00
2025-06-17,58020,1,2909.0,2919.5,2909.0,2866.5,0.0020029892283906416,2025-06-17 09:27:00
2025-06-18,58020,-1,2902.0,2927.5,2928.5,2902.0,-0.010348662027739208,2025-06-18 09:25:00
2025-06-19,58020,1,2909.5,2909.5,2909.5,2890.0,-0.0016,2025-06-19 09:38:00
2025-06-20,58020,1,2888.0,2862.0,2888.0,2864.0,-0.0106435398963206,2025-06-20 09:28:00
2025-06-23,58020,-1,2808.5,2818.0,2859.0,2808.5,-0.004976880486138159,2025-06-23 09:16:00
2025-06-24,58020,1,2883.0,2903.0,2883.0,2845.0,0.005313266386227717,2025-06-24 09:23:00
2025-06-25,58020,-1,2911.0,2926.5,2949.5,2911.0,-0.006910504985652426,2025-06-25 10:02:00
2025-06-26,58020,1,2954.0,3028.0,2954.0,2928.0,0.02314215146601424,2025-06-26 09:28:00
2025-06-27,58020,1,3098.0,3113.0,3098.0,3068.0,0.003230149464794295,2025-06-27 09:24:00
2025-06-30,58020,-1,3121.0,3095.0,3167.0,3121.0,0.00676555715208299,2025-06-30 14:01:00
2025-07-01,58020,1,3087.0,3121.0,3087.0,3060.0,0.009353717768620132,2025-07-01 09:42:00
2025-07-02,58020,1,3070.0,3057.0,3070.0,3010.0,-0.00584351869040829,2025-07-02 09:24:00
2025-07-03,58020,1,3058.0,3098.0,3058.0,3021.0,0.01139563448780627,2025-07-03 09:37:00
2025-07-04,58020,-1,3111.0,3110.0,3197.0,3111.0,-0.0012785082756427845,2025-07-04 09:52:00
2025-07-07,58020,-1,3045.0,3025.0,3080.0,3045.0,0.004989809679055553,2025-07-07 09:25:00
2025-07-08,58020,1,3210.0,3266.0,3210.0,3100.0,0.015695057406348786,2025-07-08 09:41:00
2025-07-09,58020,-1,3205.0,3209.0,3289.0,3205.0,-0.0028472717550864727,2025-07-09 09:35:00
2025-07-11,58020,-1,3200.0,3166.0,3235.0,3200.0,0.009081848346860452,2025-07-11 09:19:00
2025-07-14,58020,-1,3141.0,3170.0,3174.0,3141.0,-0.010790367332679686,2025-07-14 09:29:00
2025-07-15,58020,-1,3200.0,3271.0,3253.0,3200.0,-0.02354493875056602,2025-07-15 09:45:00
2025-07-16,58020,-1,3229.0,3263.0,3264.0,3229.0,-0.012074525835045454,2025-07-16 09:16:00
2025-07-17,58020,1,3246.0,3326.0,3246.0,3211.0,0.02274691167833648,2025-07-17 09:18:00
2025-07-18,58020,1,3359.0,3334.0,3359.0,3308.0,-0.009070526301553403,2025-07-18 09:16:00
2025-07-22,58020,-1,3350.0,3361.0,3436.0,3350.0,-0.0048782029059935665,2025-07-22 10:01:00
