date,code,side,gap,entry,exit,pnl
2025-04-23,57060,-1.0,0.018627467816181964,3793.0,3738.0,0.013006553673390804
2025-04-25,57060,-1.0,0.015719474850500306,3847.0,3876.0,-0.009110070258361774
2025-05-09,57060,-1.0,0.017839412950383295,3959.0,3953.0,-8.331619055486242e-05
2025-05-13,57060,-1.0,0.017254556738919843,4092.0,4042.0,0.01069422910795077
2025-05-15,57060,1.0,-0.016249196890796888,4273.0,4410.0,0.02995853279686665
2025-05-19,57060,1.0,-0.015524818350912326,4474.0,4436.0,-0.010129793579817298
2025-07-03,57060,-1.0,0.01947102011654472,5186.0,5150.0,0.005365972440827871
2025-07-09,57060,-1.0,0.01512536107075598,5196.0,5168.0,0.0038033323280523773
2025-07-31,57060,1.0,-0.016281915479270354,6031.0,6450.0,0.06556729633883134
2025-08-14,57060,1.0,-0.016440133952272427,7722.0,7686.0,-0.00627290569939237
2025-08-19,57060,1.0,-0.015275984181724548,8900.0,9141.0,0.02511851193358763
2025-09-16,57060,-1.0,0.01585428356110939,10490.0,10705.0,-0.021888499633440243
2025-09-18,57060,-1.0,0.02563622862063733,10470.0,10810.0,-0.0335576067686715
2025-09-19,57060,-1.0,0.017423641147253692,11000.0,10810.0,0.015823641147253577
2025-09-24,57060,-1.0,0.018639868659042703,10830.0,11005.0,-0.017629653965525703
2025-09-25,57060,-1.0,0.02645301073987,11300.0,11805.0,-0.0453204448191813
2025-10-02,57060,-1.0,0.024210144020132447,11915.0,12350.0,-0.03745795252328075
2025-10-08,57060,1.0,-0.023220857591682704,12770.0,13685.0,0.06760167244819454
2025-10-17,57060,1.0,-0.016584128015535295,13455.0,13675.0,0.014618564129175806
2025-10-20,57060,-1.0,0.020268518680240634,13955.0,14205.0,-0.019356148317865782
2025-10-22,57060,1.0,-0.022116640511979063,13415.0,13735.0,0.02197383566964975
2025-10-24,57060,-1.0,0.021811115450718538,13905.0,14080.0,-0.014106863043968234
2025-10-31,57060,-1.0,0.025470972648695103,15905.0,15760.0,0.00755844077137442
2025-11-11,57060,-1.0,0.019538534407648935,16280.0,15535.0,0.04524181772938357
2025-11-19,57060,1.0,-0.01608752910533505,19115.0,19400.0,0.013199698920906396
2025-11-26,57060,-1.0,0.02262539951797861,17880.0,17910.0,-0.0032764463272523525
2025-12-09,57060,1.0,-0.015070842857913345,18110.0,18000.0,-0.007692513999157305
2025-12-11,57060,1.0,-0.0183591949329982,18080.0,17580.0,-0.02964446270699946
2025-12-18,57060,1.0,-0.0175957618903796,16900.0,17250.0,0.018898521548340968
2025-12-24,57060,-1.0,0.017515499786409813,18430.0,18045.0,0.019511133586980037
2025-12-25,57060,-1.0,0.01676093640582743,18350.0,17860.0,0.025465999052226237
2025-12-29,57060,-1.0,0.018301912051266515,17645.0,17800.0,-0.010346000170805999
2025-12-30,57060,1.0,-0.022728251077556175,17400.0,17635.0,0.011815357467532008
2026-01-06,57060,-1.0,0.015210433340321268,18880.0,19175.0,-0.017104186535965255
2026-01-14,57060,-1.0,0.01830882340281591,20670.0,21445.0,-0.038408144275166915
2026-01-30,57060,1.0,-0.019608471388376313,21210.0,20370.0,-0.04200953833787666
2026-02-02,57060,1.0,-0.01908123807542765,19985.0,19795.0,-0.011152611605192935
2026-02-19,57060,-1.0,0.017382673034069377,29015.0,29675.0,-0.02409200285316012
2026-02-26,57060,-1.0,0.01939656266047566,36440.0,36200.0,0.005007953560032241
2026-03-27,57060,1.0,-0.02292176321174285,30190.0,31270.0,0.03354842775100241
2026-04-09,57060,1.0,-0.01961978686965218,34320.0,34770.0,0.011426671400008514
2026-04-10,57060,-1.0,0.017674348337601987,35390.0,37200.0,-0.05147946692172881
2026-04-13,57060,1.0,-0.018996500690655036,36500.0,36430.0,-0.0035196495679733946
