date,code,side,gap_pct,entry,exit,pnl
2025-04-15,58020,-1,2.3969190112996404,2090.0,2148.0,-0.028973110669898567
2025-05-12,58020,-1,1.5242648533475467,2479.0,2462.0,0.005281225290791644
2025-05-14,58020,-1,1.8815230496722952,2682.5,2656.5,0.008139728613855618
2025-05-28,58020,-1,1.680711831638119,2910.0,2889.5,0.005469604407705508
2025-05-30,58020,1,-1.5873349156290122,3000.0,3036.0,0.010328570865273811
2025-06-13,58020,1,-1.7535080188002607,2826.5,2805.0,-0.009235658158548809
2025-06-27,58020,-1,1.70272614102808,3080.0,3113.0,-0.01225729447398798
2025-06-30,58020,-1,1.6882069999349367,3166.0,3095.0,0.02108105532226101
2025-07-02,58020,1,-2.071942037994493,3057.0,3057.0,-0.0016
2025-07-04,58020,-1,1.9815285604143882,3160.0,3110.0,0.014349301407677952
2025-07-15,58020,-1,1.596028245987256,3221.0,3271.0,-0.01700387820718505
2025-07-30,58020,-1,1.7234499190469568,3570.0,3604.0,-0.01107874395454374
2025-08-12,58020,-1,1.7413689236967056,3997.0,3952.0,0.009722299843565096
2025-10-02,58020,-1,1.5381221284672484,4193.0,4197.0,-0.0025535161628282726
2025-10-10,58020,1,-1.5234244571847972,4560.0,4535.0,-0.007097539959194831
2025-11-05,58020,1,-1.6633783379731746,5962.0,5902.0,-0.01171471873513204
2025-11-28,58020,-1,1.6289658130787397,6189.0,6141.0,0.006185927409962336
2026-02-06,58020,1,-1.7706809666202712,7277.0,7540.0,0.033903492654915365
2026-02-18,58020,1,-1.619798859894871,8512.0,8826.0,0.03462497824806699
2026-03-19,58020,1,-2.715190603907757,9737.0,9948.0,0.019838463944539156
2026-04-02,58020,-1,1.6053426946984501,9419.0,9104.0,0.03241504845670497
2026-04-10,58020,1,-2.9241849594497418,10110.0,10580.0,0.04384039339777336
2026-04-15,58020,-1,2.9341958284015375,10375.0,9551.0,0.08115320506416143
2026-04-20,58020,-1,1.531910988285675,10130.0,9976.0,0.013719109882856679
2026-05-13,58020,1,-2.6088436084297855,11350.0,12775.0,0.11667239216235642
2026-05-21,58020,-1,2.810489432010852,10825.0,10730.0,0.007214717245946428
2025-04-15,58010,-1,1.5151805020602247,4389.0,4311.0,0.016331514941099412
2025-04-17,58010,1,-1.688821802852174,4110.0,4142.0,0.006155734465249258
2025-04-28,58010,-1,1.5514495584045007,4547.0,4454.0,0.019065106007697653
2025-05-19,58010,1,-1.8716623479239487,5293.0,5315.0,0.0025478189180607414
2025-06-09,58010,-1,1.583295726518116,7130.0,7068.0,0.0071336799687545535
2025-06-10,58010,-1,1.9336457868451544,7206.0,7000.0,0.02740386327058823
2025-06-30,58010,-1,1.7694683402726823,7298.0,7033.0,0.03538698068837474
2025-07-07,58010,1,-1.511786911280278,7090.0,6965.0,-0.01938773331226708
2025-07-11,58010,1,-1.584600845007804,7200.0,7093.0,-0.01657264380205992
2025-07-23,58010,-1,1.9300650593155697,7847.0,7570.0,0.034338225695978775
2025-07-24,58010,-1,1.8325120125880696,7710.0,8118.0,-0.053165630841467894
2025-08-06,58010,1,-1.5377773489970594,9615.0,9800.0,0.0174580066357832
2025-09-04,58010,-1,1.7338042676125165,8494.0,8486.0,-0.0006577148890537338
2025-09-12,58010,-1,1.6082688232745972,9402.0,9108.0,0.03016928440044558
2025-09-25,58010,1,-1.5597196813667928,9097.0,9205.0,0.010202125845116336
2025-10-02,58010,-1,1.5445186721623962,9004.0,8802.0,0.02108995465558616
2025-10-06,58010,-1,1.675268127515241,9029.0,9194.0,-0.019709478058694017
2025-10-08,58010,1,-1.6228853422221214,9168.0,9701.0,0.054909813006762676
2025-10-16,58010,-1,1.6308254454751672,9273.0,9536.0,-0.029567158504905097
2025-10-29,58010,-1,1.6121733717079794,10630.0,10475.0,0.013088726545655124
2025-11-10,58010,-1,1.8755058037006194,10495.0,9456.0,0.1026494926088539
2025-11-18,58010,1,-2.2516859284333406,10100.0,9350.0,-0.0787590805466181
2025-11-28,58010,-1,1.5387334528899155,9627.0,9928.0,-0.03238739710647651
2025-12-02,58010,-1,1.5504186535965254,9750.0,9690.0,0.004572859107080968
2025-12-03,58010,-1,1.5361285161487148,9840.0,10090.0,-0.02668912330135552
2025-12-16,58010,1,-1.602427194769868,9286.0,9050.0,-0.02734313188589517
2026-01-07,58010,1,-2.8903746182348993,10230.0,10120.0,-0.012410916104215618
2026-01-13,58010,-1,2.5629791264516797,10275.0,9964.0,0.029135162982364363
2026-01-19,58010,1,-2.5367213878423103,10120.0,10720.0,0.055997491783336545
2026-01-23,58010,-1,1.8041185782553883,12025.0,12205.0,-0.016457887853098516
2026-01-27,58010,-1,2.357673056399702,12875.0,12900.0,-0.0035398648178266764
2026-02-02,58010,1,-2.2422464055832396,13230.0,13095.0,-0.01185650016718911
2026-02-05,58010,1,-2.248772010427546,14950.0,14375.0,-0.040820713153281264
2026-02-06,58010,1,-2.1090412657660003,14075.0,14500.0,0.028148475400774697
2026-03-16,58010,-1,1.8082507550765612,31250.0,29405.0,0.05925464827049119
2026-03-19,58010,1,-1.7562797755355446,28220.0,29400.0,0.03936372791996805
2026-03-26,58010,-1,1.5878390126777875,31740.0,32210.0,-0.016299248244844546
2026-04-02,58010,-1,2.1316276050874325,33190.0,32420.0,0.021873109424353165
2026-04-07,58010,1,-1.8945086242449303,36600.0,36510.0,-0.004062044739775039
2026-04-16,58010,1,-1.5949301407677954,43540.0,45720.0,0.04725578312020844
2026-04-20,58010,1,-1.5691870962532082,44260.0,43070.0,-0.028854635556884414
2026-05-11,58010,-1,1.54801852878993,45570.0,43430.0,0.046499158729060616
2026-05-18,58010,-1,1.8188933605373943,55480.0,54840.0,0.010002740752517197
2025-04-22,58030,1,-1.5490462431634395,4484.0,4432.0,-0.013264555764930738
2025-05-01,58030,-1,1.5507118610070547,5329.0,5556.0,-0.043314821577452034
2025-05-08,58030,-1,1.7291497110061043,5775.0,5899.0,-0.022844588613080932
2025-05-15,58030,1,-1.6731191695205903,5927.0,5760.0,-0.03018070809790121
2025-06-30,58030,-1,1.9547143094165293,7749.0,7571.0,0.021638643660643525
2025-07-08,58030,-1,2.004075088344619,7560.0,7815.0,-0.034773773681998396
2025-07-23,58030,-1,1.7610222643723128,8593.0,8359.0,0.026009115614066942
2025-08-01,58030,1,-2.241809283898388,10145.0,10290.0,0.012591576568180083
2025-08-05,58030,-1,2.0241654952429218,10480.0,10675.0,-0.020035880221792157
2025-08-25,58030,-1,2.5785700247032954,11785.0,11495.0,0.023315378172949534
2025-08-27,58030,-1,1.5070252920998173,11700.0,11675.0,0.0005390382487494183
2025-08-28,58030,1,-2.6031838717946867,11375.0,12320.0,0.07820599326835957
