date,top5,all8
2025-04-08,,-0.02680839280829581
2025-04-09,,-0.02456704909166926
2025-04-14,0.01836543124569793,0.005177576442389455
2025-04-15,0.000343745636507381,0.004685080893822464
2025-04-17,0.006155734465249258,0.010671763341349838
2025-04-22,-0.013264555764930738,-0.013264555764930738
2025-04-23,0.03124110618924222,0.017208798609302967
2025-04-24,,0.007353002263744918
2025-04-25,-0.004402430605702116,-0.006756250432031945
2025-04-28,0.019065106007697653,0.019065106007697653
2025-04-30,0.026911382752036354,0.026911382752036354
2025-05-01,-0.022457410788726016,-0.012267240310317336
2025-05-08,-0.0034121993225338897,-0.0034121993225338897
2025-05-09,0.01664523716672638,0.005997408775116871
2025-05-12,0.005281225290791644,0.005281225290791644
2025-05-13,-0.012311655594927811,-0.000808713243488521
2025-05-14,0.008139728613855618,0.016603987848008456
2025-05-15,-0.03018070809790121,0.002649722015616281
2025-05-19,0.0025478189180607414,-0.0037909873308782783
2025-05-21,-0.020176385572935458,-0.0024937952484182582
2025-05-22,,-0.0031644209247194575
2025-05-28,-0.0069710936230204384,-0.0069710936230204384
2025-05-30,0.010328570865273811,0.010328570865273811
2025-06-09,0.0071336799687545535,0.0071336799687545535
2025-06-10,0.023251207087276717,0.023251207087276717
2025-06-13,-0.009235658158548809,-0.009235658158548809
2025-06-16,0.004299722127188271,0.004299722127188271
2025-06-27,-0.01225729447398798,-0.00836654226623275
2025-06-30,0.026035559890426423,0.026035559890426423
2025-07-02,-0.0016,-0.0016
2025-07-03,,0.005365972440827871
2025-07-04,0.014349301407677952,0.014349301407677952
2025-07-07,-0.01938773331226708,-0.01938773331226708
2025-07-08,-0.034773773681998396,-0.034773773681998396
2025-07-09,,0.011005134989174629
2025-07-11,-0.01657264380205992,-0.01657264380205992
2025-07-15,-0.01700387820718505,-0.01700387820718505
2025-07-22,-0.019536423913532632,-0.019536423913532632
2025-07-23,0.03017367065502286,0.03017367065502286
2025-07-24,-0.053165630841467894,-0.053165630841467894
2025-07-30,-0.01107874395454374,-0.01107874395454374
2025-07-31,,0.06556729633883134
2025-08-01,0.010931422836971724,0.010931422836971724
2025-08-04,,0.01435205199664789
2025-08-05,-0.020035880221792157,-0.020035880221792157
2025-08-06,0.0174580066357832,0.0174580066357832
2025-08-12,0.009722299843565096,0.009722299843565096
2025-08-14,,-0.00627290569939237
2025-08-18,-0.00823030924531814,-0.00823030924531814
2025-08-19,,0.02511851193358763
2025-08-25,0.023315378172949534,0.023315378172949534
2025-08-27,0.0005390382487494183,0.0005390382487494183
2025-08-28,0.07820599326835957,0.07820599326835957
2025-09-03,0.006499139079390815,0.006499139079390815
2025-09-04,-0.014823059601184175,-0.014823059601184175
2025-09-08,-0.0020691531871179654,-0.0020691531871179654
2025-09-09,0.06468205932469004,0.06468205932469004
2025-09-12,0.014206064689551151,0.01338327349123998
2025-09-16,0.025237768936759625,0.001674634651659691
2025-09-18,,-0.0335576067686715
2025-09-19,,0.015823641147253577
2025-09-22,-0.005114942107444592,-0.005114942107444592
2025-09-24,,-0.017629653965525703
