date,code,side,gap,entry,exit,pnl
2025-04-14,57140,-1.0,0.016207810226853303,4354.0,4382.0,-0.00801027836091902
2025-04-17,57140,1.0,-0.016103407566578735,4312.0,4385.0,0.015187792217450417
2025-04-24,57140,-1.0,0.015334364000106742,4600.0,4559.0,0.007353002263744918
2025-05-01,57140,1.0,-0.015408625352845068,4508.0,4552.0,0.008113100646500025
2025-05-09,57140,-1.0,0.015244197643117123,4627.0,4613.0,0.0014303053491790962
2025-05-14,57140,-1.0,0.015089745257029967,4674.0,4551.0,0.025068247082161293
2025-05-15,57140,1.0,-0.015500753230498916,4481.0,4525.0,0.008171341347883406
2025-05-21,57140,-1.0,0.015250840252466894,4625.0,4548.0,0.015188795076098941
2025-05-22,57140,1.0,-0.015511057711726573,4478.0,4471.0,-0.0031644209247194575
2025-09-12,57140,-1.0,0.017271586508660716,5548.0,5479.0,0.010914899896306465
2025-10-15,57140,-1.0,0.018054290719808994,5589.0,5649.0,-0.012278158055564002
2025-10-22,57140,1.0,-0.017999046022180956,5506.0,5581.0,0.011929565085880932
2025-11-05,57140,1.0,-0.018021752841078594,5499.0,5502.0,-0.0010545950232948294
2025-11-27,57140,-1.0,0.015310666864086714,6055.0,6058.0,-0.002095335599989976
2025-12-12,57140,-1.0,0.015375456646852689,6554.0,6736.0,-0.028990726663402844
2026-01-27,57140,1.0,-0.016426124912897393,9057.0,9315.0,0.026488064660740326
2026-02-27,57140,-1.0,0.020384683096087697,10655.0,11550.0,-0.08225617141722212
2026-03-06,57140,1.0,-0.03044375141472316,9705.0,10165.0,0.04470923045933648
2026-03-11,57140,-1.0,0.02552912329859986,10315.0,10245.0,0.005209364832352049
2026-03-12,57140,1.0,-0.019217147185778348,10050.0,9924.0,-0.014216568675530181
2026-03-13,57140,1.0,-0.015230266981591523,9774.0,9858.0,0.006957509435222929
2026-03-16,57140,1.0,-0.015333020418831063,9708.0,9629.0,-0.009770909606208017
2026-03-27,57140,1.0,-0.015651104680537806,9319.0,9390.0,0.005989966416653066
2026-04-14,57140,-1.0,0.015381763481484373,9827.0,10055.0,-0.02453632384432556
2026-04-15,57140,-1.0,0.022616499880305094,10285.0,10055.0,0.02101649988030508
2026-04-17,57140,1.0,-0.01606264761291409,10190.0,9962.0,-0.024228992583541827
2026-05-11,57140,-1.0,0.018009734765366173,10365.0,10360.0,-0.001117490943594038
2026-05-21,57140,-1.0,0.01762160134981941,10305.0,10165.0,0.012078767262112404
