ma,tol%,dd%,n,mean%,wr%,t,h1_mean%,h1_t,h2_mean%,h2_t
20,1.0,3.0,55,4.519139052275748,72.72727272727273,4.776203711516256,1.0071475698642833,1.2393894568610497,7.9057022674582305,5.536979986699847
25,1.0,10.0,15,5.664295802509134,86.66666666666667,4.527899116437688,5.311227241206973,2.413901923774467,5.973230793648526,4.019450145047507
20,0.5,5.0,35,4.153971517451014,77.14285714285715,4.444250121657331,1.7669051829203537,1.7147500238936524,6.408423055618859,4.726726076125744
25,0.5,3.0,30,6.45849428966417,83.33333333333334,4.076731731513581,5.524455263218792,1.9302085713968702,7.392533316109546,5.124003678579028
20,0.5,7.0,27,4.5045884528299815,81.48148148148148,4.051619828519957,2.635554079596971,1.9979911290353327,6.240120370832061,3.732430270840872
25,0.5,10.0,12,5.993058522765888,83.33333333333334,3.9051424609853,5.0977469454514415,1.9497629958475218,6.888370100080333,3.8469410939047344
25,2.0,10.0,18,4.815818611943744,83.33333333333334,3.8136323979250064,3.4577917757049548,1.5702548669478154,6.173845448182531,5.097129187687057
20,0.5,3.0,42,4.351012091866336,71.42857142857143,3.794787551837409,0.9974137882820305,1.0918787297353685,7.70461039545064,4.15955659548042
30,2.0,3.0,38,2.4360290664923583,65.78947368421053,1.9767505485577237,-0.08339661708105937,-0.04973582657723063,4.955454750065776,3.001112685890584
30,2.0,5.0,32,2.4991105855786,71.875,1.8179474337136334,0.5393163587347747,0.28309573314758013,4.458904812422425,2.327639913471252
30,0.5,5.0,21,3.2118340545303115,71.42857142857143,1.7971357673399133,0.9033238149226955,0.38769267567225507,5.310479726900872,2.0321759643292414
30,2.0,7.0,28,2.4786926014293322,71.42857142857143,1.7275122028649772,0.09089201177333527,0.04211519719755381,4.86649319108533,2.801823704144919
30,0.5,7.0,17,3.345904073331919,70.58823529411765,1.7263265023038727,0.4435134390529174,0.15149499866168492,5.9258068593577,2.4697157805785195
30,1.0,3.0,30,2.502355240196623,63.33333333333333,1.7019486869532747,0.11223686025455433,0.053264220985780805,4.892473620138691,2.543632656063419
30,1.5,3.0,34,2.245030072323753,64.70588235294117,1.6730532064796915,-0.6530295246459168,-0.35721572401362445,5.143089669293423,2.951815750425477
30,1.0,5.0,24,2.603045475737678,70.83333333333334,1.5196070010391411,0.23300897830836562,0.09985762291664114,4.973081973166991,2.064157446377844
30,1.5,5.0,28,2.2761948811004706,71.42857142857143,1.4916545921182243,-0.06342174676314727,-0.02969521893108221,4.6158115089640885,2.2340647457673914
30,0.5,3.0,25,2.3134357479299354,60.0,1.4858376531162574,-0.6107919934781395,-0.31447908597532637,5.012722893845082,2.2721708470408193
30,1.0,7.0,20,2.5952472759605185,70.0,1.4022863409241275,-0.2689022897103227,-0.09618548165732381,5.45939684163136,2.4858648515462116
30,1.5,7.0,24,2.2152212821799697,70.83333333333334,1.370767256070237,-0.6870398358011475,-0.27965129352165147,5.117482400161087,2.794299847815782
15,2.0,7.0,37,1.4728584694959044,56.75675675675676,1.2989533664934727,0.6676655017888247,0.541973454405261,2.2356728599552427,1.181079904554685
15,1.0,3.0,51,1.5711854259366391,50.98039215686274,1.2856451900210262,0.06062348376894686,0.049921128380376996,3.0236488318671126,1.4537819931289442
15,1.5,3.0,58,1.3862207371397754,51.724137931034484,1.2645026533683543,-0.05995193729766038,-0.054839147234752784,2.8323934115772116,1.5036127781160942
15,2.0,5.0,49,1.2068524508840173,55.10204081632652,1.2382359396771305,-0.09548730269746002,-0.0966066039111595,2.4570986143222355,1.49755380728138
30,0.5,10.0,15,2.1793585772732422,66.66666666666666,1.2276570647537166,-0.10895346695399281,-0.03281990228958403,4.181631615972073,2.7424374688779665
15,0.5,3.0,39,1.8147937282134008,51.28205128205128,1.2138167466758216,0.5874132281267891,0.4056281010786726,2.980805203295682,1.1529977687113697
15,2.0,3.0,65,1.0925772324512304,52.307692307692314,1.0256114793341877,-0.13399516967543446,-0.13407143235210658,2.2819807739073896,1.2299151948036342
15,1.5,7.0,34,1.1297667798865176,55.88235294117647,0.9516005519565865,0.8521688265702291,0.6596213835130013,1.4073647332028059,0.6920518954514306
15,1.5,5.0,46,0.9359147225676082,54.347826086956516,0.9297745821841917,0.13533795746898583,0.1348230646169589,1.7364914876662305,0.9895862122328625
15,1.0,5.0,40,0.9039926620603691,52.5,0.7986372271519181,-0.06378883566200186,-0.0568505751806266,1.8717741597827398,0.9475354091452355
50,1.0,3.0,18,1.2999085306112954,50.0,0.7672290510671632,-2.533372413102604,-1.5607128846582305,5.133189474325195,2.1147721680049307
50,1.0,7.0,12,1.3565543777165534,50.0,0.7653241062887823,-1.9932131527340566,-0.8257007076218206,4.706321908167164,2.512594713061885
15,1.0,7.0,29,0.9635685375074489,51.724137931034484,0.7079041985972329,0.8518983164616095,0.5690164358605989,1.0677940771502321,0.4673708881464668
50,1.0,5.0,16,1.1864475770322942,50.0,0.6605485084525932,-2.23211677306138,-1.234184268037952,4.605011927125968,1.7142254664803407
50,1.5,3.0,22,0.9839889454061521,50.0,0.6458419393041017,-2.7851502173739338,-1.7020532846915288,4.753128108186238,2.3109212788777547
50,2.0,3.0,22,0.9839889454061521,50.0,0.6458419393041017,-2.7851502173739338,-1.7020532846915288,4.753128108186238,2.3109212788777547
30,1.0,10.0,16,1.2183280155982539,62.5,0.6350065403903655,-1.744975584775565,-0.5275210154776875,4.181631615972073,2.7424374688779665
15,0.5,5.0,31,0.7917601043189171,51.61290322580645,0.5885983701361344,-0.12288122754978698,-0.08903613672632368,1.6492363529458272,0.7202181345387796
50,1.5,7.0,16,0.9080034862831667,50.0,0.5702363224751765,-3.6726274868408044,-2.2294428447191232,5.4886344594071375,3.7363886111311944
50,2.0,7.0,16,0.9080034862831667,50.0,0.5702363224751765,-3.6726274868408044,-2.2294428447191232,5.4886344594071375,3.7363886111311944
50,1.5,5.0,20,0.8616282240224369,50.0,0.5401680580225625,-2.569323485768088,-1.4327784896330744,4.292579933812961,1.9369505351857954
50,2.0,5.0,20,0.8616282240224369,50.0,0.5401680580225625,-2.569323485768088,-1.4327784896330744,4.292579933812961,1.9369505351857954
50,1.5,10.0,13,0.976142721966082,46.15384615384615,0.4986769993011621,-4.493839466806397,-2.120411298530395,5.664698883771065,3.2248698238467504
50,2.0,10.0,13,0.976142721966082,46.15384615384615,0.4986769993011621,-4.493839466806397,-2.120411298530395,5.664698883771065,3.2248698238467504
30,2.0,10.0,19,0.615615737793383,57.89473684210527,0.35878220104690944,-3.2832855857841867,-1.2462103463317096,4.124626929013195,2.488837705615312
30,1.5,10.0,17,0.6448636595197773,58.82352941176471,0.3409711104805559,-4.253844023416251,-1.531658808583746,4.999270488796248,3.176560303004817
15,0.5,7.0,23,0.5044927192724034,47.82608695652174,0.30502683185176366,0.4822467816384689,0.2640521821572625,0.5248848287701767,0.1890772925275197
40,1.0,7.0,16,0.4964233098182429,56.25,0.2155986242852175,-2.181058891431986,-0.6071277765213845,3.1739055110684715,1.1388028079603816
50,0.5,3.0,16,0.37897880448475196,43.75,0.21413022488201078,-3.7457331877980726,-3.0605547685748458,4.503690796767576,1.6943057861055433
40,1.5,7.0,17,0.3537781214971189,52.94117647058824,0.16321540409535484,-3.292127002887095,-0.9820398229488926,3.594582676505309,1.4414710177149304
40,0.5,7.0,13,0.16380386994089619,53.84615384615385,0.06696534476492018,-3.1585019997024735,-0.891097234448819,3.011494615349498,0.9373588787240956
50,0.5,5.0,14,0.11774775380495862,42.857142857142854,0.06270042307068395,-3.574635424136026,-2.554533882075783,3.810130931745943,1.2858912883781417
40,2.0,7.0,18,0.07118313508975319,50.0,0.03450407411276639,-3.4522164063258023,-1.1659690042109747,3.594582676505309,1.4414710177149304
50,0.5,7.0,10,-0.10560401466486499,40.0,-0.059665821156902124,-3.8249585401730974,-1.986379499750743,3.613750510843368,1.9393638821489207
40,1.0,3.0,20,-0.19804737478740542,50.0,-0.09828080578991918,-2.7209734069635703,-0.9525469342539176,2.32487865738876,0.8449378146627027
40,0.5,3.0,16,-0.309776546178808,50.0,-0.1399118811930825,-2.6818863360840046,-0.9916278608915127,2.062333243726389,0.5931951251254399
40,1.5,3.0,21,-0.28045201844709355,47.61904761904761,-0.14618070649407028,-3.6098278961276575,-1.3607393625737596,2.7462533248988734,1.0879360841839256
40,1.0,5.0,18,-0.4653411007908173,50.0,-0.21541625918055118,-2.4740351706892563,-0.7775741355795591,1.5433529691076213,0.5232388963586788
40,2.0,3.0,22,-0.48283745551020146,45.45454545454545,-0.26235348408897874,-3.7119282359192765,-1.5455047213105384,2.7462533248988734,1.0879360841839256
40,1.5,5.0,19,-0.5423518266250306,47.368421052631575,-0.2652358898507995,-3.461651269760464,-1.168948260535911,2.08501767219686,0.7741649758991253
40,0.5,5.0,14,-0.6694012183819664,50.0,-0.27740758019358847,-2.3588104507485204,-0.7607694311283962,1.0200080139845864,0.26633279662331844
40,2.0,5.0,20,-0.751880816985552,45.0,-0.38535429538096927,-3.5887793061679636,-1.3533623080181196,2.08501767219686,0.7741649758991253
40,1.5,10.0,13,-1.7851705869578558,46.15384615384615,-0.8383009052249604,-5.99147543380759,-1.720639534454562,1.8202335674847738,0.9745298149014602
40,1.0,10.0,13,-1.7851705869578558,46.15384615384615,-0.8383009052249604,-5.99147543380759,-1.720639534454562,1.8202335674847738,0.9745298149014602
40,2.0,10.0,14,-1.9957249474491134,42.857142857142854,-1.0065413717047385,-5.811683462383001,-1.9711202802810361,1.8202335674847738,0.9745298149014602
40,0.5,10.0,11,-2.00550366166476,45.45454545454545,-1.0381882673863592,-4.652358755863226,-1.1817802858030435,0.20020891683396158,0.18201471446829495
