ma,tol%,dd%,n,mean%,wr%,t,h1_mean%,h1_t,h2_mean%,h2_t
25,1.5,5.0,35,6.80799216758344,88.57142857142857,6.6308160766255515,6.083109555397374,4.15003297807891,7.492603523536951,5.130365433473276
25,1.0,5.0,32,6.825073946839441,90.625,6.507451964731758,5.432252202892995,3.885197243938565,8.217895690785888,5.380183665112921
20,1.5,7.0,39,5.540443328539336,87.17948717948718,6.361213855049894,3.698976577264378,3.78959662464388,7.289836742250546,5.478726636691181
20,2.0,7.0,45,5.017837334983645,84.44444444444444,6.35876296455287,3.3090565156481166,3.7648345117306294,6.652323336087195,5.462716305057323
20,1.5,10.0,15,6.09833431099769,93.33333333333333,6.2506969904129255,5.24631959242534,4.8611103678222,6.843847189748496,4.306351433583482
25,1.5,7.0,30,6.590493223127042,90.0,6.1693178321604805,6.734468166255587,4.26540713590068,6.446518279998497,4.314900583211298
25,1.0,7.0,27,6.586571745453811,92.5925925925926,6.058513964468565,6.105450344992473,3.718635595804703,7.0333273315964835,4.724345751286839
20,1.0,10.0,13,5.531384181612333,92.3076923076923,5.91813326535615,5.34793983249799,4.206656201646957,5.688622195138913,3.943094059282452
20,2.0,5.0,58,4.508029658673158,77.58620689655173,5.879617452122573,2.2513449630908977,2.6156081559389373,6.7647143542554184,5.958736919291141
20,2.0,10.0,17,5.616971526700736,88.23529411764706,5.8685174713939405,4.448549702807537,3.620165254293917,6.65556870349469,4.706336959441661
25,2.0,5.0,42,5.981203815444506,83.33333333333334,5.853416597937174,5.209544170037515,3.3533851102921357,6.752863460851499,5.022130995282749
20,1.5,5.0,52,4.841160191188716,78.84615384615384,5.782496788343996,1.8029937705923318,1.9809066220336276,7.879326611785099,6.929639674683868
20,1.0,7.0,36,5.258808984489259,86.11111111111111,5.759719556680408,3.504856050033747,3.4657103644066436,7.012761918944772,4.900384569950194
20,1.0,5.0,47,4.572876453917265,78.72340425531915,5.744387362675812,1.8801895149338401,2.179041157998775,7.153368103776379,6.508604658296478
25,0.5,5.0,25,5.985509494413102,88.0,5.324541304282745,4.619954991961519,3.061541727725379,7.246021342829947,4.444799404525015
25,2.0,7.0,36,5.76144459394963,83.33333333333334,5.255405041947588,5.765053440444052,3.2461165771122644,5.7578357474552115,4.298002797454284
20,1.5,3.0,61,4.932788092450728,73.77049180327869,5.2236446679643755,0.9509686210820935,1.1369446763706557,8.786161774420373,6.46223765180938
25,1.0,3.0,37,7.095120476444855,86.48648648648648,5.178719648415747,6.818479485021589,2.770177183272911,7.357201415687948,5.362861184290206
25,1.5,3.0,42,6.6252593991074695,80.95238095238095,5.169716462030899,6.433025499683419,2.871563725525866,6.81749329853152,5.211464827258179
20,2.0,3.0,69,4.418668406390211,72.46376811594203,5.089435450661237,0.9285331209772201,1.1442091477587941,7.809085540791402,6.0518960756804665
25,2.0,3.0,50,5.9094426560782916,78.0,5.040251283401099,5.189344569615243,2.579590975178958,6.62954074254134,5.371987139664477
25,0.5,7.0,21,6.105641711483876,90.47619047619048,4.882469814751278,5.3043619955616705,3.0874342840490163,6.834077816867696,3.682304507237321
25,1.5,10.0,16,5.598018921378827,87.5,4.776234988009449,4.81060945296135,2.4417458479777263,6.3854283897963064,4.721901801835248
