hold,stop%,n,mean%,wr%,t,sharpe,max_loss%,pf,stop_rate%
5,None,32,6.825073946839441,90.625,6.507451964731758,8.166787400222542,-4.732931633835462,41.038402718470074,0.0
5,-10,32,6.825073946839441,90.625,6.507451964731758,8.166787400222542,-4.732931633835462,41.038402718470074,0.0
10,-10,32,13.778575880569207,90.625,8.65810845006172,7.683309054194114,-10.039999999999997,25.53088526937635,3.125
10,-7,32,13.722443654443367,90.625,8.550504022620533,7.587819597530591,-7.040000000000006,23.211250092961354,6.25
5,-7,32,6.607322030518777,90.625,5.923267845182628,7.433642148778401,-7.040000000000006,18.019744676940793,3.125
10,None,32,13.613092103048928,90.625,8.114744577287599,7.20112145080626,-15.335480880648904,19.720734509442607,0.0
7,-10,32,8.95393254720957,87.5,6.5259074714230865,6.921770139658829,-10.039999999999997,23.070729449708853,3.125
7,-7,32,8.84490188607894,87.5,6.345120999377752,6.730017129163757,-7.040000000000006,18.18379919404662,6.25
14,-10,32,17.48356365383373,93.75,8.91534372945985,6.686507797094886,-10.039999999999997,32.74475447755426,3.125
7,None,32,8.830091295761134,87.5,6.167744074402829,6.541880489450079,-14.002920046349946,17.675214562391165,0.0
14,-7,32,17.314684963519454,90.625,8.633675846482074,6.475256884861555,-7.040000000000006,27.23437115684764,9.375
14,None,32,17.25923717642933,93.75,8.32853358255745,6.246400186918086,-17.2184472769409,23.267659240532478,0.0
10,-5,32,11.85345476052448,78.125,6.375260399243635,5.657482373994129,-5.0400000000000045,11.751432889364596,21.875
5,-5,32,5.673097849064949,78.125,4.424906794878765,5.553213954621117,-5.0400000000000045,6.9359717107880625,15.625
20,None,32,19.982790146155992,90.625,8.488137105390026,5.326263761865367,-11.629085072231142,41.24072383488673,0.0
7,-5,32,7.729881849363756,78.125,4.995702898371232,5.298743094347381,-5.0400000000000045,8.657501254639419,18.75
20,-10,32,19.79870774527735,90.625,8.193612008484898,5.1414507303216705,-10.039999999999997,30.08735738997864,6.25
14,-5,32,15.591567011366603,78.125,6.793018822798891,5.094764117099167,-5.0400000000000045,15.142010894663573,21.875
5,-3,32,4.8235825067276075,68.75,4.000862762152611,5.021042917112697,-3.0400000000000027,6.077455270239587,31.25
20,-7,32,19.5897988503556,87.5,7.985028057513897,5.0105653398561865,-7.040000000000006,28.468867776443055,9.375
10,-3,32,10.43970342156,68.75,5.573528180877129,4.9460156087134735,-3.0400000000000027,11.989161496378946,31.25
7,-3,32,6.949706603894045,68.75,4.557718712529024,4.83419071255514,-3.0400000000000027,8.315480635677945,31.25
14,-3,32,13.757511440080851,68.75,5.836155763152862,4.377116822364646,-3.0400000000000027,15.481590989558793,31.25
20,-5,32,15.613085880618799,71.875,5.52550693740802,3.4672280856495092,-5.0400000000000045,12.014522667103199,28.125
20,-3,32,14.311559388477253,65.625,5.1714755931700145,3.245075180251461,-3.0400000000000027,14.695272142083498,34.375
