stop%,n,mean%,wr%,t,sharpe,max_loss%,avg_loss%,avg_win%,pf,stop_rate%,h1_sharpe,h1_t,h2_sharpe,h2_t
None,32,13.613092103048928,90.625,8.114744577287599,7.20112145080626,-15.335480880648904,-7.756443300481301,15.82373369651757,19.720734509442607,0.0,4.699024065775625,3.744271999577232,12.962608898748643,10.328854004931317
-3,32,10.43970342156,68.75,5.573528180877129,4.9460156087134735,-3.0400000000000027,-3.0399999999999996,16.566841340450903,11.989161496378946,31.25,5.221724372101524,4.160769573062943,4.687493322482955,3.735084083397039
-5,32,11.85345476052448,78.125,6.375260399243635,5.657482373994129,-5.0400000000000045,-5.040000000000005,16.583622093471334,11.751432889364596,21.875,4.58402447934215,3.6526381357326243,6.885889421246514,5.486808024657922
-7,32,13.722443654443367,90.625,8.550504022620533,7.587819597530591,-7.040000000000006,-6.590026752273949,15.82373369651757,23.211250092961354,6.25,5.606850622743366,4.467645515044821,11.156567878567358,8.889766073629886
-10,32,13.778575880569207,90.625,8.65810845006172,7.683309054194114,-10.039999999999997,-5.991283006931666,15.82373369651757,25.53088526937635,3.125,5.271249315693137,4.200231992700521,12.962608898748643,10.328854004931317
-15,32,13.622325880569207,90.625,8.145119606095738,7.228076614882696,-15.040000000000001,-7.657949673598334,15.82373369651757,19.974375072441816,3.125,4.729908229846182,3.768881090558904,12.962608898748643,10.328854004931317
