entry_date,entry,ma_touch,fwd1_pct,fwd1_exit,fwd3_pct,fwd3_exit,fwd5_pct,fwd5_exit,fwd10_pct,fwd10_exit,fwd20_pct,fwd20_exit
2025-01-10,15495.0,2025-01-10,1.1216650532429773,15675.0,-5.751519845111324,14610.0,-5.46110358180058,14655.0,-0.911248789932233,15360.0,-1.4920813165537217,15270.0
2025-01-21,15045.0,2025-01-21,2.951026919242268,15495.0,1.0234762379527984,15205.0,0.724373546028585,15160.0,1.6216816218012697,15295.0,-0.006766367563963947,15050.0
2025-01-22,15495.0,2025-01-22,1.1216650532429773,15675.0,-0.911248789932233,15360.0,-3.170041949015816,15010.0,1.5088867376573178,15735.0,-3.1055050016134222,15020.0
2025-01-24,15205.0,2025-01-24,0.9794015126603117,15360.0,-1.3224728707661937,15010.0,-1.1251693521867767,15040.0,3.347043735613293,15720.0,-0.9607497533705978,15065.0
2025-01-25,15360.0,2025-01-25,-1.342083333333337,15160.0,-2.318645833333337,15010.0,0.904010416666674,15505.0,-0.6259375,15270.0,-1.960572916666663,15065.0
2025-01-28,15160.0,2025-01-28,-1.029445910290232,15010.0,-0.8315567282321901,15040.0,0.8505013192612054,15295.0,0.6526121372031746,15265.0,-3.8988390501319237,14575.0
2025-01-29,15010.0,2025-01-29,-0.04,15010.0,3.2578014656895427,15505.0,4.790113257828117,15735.0,0.9260226515656234,15155.0,-4.103957361758829,14400.0
2025-01-30,15010.0,2025-01-30,0.15986675549632515,15040.0,1.8587341772152,15295.0,3.724157228514331,15575.0,3.0912458361092643,15480.0,-10.999360426382413,13365.0
2025-01-31,15040.0,2025-01-31,3.0517553191489366,15505.0,4.581010638297873,15735.0,4.481276595744683,15720.0,3.816382978723394,15620.0,-11.609148936170214,13300.0
2025-02-01,15505.0,2025-02-01,-1.3944018058690766,15295.0,0.41146726862301813,15575.0,-1.5556401160915878,15270.0,-1.6201354401805856,15260.0,-16.16383102225089,13005.0
2025-02-04,15295.0,2025-02-04,2.8367571101667277,15735.0,2.7386858450473905,15720.0,-0.23614253023864104,15265.0,-1.6418306636155555,15050.0,-11.28550506701536,13575.0
2025-02-06,15575.0,2025-02-06,0.8909791332263284,15720.0,-2.0303691813804137,15265.0,-0.6499518459068976,15480.0,-5.690080256821832,14695.0,-11.629085072231142,13770.0
2025-02-21,14695.0,2025-02-21,2.4778632187818905,15065.0,-0.8566042871725066,14575.0,-9.090697516161963,13365.0,-6.334658046954749,13770.0,-4.599373936713163,14025.0
2025-03-13,14340.0,2025-03-13,0.13433751743374248,14365.0,1.0408926080892567,14495.0,0.0994700139470073,14360.0,-4.154365411436538,13750.0,-15.869846582984662,12070.0
2025-03-14,14365.0,2025-03-14,1.0042046641141678,14515.0,1.3870797076227026,14570.0,-2.685318482422554,13985.0,-6.68810302819353,13410.0,-16.747274625826662,11965.0
2025-03-15,14515.0,2025-03-15,-0.17778849466069555,14495.0,-1.1078608336203932,14360.0,-3.4158181191870463,14025.0,-12.475411643127803,12710.0,-16.953537719600412,12060.0
2025-03-18,14495.0,2025-03-18,0.4774197999310071,14570.0,-3.558454639530877,13985.0,-3.7654225595032775,13955.0,-11.112783718523627,12890.0,-17.459799931010693,11970.0
2025-03-20,14360.0,2025-03-20,-2.6514206128133755,13985.0,-2.860334261838442,13955.0,-4.287910863509752,13750.0,-15.464791086350974,12145.0,-13.654206128133708,12405.0
2025-03-22,13985.0,2025-03-22,0.24602073650338954,14025.0,0.031505184125841836,13995.0,-4.1515480872363275,13410.0,-16.84371826957454,11635.0,-12.338891669646049,12265.0
2025-03-26,13955.0,2025-03-26,0.24663561447510587,13995.0,-3.9454102472232178,13410.0,-7.671673235399495,12890.0,-18.241361519168755,11415.0,-14.980881404514506,11870.0
2025-03-27,13995.0,2025-03-27,-1.7906252232940334,13750.0,-9.221850660950341,12710.0,-10.293662022150766,12560.0,-24.97747767059664,10505.0,-11.901379063951415,12335.0
2025-04-24,12335.0,2025-04-24,1.257122010539109,12495.0,4.499927036886904,12895.0,7.175241183623844,13225.0,19.741110660721525,14775.0,20.26806647750305,14840.0
2025-04-25,12495.0,2025-04-25,5.402176870748305,13175.0,6.242513005202084,13280.0,5.642272909163655,13205.0,19.767923169267718,14970.0,17.64707482993197,14705.0
2025-06-03,14130.0,2025-06-03,0.34924274593064025,14185.0,4.3124416135881205,14745.0,5.197084217975929,14870.0,4.807841472045289,14815.0,37.893474876150044,19490.0
2025-06-04,14185.0,2025-06-04,-1.485188579485368,13980.0,2.2159041240747257,14505.0,5.035784279168127,14905.0,8.490137469157563,15395.0,32.07138526612618,18740.0
2025-06-05,13980.0,2025-06-05,5.4321030042918395,14745.0,6.3262374821173095,14870.0,9.330529327610867,15290.0,15.339113018598002,16130.0,34.33052932761087,18785.0
2025-06-06,14745.0,2025-06-06,-1.6676703967446627,14505.0,1.0451135978297676,14905.0,3.0457917938284185,15200.0,6.368952187182093,15690.0,28.07122414377756,18890.0
2025-06-07,14505.0,2025-06-07,2.4763736642537015,14870.0,5.37192692175112,15290.0,0.6838883143743546,14610.0,14.093057566356434,16555.0,28.570823853843503,18655.0
2025-07-18,17260.0,2025-07-18,1.2056546929316303,17475.0,-0.30071842410196886,17215.0,-4.732931633835462,16450.0,-15.335480880648904,14620.0,-2.5602780996523733,16825.0
2025-08-20,16430.0,2025-08-20,-1.744199634814363,16150.0,-2.3832744978697518,16045.0,-4.817845404747416,15645.0,-7.13068776628119,15265.0,1.7250639074862972,16720.0
2025-08-21,16150.0,2025-08-21,-3.1050154798761653,15655.0,-0.9687925696594424,16000.0,-1.9285448916408643,15845.0,-7.191702786377712,14995.0,5.563715170278645,17055.0
2025-08-22,15655.0,2025-08-22,2.4512168636218368,16045.0,-0.10387735547748186,15645.0,1.908259342063241,15960.0,-4.415598850207596,14970.0,22.508706483551585,19185.0
2025-08-23,16045.0,2025-08-23,-0.32046120286693286,16000.0,-1.2864942349641684,15845.0,-2.4706637581801183,15655.0,-2.5329884699283256,15645.0,32.05722655032721,21195.0
2025-08-26,16000.0,2025-08-26,-2.2587500000000027,15645.0,-0.28999999999999465,15960.0,-4.383750000000002,15305.0,-0.04,16000.0,34.46,21520.0
2025-08-27,15645.0,2025-08-27,1.238363694471074,15845.0,0.023918184723554815,15655.0,-2.4688910194950497,15265.0,3.443541067433693,16190.0,37.57585170981143,21530.0
2025-08-28,15845.0,2025-08-28,0.6857810034711376,15960.0,-3.4480151467339892,15305.0,-5.404468286525714,14995.0,1.9164531397917361,16155.0,24.478775639002844,19730.0
2025-08-29,15960.0,2025-08-29,-1.9510275689223078,15655.0,-4.3946365914787,15265.0,-6.243007518796988,14970.0,3.9700250626566413,16600.0,26.557744360902255,20205.0
2025-08-30,15655.0,2025-08-30,-2.2757074417119094,15305.0,-4.255905461513891,14995.0,-0.10387735547748186,15645.0,6.539367614180764,16685.0,29.66297029702971,20305.0
2025-09-02,15305.0,2025-09-02,-0.30135249918327606,15265.0,-2.2288271806599136,14970.0,4.500999673309365,16000.0,10.479438092126767,16915.0,29.460163345311983,19820.0
2025-09-03,15265.0,2025-09-03,-1.8087520471667218,14995.0,2.4493547330494536,15645.0,6.019613494923033,16190.0,9.491608254176228,16720.0,33.337006223386844,20360.0
2025-09-06,15645.0,2025-09-06,2.2290955576861515,16000.0,3.219827420901251,16155.0,6.60749121124959,16685.0,35.43459252157239,21195.0,30.161342281879186,20370.0
2025-11-20,26330.0,2025-11-20,6.13166729965819,27955.0,0.5676718571971229,26490.0,5.732882643372568,27850.0,22.253961260919095,32200.0,6.644390429168241,28090.0
2025-11-22,26515.0,2025-11-22,-0.13428625306430184,26490.0,4.994885913633791,27850.0,4.636598151989442,27755.0,19.741255892890816,31760.0,13.93322270412973,30220.0
2025-11-26,26490.0,2025-11-26,0.46962627406567764,26625.0,5.9622650056625215,28080.0,6.5662665156662925,28240.0,24.19556058890146,32910.0,13.210283125707818,30000.0
2025-11-27,26625.0,2025-11-27,4.560938967136159,27850.0,4.204131455399058,27755.0,13.800375586854472,30310.0,18.344976525821608,31520.0,11.640751173708926,29735.0
2025-11-28,27850.0,2025-11-28,0.7858527827648132,28080.0,1.3603590664272813,28240.0,15.579389587073607,32200.0,11.27059245960502,31000.0,5.381903052064625,29360.0
2025-12-02,27755.0,2025-12-02,1.707432894973877,28240.0,15.975132408575039,32200.0,14.389832462619353,31760.0,9.129519005584582,30300.0,5.958919113673207,29420.0
2025-12-17,29445.0,2025-12-17,-0.396597045338769,29340.0,-3.181450161317716,28520.0,1.8448700967906362,30000.0,0.6392324673119409,29645.0,25.61800645270844,37000.0
2025-12-18,29340.0,2025-12-18,-4.30039536468984,28090.0,2.959318336741652,30220.0,1.3062849352419814,29735.0,8.037709611451934,31710.0,22.761635991820036,36030.0
2025-12-20,28520.0,2025-12-20,5.920729312762969,30220.0,4.220168302945311,29735.0,5.149340813464227,30000.0,12.512594670406726,32100.0,35.75943899018232,38730.0
2025-12-25,29735.0,2025-12-25,-1.3011400706238452,29360.0,-1.099357659324034,29420.0,6.602004371952237,31710.0,11.209369429964685,33080.0,24.056182949386248,36900.0
2025-12-26,29360.0,2025-12-26,2.1398365122615903,30000.0,0.9307084468664861,29645.0,11.540381471389646,32760.0,18.48861035422344,34800.0,33.543106267029984,39220.0
2025-12-27,30000.0,2025-12-27,-1.9733333333333314,29420.0,5.659999999999994,31710.0,6.960000000000006,32100.0,19.393333333333324,35830.0,24.82666666666666,37460.0
2025-12-30,29420.0,2025-12-30,0.724785859959205,29645.0,11.312821210061182,32760.0,4.310781781101287,30700.0,24.33117607070021,36590.0,23.651366417403125,36390.0
2025-12-31,29645.0,2025-12-31,6.925761511216062,31710.0,8.241329060549837,32100.0,2.4393388429751983,30380.0,24.77025468038456,37000.0,5.576461460617295,31310.0
2026-01-09,30700.0,2026-01-09,-1.082345276872969,30380.0,13.31504885993486,34800.0,19.145667752442993,36590.0,18.819934853420193,36490.0,-1.7012377850162896,30190.0
2026-01-10,30380.0,2026-01-10,8.847425938117178,33080.0,17.899433838051344,35830.0,21.750651744568803,37000.0,17.471520737327182,35700.0,2.9883080974325305,31300.0
