date,pnl
2025-04-01,4.229513761089699e-05
2025-04-02,-0.0025905064757293706
2025-04-03,-0.00018801109992510581
2025-04-04,0.0003354344971785695
2025-04-07,0.003228443378558943
2025-04-08,-0.001924070773917614
2025-04-09,-0.010220938768036356
2025-04-10,-0.001871904276600777
2025-04-11,-0.001135817101377003
2025-04-14,-0.001774743438070013
2025-04-15,-0.0020908020042816355
2025-04-16,-0.005693183540662164
2025-04-17,-0.002670225182599262
2025-04-18,0.0003574197587875611
2025-04-21,-0.0016328089220021436
2025-04-22,0.0014411230345949707
2025-04-23,-0.004055512319355086
2025-04-24,-0.01278399562211244
2025-04-25,-0.001168276940115989
2025-04-28,-0.0028648889720615063
2025-04-30,-0.002507016403891676
2025-05-01,-0.0017243399451350506
2025-05-02,-0.00766484677651953
2025-05-07,0.002332541857939065
2025-05-08,0.0013227938802839571
2025-05-09,-0.009286634980796323
2025-05-12,0.001467398968015521
2025-05-13,-0.019460953359943394
2025-05-14,0.0008149405567762038
2025-05-15,-0.0030665338587159245
2025-05-16,-0.0013462881822903418
2025-05-19,-0.005981301781215901
2025-05-20,0.006259558687899837
2025-05-21,-0.002189920664128435
2025-05-22,0.00409939554681191
2025-05-23,-0.001321465732143578
2025-05-26,-0.005143848781477828
2025-05-27,-0.008659342831865625
2025-05-28,-0.004910474116111962
2025-05-29,-0.010157528554774146
2025-05-30,-0.0026363084916453086
2025-06-02,-0.00507817035361391
2025-06-03,0.0023201431238374292
2025-06-04,-1.2426172971878851e-05
2025-06-05,0.00022487992215473786
2025-06-06,-0.0058847843981619
2025-06-09,-0.004652592399727902
2025-06-10,0.002698547986701876
2025-06-11,-0.0016044222681605629
2025-06-12,-0.0014182331396433642
2025-06-13,0.0003457099430336111
2025-06-16,-0.008420494286895482
2025-06-17,0.005082279627908667
2025-06-18,-0.0066203722930891894
2025-06-19,-0.00045274728864969256
2025-06-20,-0.005596426640794332
2025-06-23,-0.00338574972549423
2025-06-24,0.007965517088673452
2025-06-25,-0.007342549302439201
2025-06-26,-0.00225266663487373
2025-06-27,-0.0021925084435162785
2025-06-30,-0.003786103058718269
2025-07-01,-0.010435222856966245
2025-07-02,0.0001668900707426119
2025-07-03,0.0004297297479018522
2025-07-04,-0.0004712785401746085
2025-07-07,-0.003307675563728879
2025-07-08,-0.007473733628422005
2025-07-09,-0.010073066103598986
2025-07-10,-0.005547199903710357
2025-07-11,0.0005540506518047864
2025-07-14,0.0010218338266995664
2025-07-15,0.0017247084725320696
2025-07-16,-0.004279865368355104
2025-07-17,-0.0032531086131900966
2025-07-18,-0.005409633957802501
2025-07-22,0.0020343061742171143
2025-07-23,-0.005991067625980317
2025-07-24,-1.8035421082578974e-05
2025-07-25,0.002520769999470111
2025-07-28,-0.004975792656185071
2025-07-29,-0.007545361565647416
2025-07-30,0.0014223014884517276
2025-07-31,-0.0018643676791224237
2025-08-01,-0.0007678760571608705
2025-08-04,-0.002993975440067129
2025-08-05,-0.0016708961948701
2025-08-06,-0.009095399549617517
2025-08-07,-0.017993702511085508
2025-08-08,0.0049216251788658846
2025-08-12,-0.005914739596499463
2025-08-13,0.002790454895121291
2025-08-14,0.002185418649456649
2025-08-15,-0.01601691156436254
2025-08-18,-0.0017388033028738576
2025-08-19,-0.0004283408111836729
2025-08-20,-0.003415400621199341
2025-08-21,-0.008949950056663623
2025-08-22,-0.004024381445542379
2025-08-25,-0.004262578221137058
2025-08-26,0.00020191806852329244
2025-08-27,-0.0029938570218137213
2025-08-28,0.0030675739480836633
2025-08-29,-0.0017102790309997083
2025-09-01,-0.0012166892706909536
2025-09-02,-0.004043653003940927
2025-09-03,-0.007998652743406583
2025-09-04,-0.008608751345255634
2025-09-05,-0.00461269082204986
2025-09-08,-0.003087833105898323
2025-09-09,0.004612760898297346
2025-09-10,0.0008902583175387438
2025-09-11,-0.007915932327980374
2025-09-12,0.0006767113334479472
2025-09-16,0.0004470492995481486
2025-09-17,-0.005693307271383291
2025-09-18,-0.004696327586555388
2025-09-19,-0.0019192647883349385
2025-09-22,-0.004356232773973765
2025-09-24,0.004148109354353581
2025-09-25,-0.002620712377167563
2025-09-26,-0.011702871647656859
2025-09-29,0.001952426880350046
2025-09-30,-0.0025049866156830634
2025-10-01,0.002614220885214154
2025-10-02,0.007134835003724863
2025-10-03,-0.006710855641527531
2025-10-06,-8.995554221369068e-05
2025-10-07,-0.020377078620861667
2025-10-08,-0.005887352517012324
2025-10-09,0.0008256335107190201
2025-10-10,-0.004647734817463016
2025-10-14,-0.005714486401833073
2025-10-15,-0.008315375043947523
2025-10-16,-0.004849924089900848
2025-10-17,0.001599272284926355
2025-10-20,-0.0060745504560680294
2025-10-21,-0.0008721484671165387
2025-10-22,-0.001103376657302574
2025-10-23,0.004145458810143249
2025-10-24,0.0046438022276082975
2025-10-27,-1.8182772966411631e-06
2025-10-28,0.0019100257456737607
2025-10-29,0.00729859393849697
2025-10-30,-0.000595722644771075
2025-10-31,-0.016120321792324775
2025-11-04,-0.0055863762680622465
2025-11-05,-0.011396844689692525
2025-11-06,-0.0021206920538681456
2025-11-07,0.004719650779715625
2025-11-10,0.0018275821825718794
2025-11-11,-0.006044838471906615
2025-11-12,0.0047360191188559305
2025-11-13,-0.005708346308522276
2025-11-14,0.009283881513177147
2025-11-17,-0.0011074950219092305
2025-11-18,0.0047933142361203905
2025-11-19,-0.008836056798081013
2025-11-20,-0.0061110604236562375
2025-11-21,0.003938047971828384
2025-11-25,-0.0050771453871525825
2025-11-26,-0.0018264574410144538
2025-11-27,-0.0042417543488003015
