,N,mean_%/d,std_%/d,Sharpe,Winrate_%,PF,Cum_%,MaxDD_%
Total,277,-0.2933100143834533,0.5903138991370848,-7.777265487414439,31.046931407942242,0.24358000515076306,-81.24687398421653,-81.32963952798593
Miner,277,-0.2722894124308423,0.7541427053866855,-5.651454850387425,32.49097472924188,0.377700025746689,-75.42416724334325,-75.71071535472804
Wire,277,-0.3143306163360642,0.8369827177573144,-5.87832015449631,35.018050541516246,0.33788849241966,-87.06958072508982,-87.6805205150112
