date,pnl,z,side
2025-07-07,-0.0034481538800585484,-1.5194039339028502,longA
2025-07-15,0.0015684222925889252,-1.552948590425167,longA
2025-07-16,-0.003357661029601382,-1.5944354741594369,longA
2025-07-25,-0.0007613681836424451,-1.6305832814997596,longA
2025-07-28,0.0024872677918438644,-1.6960191600653463,longA
2025-07-29,-0.0002975315895157953,-1.6210032181241942,longA
2025-08-06,1.0414243772045341e-05,1.7897161290045867,shortA
2025-08-07,0.0023145163166707113,1.8968128286405235,shortA
2025-08-08,-0.02370280772093484,1.5967188001985628,shortA
2025-08-14,-0.00398836722549808,-1.7948136523375298,longA
2025-08-15,-0.0062434588914579234,-2.0915667156264672,longA
2025-08-18,0.003349323357159874,-3.0046177223859605,longA
2025-08-19,-0.005165770395868156,-3.5367364781961492,longA
2025-08-20,-0.012233594994719196,-3.2756673013792086,longA
2025-08-21,0.0009217075219278563,-2.831516505379592,longA
2025-08-22,-0.0031716451674413974,-2.6609125029517604,longA
2025-08-25,-0.005634925376854155,-2.3760751038443515,longA
2025-08-26,-0.008200641013292119,-1.8395876325251572,longA
2025-11-17,-0.011283802899424608,2.224604880028812,shortA
2025-11-18,-0.012333289567358305,2.9033131959956195,shortA
2025-11-19,-0.0012328527541436499,3.784188633438017,shortA
2025-11-20,-0.008345889806189721,3.465323504227877,shortA
2025-11-21,-0.012827580226511906,3.2772119434194082,shortA
2025-11-25,-0.016783181596280474,2.8777748346888314,shortA
2025-11-26,-0.006173132339972658,2.789165396912268,shortA
2025-11-27,0.010010185120734812,2.6387743629220357,shortA
2025-11-28,0.004057591098292006,2.235857944861501,shortA
2025-12-01,0.0005469171300116265,1.8164176086977961,shortA
2025-12-11,-0.013848079536837568,-1.5039978474159332,longA
2026-01-21,-0.016177658428508608,-1.649859997315153,longA
2026-02-12,-0.010588888216442115,1.5466658271148077,shortA
2026-03-06,0.012296915316662596,-1.5102674670243212,longA
2026-03-10,-0.005364091572379159,-1.5417539474662512,longA
2026-03-11,0.0004215586305236839,-1.5273267253999585,longA
2026-03-26,0.014019116295759712,1.8891398279005125,shortA
2026-03-27,0.005138820588031109,2.159107973011634,shortA
2026-03-30,-0.002097548202040696,2.1581031217960565,shortA
2026-03-31,-0.001012648024767526,1.94564804617606,shortA
2026-04-01,-0.005474586769470884,1.7122964476992268,shortA
2026-04-02,-0.0024523348032324723,1.6473000408330427,shortA
2026-04-03,-0.01553774103465624,1.5135534050937904,shortA
2026-04-27,-0.008991140855223961,-1.5739225761204494,longA
2026-04-28,0.002885097732056408,-1.802397651604759,longA
2026-04-30,-0.0005927889328418627,-1.9037966563662905,longA
2026-05-01,-0.010423315723631407,-1.9025399326981451,longA
2026-05-07,0.0023489790581693384,-1.8136939932770013,longA
2026-05-08,0.0042247494535116135,-1.7740263628375381,longA
2026-05-11,0.02254539287462623,-1.6522699458071204,longA
2026-05-12,0.0056118216834200605,-1.7294103492634854,longA
2026-05-13,0.011474627627431773,-1.796413905974902,longA
2026-05-14,-0.014035313289880343,-1.9602260165469447,longA
2026-05-15,0.017703369933825805,-1.5792334741494443,longA
