date,57140-58030,50160-58030,58020-58030,57060-58030,58010-58020,portfolio
2025-04-30,0.0,-0.004889717034839203,-0.0016921404609244134,0.0,-0.0006128487053040802,-0.0014389412402135392
2025-05-01,-0.011594322057007105,-0.008356563542514564,-0.001651596375712813,-0.01367448217906854,-0.0004813516393504726,-0.0071516631587306995
2025-05-02,0.0,0.00477345779755131,-0.0036560399927733564,0.0,0.0024382016350922653,0.0007111238879740437
2025-05-07,0.0,0.0,0.0,0.0,-0.003171699168523128,-0.0006343398337046256
2025-05-08,0.007307991600521333,0.0,0.00435698626066685,0.01185353574232799,-0.016336904373556168,0.0014363218459920008
2025-05-09,0.009187292108490034,0.0033197723116207964,-0.0033738121327904352,0.006326845794853258,0.0,0.00309201961643473
2025-05-12,-0.004156982640023891,0.0,0.0012327125437928837,0.0,0.0,-0.0005848540192462014
2025-05-13,0.0031590372564960353,0.0,0.05771910676847803,-0.004308193677702168,0.0286777092603893,0.01704953192153224
2025-05-14,-0.0011764219261762327,0.0,0.006734051908817154,0.007491182129417138,0.0,0.002609762422411612
2025-05-15,-0.002766799297161131,0.0,-0.0035468492441587656,-0.0006972121136140797,0.015786676379444996,0.001755163144902204
2025-05-16,0.0038284508552157504,0.0,0.0028584370571458377,-0.006770828705493901,-0.0035194917637114756,-0.0007206865113687577
2025-05-19,0.0,0.0,0.0,0.0,0.003463901491155188,0.0006927802982310376
2025-05-20,0.0075077548082495464,0.0,-0.007869668999499679,0.0,-0.006682096301055356,-0.0014088020984610978
2025-05-21,-0.0052705382869987156,0.0,0.0013732097543931244,-0.008089702680633073,0.00466407527493093,-0.001464591187661547
2025-05-22,0.0,0.0,-0.010521821449291766,0.0,0.0,-0.002104364289858353
2025-05-23,0.0010014289320738757,0.0,-0.004643420534236386,0.005421931523034144,-0.014305604722811765,-0.0025051329603880262
2025-05-26,0.0,0.0,0.0,0.007388491693498378,0.0009735197353521578,0.0016724022857701071
2025-05-27,0.0,0.0,-0.0029419372327175505,0.0,-5.715160794451837e-05,-0.0005998177681324138
2025-05-28,0.0,0.0,-1.6552221470367626e-05,-0.0023237700011172076,0.005953792405010883,0.0007226940364846615
2025-05-29,0.0027568395025310173,0.0,0.008285991112030011,0.0,0.0023235736097032304,0.002673280844852852
