pair,name,entry_z,exit_z,N,N_days,trades/day,mean_%/trade,Sharpe,Winrate_%,PF,Cum_%,MaxDD_%
57130-58030,住友金属鉱山/フジクラ,3.0,0.0,152,152,1.0,-0.159662565408671,-2.0344181557474488,34.21052631578947,0.6278136795930255,-24.26870994211799,-40.55659682810477
57110-58010,三菱マテリアル/古河電工,3.0,0.0,150,150,1.0,-0.14580762740693526,-2.044542724670207,42.66666666666667,0.6662178737901217,-21.87114411104026,-29.905185913489813
57110-58010,三菱マテリアル/古河電工,2.5,0.5,215,169,1.27,-0.1191325365922774,-2.1546114800290477,50.697674418604656,0.6644676289531714,-25.61349536733965,-33.70690161388839
57130-58030,住友金属鉱山/フジクラ,2.5,0.0,177,177,1.0,-0.17296742326996759,-2.164046268511579,37.85310734463277,0.6229912971132374,-30.615233918784256,-49.244449683612956
57140-58010,DOWA HD/古河電工,2.5,0.0,155,155,1.0,-0.16714321048348538,-2.2490012625151587,46.45161290322581,0.630212892640711,-25.90719762494024,-28.112837823533404
57140-50160,DOWA HD/JX金属,3.0,0.0,140,140,1.0,-0.11373533952283275,-2.262894320292701,37.142857142857146,0.6597645031280398,-15.922947533196584,-19.78781158334621
58020-58030,住友電工/フジクラ,2.0,0.5,314,217,1.45,-0.11187324631169433,-2.2889640343431914,49.044585987261144,0.6261679059824667,-35.12819934187205,-39.15982663545224
57130-58030,住友金属鉱山/フジクラ,3.0,0.5,183,152,1.2,-0.1400119241915144,-2.3412369898280696,39.34426229508197,0.6261362562093331,-25.62218212704715,-38.72179746497713
58010-58030,古河電工/フジクラ,2.5,0.5,240,184,1.3,-0.13983186997955865,-2.343754039202915,45.83333333333333,0.591019739260251,-33.55964879509407,-47.45326761003794
57060-50160,三井金属/JX金属,2.5,0.5,188,144,1.31,-0.10056773433927096,-2.4063237073260044,50.53191489361703,0.6835835075997823,-18.90673405578294,-19.905463111354383
58010-58020,古河電工/住友電工,2.0,0.5,342,220,1.55,-0.09453043879364428,-2.4106827746851827,51.461988304093566,0.662941535447358,-32.32941006742634,-46.4166836712677
57140-58010,DOWA HD/古河電工,2.5,0.5,190,155,1.23,-0.13858205261156617,-2.4325902504938828,48.94736842105264,0.6249159197507735,-26.330589996197578,-28.369578833449154
58020-58030,住友電工/フジクラ,3.0,0.0,167,167,1.0,-0.14959022914183193,-2.532711911201549,32.93413173652694,0.5823172526388352,-24.981568266685944,-25.60692097434677
57110-58010,三菱マテリアル/古河電工,2.5,0.0,169,169,1.0,-0.19804481231159543,-2.6000055833952764,43.786982248520715,0.5916638777366334,-33.46957328065964,-42.47507634909246
58010-58030,古河電工/フジクラ,3.0,0.5,181,152,1.19,-0.18241168649583153,-2.642325019732979,41.988950276243095,0.5235988815301871,-33.016515255745524,-46.66240931224054
50160-58020,JX金属/住友電工,3.0,0.0,127,127,1.0,-0.17046384666790326,-2.721965510683,42.51968503937008,0.6068865318424728,-21.648908526823714,-28.01327161933106
58010-58030,古河電工/フジクラ,2.0,0.5,318,211,1.51,-0.1343320945670965,-2.722571448437841,47.79874213836478,0.5640868675847116,-42.717606072336686,-56.88503153459815
57060-58030,三井金属/フジクラ,2.0,0.5,294,190,1.55,-0.12821831470845022,-2.7701323219328473,53.40136054421769,0.6000709360686508,-37.69618452428436,-39.625774532925846
57060-58010,三井金属/古河電工,2.5,0.5,214,177,1.21,-0.17475044801378428,-2.784343519623511,48.13084112149533,0.5966594060195644,-37.39659587494984,-48.55787094512594
57060-58010,三井金属/古河電工,2.0,0.5,295,207,1.43,-0.14730704891587448,-2.8495680490841697,52.20338983050847,0.6116228806498882,-43.455579430182944,-53.321034684643955
57130-58030,住友金属鉱山/フジクラ,2.5,0.5,234,177,1.32,-0.15714814979480102,-2.8538670196224105,44.01709401709402,0.5767580734185167,-36.772667051983426,-48.103754653002774
57060-58020,三井金属/住友電工,2.5,0.0,188,188,1.0,-0.16385177887771274,-2.892458628919135,38.297872340425535,0.5962648335085582,-30.804134429010006,-31.6929019892109
57110-58030,三菱マテリアル/フジクラ,3.0,0.5,175,144,1.22,-0.1272378360979411,-2.9115317519276545,43.42857142857143,0.5926083676465106,-22.26662131713969,-26.189787721652213
57140-50160,DOWA HD/JX金属,2.5,0.5,201,165,1.22,-0.10453374730139235,-3.0047853003480474,43.78109452736319,0.6054141709437667,-21.01128320757987,-25.290625404512422
57140-58020,DOWA HD/住友電工,3.0,0.0,158,158,1.0,-0.16796697008646144,-3.0451901459213997,37.34177215189873,0.5447349181395011,-26.538781273660916,-30.465623347205483
57130-50160,住友金属鉱山/JX金属,3.0,0.5,176,149,1.18,-0.1301654703673043,-3.045583459314953,40.340909090909086,0.5986393739082546,-22.909122784645554,-24.984599542249843
57110-58030,三菱マテリアル/フジクラ,2.5,0.5,219,162,1.35,-0.12128346083958196,-3.049434041594418,41.0958904109589,0.5960610488997011,-26.56107792386844,-32.08408001232286
57060-58010,三井金属/古河電工,3.0,0.0,155,155,1.0,-0.237036845105756,-3.0623209449818023,44.516129032258064,0.5478113705234597,-36.74071099139217,-41.35918174731402
57060-57140,三井金属/DOWA HD,3.0,0.0,138,138,1.0,-0.15802779333337338,-3.2358210885267935,39.85507246376812,0.5592266766117371,-21.807835480005526,-24.331630006337793
57130-50160,住友金属鉱山/JX金属,2.5,0.5,227,178,1.28,-0.12697671241784575,-3.258985279603263,44.49339207048458,0.5966383659091942,-28.82371371885098,-30.002825250434224
57140-58020,DOWA HD/住友電工,3.0,0.5,182,158,1.15,-0.1458293333032666,-3.2653340227155208,43.40659340659341,0.5278565956702711,-26.54093866119454,-31.70200059983634
57060-57140,三井金属/DOWA HD,2.5,0.5,200,163,1.23,-0.1309295659093136,-3.299773816034377,48.0,0.5814716047471378,-26.185913181862702,-27.78584753959898
57140-50160,DOWA HD/JX金属,3.0,0.5,156,140,1.11,-0.12627234141818894,-3.3103771575598553,40.38461538461539,0.5553181821712934,-19.69848526123748,-22.4053848343638
57060-58020,三井金属/住友電工,2.0,0.5,346,221,1.57,-0.11438700960007842,-3.3167053651101943,51.73410404624278,0.6086019810309335,-39.57790532162712,-41.06043238961016
57110-58020,三菱マテリアル/住友電工,3.0,0.0,155,155,1.0,-0.1767438072739363,-3.3311128960013456,37.41935483870968,0.5058821632125191,-27.395290127460125,-30.74979941934893
50160-58020,JX金属/住友電工,2.5,0.5,203,155,1.31,-0.15270043251383322,-3.3325037432544904,49.75369458128079,0.5693412983233408,-30.99818780030815,-34.034796054298845
57110-50160,三菱マテリアル/JX金属,2.5,0.0,172,172,1.0,-0.1707339134422973,-3.3412420119523127,31.976744186046513,0.5394230293209593,-29.366233112075125,-30.106866792423475
57060-57140,三井金属/DOWA HD,3.0,0.5,155,138,1.12,-0.1409927570798215,-3.3455148203115876,46.45161290322581,0.5679540215717517,-21.85387734737233,-23.351561718492395
50160-58020,JX金属/住友電工,2.0,0.5,263,173,1.52,-0.138095017580579,-3.4136383688958314,51.71102661596958,0.5805889969747403,-36.318989623692275,-38.86853382352233
57130-58010,住友金属鉱山/古河電工,2.5,0.5,218,167,1.31,-0.16979197688559883,-3.4341374803385256,48.1651376146789,0.5701798804980631,-37.01465096106048,-42.903805227972256
57130-58030,住友金属鉱山/フジクラ,2.0,0.5,297,193,1.54,-0.166100885041397,-3.5133588718695217,46.801346801346796,0.5233943737747181,-49.331962857294926,-60.21149547763914
57110-58020,三菱マテリアル/住友電工,2.5,0.0,175,175,1.0,-0.18064195569420213,-3.519561878482795,39.42857142857143,0.4989875692953261,-31.612342246485365,-35.18528370890596
57060-58020,三井金属/住友電工,3.0,0.0,169,169,1.0,-0.18212192454696566,-3.555565139144768,36.68639053254438,0.5157017696169612,-30.77860524843721,-31.31295651378071
57130-58010,住友金属鉱山/古河電工,3.0,0.0,138,138,1.0,-0.26024319545634234,-3.557862305696999,37.68115942028986,0.48891245182540805,-35.91356097297525,-45.81432265410144
57130-50160,住友金属鉱山/JX金属,2.0,0.5,305,200,1.52,-0.11662908526498816,-3.5792267565762037,45.57377049180328,0.5850784985497011,-35.57187100582141,-36.99074177859289
57130-50160,住友金属鉱山/JX金属,3.0,0.0,149,149,1.0,-0.1850728457134981,-3.5792670291642485,34.899328859060404,0.5247626746790452,-27.575854011311225,-28.63703709586707
57130-50160,住友金属鉱山/JX金属,2.5,0.0,178,178,1.0,-0.185230881859853,-3.580586908872434,37.07865168539326,0.5420137567752281,-32.971096971053846,-33.69282957157822
50160-58010,JX金属/古河電工,3.0,0.5,171,146,1.17,-0.2326214398285756,-3.620367198909792,49.707602339181285,0.5290513442081648,-39.77826621068641,-43.3923277196001
57060-58010,三井金属/古河電工,2.5,0.0,177,177,1.0,-0.27766042555786336,-3.6243571378425568,42.3728813559322,0.48337744937120064,-49.145895323741776,-54.48037601404783
57110-50160,三菱マテリアル/JX金属,3.0,0.0,151,151,1.0,-0.18579988645918138,-3.714148221252628,30.4635761589404,0.4883034655181209,-28.055782855336382,-28.84980166688435
57110-58030,三菱マテリアル/フジクラ,2.0,0.5,268,180,1.49,-0.13733120643244506,-3.719269194232863,41.7910447761194,0.5309731678531143,-36.80476332389527,-41.584504275919244
57110-50160,三菱マテリアル/JX金属,2.0,0.5,289,196,1.47,-0.11963618287693467,-3.727786104298188,44.636678200692046,0.5552413793303552,-34.57485685143411,-35.84302535651786
57130-58010,住友金属鉱山/古河電工,2.0,0.5,279,190,1.47,-0.16209605745360528,-3.731352588643287,50.53763440860215,0.5564572071338136,-45.22480002955589,-47.27303342111875
57060-58010,三井金属/古河電工,3.0,0.5,177,155,1.14,-0.23631898553129208,-3.7487906770601453,46.89265536723164,0.4963956687509726,-41.828460439038686,-46.08734262921402
57060-58020,三井金属/住友電工,2.5,0.5,253,188,1.35,-0.14257705576750446,-3.7822052447223795,46.24505928853755,0.5538993886860171,-36.07199510917866,-37.08437824309294
57140-50160,DOWA HD/JX金属,2.0,0.5,245,177,1.38,-0.12304883515793733,-3.8267390937508705,46.12244897959184,0.5519775417883663,-30.146964613694642,-34.647511799886985
57060-58020,三井金属/住友電工,3.0,0.5,192,169,1.14,-0.16146202122170855,-3.835182682653742,42.1875,0.5165268186240567,-31.000708074568056,-31.693845383265774
57130-58010,住友金属鉱山/古河電工,2.5,0.0,167,167,1.0,-0.27478389146379856,-3.86753822215672,41.91616766467065,0.4849694017272302,-45.88890987445434,-48.94423425781707
50160-58020,JX金属/住友電工,3.0,0.5,154,127,1.21,-0.18963502919090472,-3.9475597269306495,46.75324675324675,0.5056221718915755,-29.203794495399336,-31.697221438281346
50160-58010,JX金属/古河電工,3.0,0.0,146,146,1.0,-0.32191341061603085,-3.9747010232928854,43.83561643835616,0.47604746878729964,-46.9993579499405,-49.680117395592504
57110-50160,三菱マテリアル/JX金属,2.5,0.5,210,172,1.22,-0.15082480599628104,-4.014916809031753,38.095238095238095,0.5145226495192647,-31.67320925921902,-33.82313056823436
57060-57140,三井金属/DOWA HD,2.5,0.0,163,163,1.0,-0.20435808081159995,-4.035971928637917,37.423312883435585,0.492848112746268,-33.310367172290775,-35.512166822820646
57140-58020,DOWA HD/住友電工,2.5,0.0,178,178,1.0,-0.21315049926426385,-4.045173143456616,33.70786516853933,0.4669097372581591,-37.94078886903897,-40.06301536881989
57060-57140,三井金属/DOWA HD,2.0,0.5,264,187,1.41,-0.14392069067462485,-4.087497198512044,47.34848484848485,0.5207817700336257,-37.99506233810097,-40.865028169642656
57060-57110,三井金属/三菱マテリアル,3.0,0.0,145,145,1.0,-0.16386437643064516,-4.103847514144726,42.758620689655174,0.49346667986680326,-23.760334582443555,-24.003221797792488
57140-58020,DOWA HD/住友電工,2.5,0.5,225,178,1.26,-0.16294957713843553,-4.111601385047089,40.88888888888889,0.47198626775052893,-36.66365485614797,-39.89219394231037
57110-58020,三菱マテリアル/住友電工,3.0,0.5,186,155,1.2,-0.1724333890778465,-4.128957113334548,37.096774193548384,0.44425141580518535,-32.07261036847946,-33.60386707418686
58020-58030,住友電工/フジクラ,3.0,0.5,196,167,1.17,-0.1866416752627968,-4.146150773845972,38.775510204081634,0.4474699781804661,-36.58176835150817,-37.20712105916899
57130-57140,住友金属鉱山/DOWA HD,3.0,0.0,167,167,1.0,-0.1483489101781107,-4.219488617677744,31.736526946107784,0.4561933899988843,-24.77426799974447,-26.625619887890984
57110-58020,三菱マテリアル/住友電工,2.0,0.5,308,208,1.48,-0.1446801361594871,-4.259671274264118,41.23376623376623,0.4746189175341456,-44.56148193712201,-46.805153159400966
57110-57130,三菱マテリアル/住友金属鉱山,2.5,0.0,202,202,1.0,-0.1287841196630855,-4.286758655346796,35.64356435643564,0.47397001414269174,-26.01439217194328,-27.01285795237876
57130-57140,住友金属鉱山/DOWA HD,2.5,0.0,195,195,1.0,-0.15160051770626104,-4.292158546932582,30.256410256410255,0.4507839154365184,-29.56210095272092,-32.742047185568374
57130-57140,住友金属鉱山/DOWA HD,3.0,0.5,197,167,1.18,-0.12309763651445822,-4.315500970935024,40.609137055837564,0.48398423087670284,-24.25023439334828,-25.996276060787
