name,n_trades,avg_ret_per_trade_%,std_per_trade_%,Sharpe_ann,winrate_%,PF,cum_PnL_%,maxDD_%
H1 XS-MR (day),547,-0.23162198709697018,1.5149734408085729,-2.393083244873157,42.96160877513711,0.6413841105378781,-126.6972269420427,-129.53896750297972
H2 Gap Fade,550,-0.09744302101346948,1.4210903714213508,-1.0732776487028783,46.72727272727273,0.8265170658212994,-53.59366155740817,-70.03329230843659
H3 AM-Fade,552,-0.10562726817312845,0.7974448585944258,-2.0732822408600877,40.76086956521739,0.6955951964852917,-58.30625203156695,-61.280687197651595
H4 PairZ (57110-57130) entry=1.5,52,-0.24585576150318875,0.9122847994695679,-2.3104342878970003,38.46153846153847,0.49223891069746845,-12.784499598165816,-17.623452928482
