date,pnl,grp
2025-04-02,-0.0006367883068842846,miner
2025-04-02,-0.011311996116638532,wire
2025-04-03,-0.016330790571853764,miner
2025-04-03,0.009152513050578164,wire
2025-04-04,0.008569345100738012,miner
2025-04-04,0.004809347316000143,wire
2025-04-07,-0.00875018551503292,miner
2025-04-07,-0.016452507849063148,wire
2025-04-08,,miner
2025-04-08,,wire
2025-04-09,0.005055918130968355,miner
2025-04-10,-0.007691241252707088,miner
2025-04-10,,wire
2025-04-11,0.007430982499698988,miner
2025-04-14,-0.01776867809971599,miner
2025-04-14,-0.0016606349059372773,wire
2025-04-15,-0.0033190469641044603,miner
2025-04-15,0.009520585256065752,wire
2025-04-16,-0.0030123930711897576,miner
2025-04-16,-0.0013224964717327807,wire
2025-04-17,-0.00037472409690480525,miner
2025-04-17,-0.0015567384407032033,wire
2025-04-18,-0.013223349265358161,miner
2025-04-18,0.003933008296603513,wire
2025-04-21,-0.020403689128879875,miner
2025-04-21,0.0006966722540448448,wire
2025-04-22,-0.018848520146261802,miner
2025-04-22,-0.012198028457966787,wire
2025-04-23,0.007805904610372496,miner
2025-04-23,0.00792433538622316,wire
2025-04-24,-0.003930128876036998,miner
2025-04-24,-0.002748143620044846,wire
2025-04-25,-0.010639078847284423,miner
2025-04-25,-0.01585814051495488,wire
2025-04-28,-0.005032228417685292,miner
2025-04-28,0.0005534548024223093,wire
2025-04-30,-0.011064390269535247,miner
2025-04-30,0.01023817348510715,wire
2025-05-01,-0.004588667444297317,miner
2025-05-01,-0.009695917326123045,wire
2025-05-02,-0.0021126562143103517,miner
2025-05-02,-0.004403182715371913,wire
2025-05-07,-0.003565735363926438,miner
2025-05-07,-0.00921170607621092,wire
2025-05-08,0.008060877374857712,miner
2025-05-08,-0.009277800231142112,wire
2025-05-09,0.0063642766786406214,miner
2025-05-09,-0.003217689170821896,wire
2025-05-12,-0.02454285815151254,miner
2025-05-12,-0.008837195999648518,wire
2025-05-13,0.01178917365210302,miner
2025-05-13,-0.023146955723829604,wire
2025-05-14,-0.018679634805964046,miner
2025-05-14,-0.00026960232573651575,wire
2025-05-15,-0.001798935736903309,miner
2025-05-15,0.014271301833977656,wire
2025-05-16,-0.010038724540838964,miner
2025-05-16,0.008604076309019718,wire
2025-05-19,0.005395777401896807,miner
2025-05-19,-0.005916265494397314,wire
2025-05-20,-0.025129464723110263,miner
2025-05-20,-0.03191940043289428,wire
2025-05-21,0.0156825903245172,miner
2025-05-21,0.005622992493420816,wire
2025-05-22,-0.009590918289609144,miner
2025-05-22,0.02061158418412109,wire
2025-05-23,0.005286055614403009,miner
