timestamp,open,high,low,close,volume
2026-03-16 00:00:00,98.78,98.87,98.66,98.78,160
2026-03-16 00:01:00,98.77,98.83,98.64,98.64,114
2026-03-16 00:02:00,98.63,98.82,98.36,98.5,298
2026-03-16 00:03:00,98.51,98.62,98.32,98.61,392
2026-03-16 00:04:00,98.62,98.74,98.5,98.7,210
2026-03-16 00:05:00,98.66,98.7,98.48,98.55,98
2026-03-16 00:06:00,98.57,98.59,98.23,98.31,303
2026-03-16 00:07:00,98.32,98.35,97.95,98.09,416
2026-03-16 00:08:00,98.06,98.21,97.95,98.12,469
2026-03-16 00:09:00,98.1,98.17,97.88,98.03,629
2026-03-16 00:10:00,98.04,98.05,97.63,97.87,687
2026-03-16 00:11:00,97.88,98.09,97.79,98.09,266
2026-03-16 00:12:00,98.1,98.1,97.82,98.02,274
2026-03-16 00:13:00,98.01,98.16,97.83,98.12,356
2026-03-16 00:14:00,98.11,98.11,97.87,97.94,139
2026-03-16 00:15:00,97.9,97.92,97.8,97.84,242
2026-03-16 00:16:00,97.82,97.89,97.61,97.7,308
2026-03-16 00:17:00,97.72,97.85,97.66,97.77,142
2026-03-16 00:18:00,97.71,97.84,97.71,97.83,113
2026-03-16 00:19:00,97.85,97.92,97.79,97.89,176
2026-03-16 00:20:00,97.9,98.16,97.9,98.16,373
2026-03-16 00:21:00,98.17,98.46,98.17,98.42,448
2026-03-16 00:22:00,98.46,98.52,98.27,98.36,309
2026-03-16 00:23:00,98.37,98.37,98.11,98.2,240
2026-03-16 00:24:00,98.19,98.31,98.11,98.31,112
2026-03-16 00:25:00,98.33,98.35,98.07,98.1,144
2026-03-16 00:26:00,98.12,98.26,98.12,98.16,120
2026-03-16 00:27:00,98.15,98.27,98.15,98.22,111
2026-03-16 00:28:00,98.24,98.24,98.17,98.21,27
2026-03-16 00:29:00,98.19,98.23,98.05,98.11,109
2026-03-16 00:30:00,98.13,98.22,98.12,98.15,45
2026-03-16 00:31:00,98.16,98.22,98.12,98.13,84
2026-03-16 00:32:00,98.14,98.22,98.12,98.15,45
2026-03-16 00:33:00,98.16,98.19,98.11,98.19,32
2026-03-16 00:34:00,98.16,98.2,98.01,98.14,214
2026-03-16 00:35:00,98.13,98.25,98.05,98.07,99
2026-03-16 00:36:00,98.09,98.19,98.07,98.12,53
2026-03-16 00:37:00,98.13,98.23,98.1,98.22,72
2026-03-16 00:38:00,98.2,98.22,98.02,98.06,77
2026-03-16 00:39:00,98.03,98.05,97.68,97.97,268
2026-03-16 00:40:00,97.98,98.02,97.74,97.77,151
2026-03-16 00:41:00,97.77,97.84,97.7,97.81,77
2026-03-16 00:42:00,97.81,97.85,97.75,97.78,61
2026-03-16 00:43:00,97.78,97.81,97.64,97.74,133
2026-03-16 00:44:00,97.75,97.85,97.71,97.79,134
2026-03-16 00:45:00,97.8,97.85,97.7,97.85,118
2026-03-16 00:46:00,97.85,98.03,97.82,97.97,307
2026-03-16 00:47:00,97.94,97.97,97.8,97.81,165
2026-03-16 00:48:00,97.81,97.81,97.34,97.58,482
2026-03-16 00:49:00,97.59,97.68,97.53,97.55,129
2026-03-16 00:50:00,97.56,97.73,97.52,97.72,156
2026-03-16 00:51:00,97.71,97.93,97.7,97.84,288
2026-03-16 00:52:00,97.83,97.87,97.63,97.82,129
2026-03-16 00:53:00,97.79,97.88,97.7,97.8,63
2026-03-16 00:54:00,97.78,97.8,97.66,97.66,53
2026-03-16 00:55:00,97.62,97.75,97.56,97.71,65
2026-03-16 00:56:00,97.74,97.76,97.49,97.58,131
2026-03-16 00:57:00,97.63,97.65,97.56,97.61,32
2026-03-16 00:58:00,97.62,97.8,97.53,97.72,178
2026-03-16 00:59:00,97.7,97.72,97.44,97.48,114
2026-03-16 01:00:00,97.47,97.47,96.74,97.19,1029
2026-03-16 01:01:00,97.16,97.53,97.08,97.48,313
2026-03-16 01:02:00,97.44,97.7,97.4,97.46,427
2026-03-16 01:03:00,97.47,97.95,97.47,97.79,282
2026-03-16 01:04:00,97.81,97.94,97.73,97.73,205
2026-03-16 01:05:00,97.75,97.95,97.69,97.9,110
2026-03-16 01:06:00,97.92,97.96,97.79,97.85,160
2026-03-16 01:07:00,97.84,97.84,97.66,97.77,164
2026-03-16 01:08:00,97.79,97.88,97.74,97.86,103
2026-03-16 01:09:00,97.84,97.97,97.73,97.88,147
2026-03-16 01:10:00,97.87,98.11,97.8,98.07,157
2026-03-16 01:11:00,98.07,98.27,98.04,98.18,194
2026-03-16 01:12:00,98.17,98.2,98.09,98.13,167
2026-03-16 01:13:00,98.13,98.16,98.02,98.05,186
2026-03-16 01:14:00,98.02,98.07,97.85,97.89,172
2026-03-16 01:15:00,97.88,98.09,97.77,97.98,320
2026-03-16 01:16:00,98.0,98.1,97.85,98.1,186
2026-03-16 01:17:00,98.09,98.13,98.04,98.06,107
2026-03-16 01:18:00,98.08,98.17,98.05,98.07,94
2026-03-16 01:19:00,98.07,98.07,97.78,97.84,160
2026-03-16 01:20:00,97.87,97.87,97.68,97.79,157
2026-03-16 01:21:00,97.8,98.0,97.78,97.99,109
2026-03-16 01:22:00,98.03,98.18,97.99,98.13,107
2026-03-16 01:23:00,98.12,98.16,97.88,97.97,124
2026-03-16 01:24:00,97.96,98.01,97.89,97.99,99
2026-03-16 01:25:00,98.0,98.09,97.97,98.04,82
2026-03-16 01:26:00,98.01,98.05,97.96,97.98,60
2026-03-16 01:27:00,97.98,98.17,97.89,98.12,139
2026-03-16 01:28:00,98.12,98.14,98.0,98.04,121
2026-03-16 01:29:00,98.03,98.32,98.03,98.31,114
2026-03-16 01:30:00,98.32,98.34,98.13,98.13,123
2026-03-16 01:31:00,98.11,98.31,98.09,98.25,126
2026-03-16 01:32:00,98.23,98.47,98.17,98.46,356
2026-03-16 01:33:00,98.47,98.62,98.44,98.56,425
2026-03-16 01:34:00,98.58,98.59,98.33,98.35,199
2026-03-16 01:35:00,98.35,98.52,98.34,98.41,225
2026-03-16 01:36:00,98.4,98.45,98.17,98.17,174
2026-03-16 01:37:00,98.19,98.42,98.19,98.37,142
2026-03-16 01:38:00,98.39,98.44,98.15,98.19,123
2026-03-16 01:39:00,98.19,98.25,98.15,98.2,107
2026-03-16 01:40:00,98.2,98.35,98.2,98.29,143
2026-03-16 01:41:00,98.3,98.45,98.25,98.45,79
2026-03-16 01:42:00,98.45,98.57,98.38,98.42,127
2026-03-16 01:43:00,98.38,98.48,98.33,98.48,103
2026-03-16 01:44:00,98.5,98.62,98.49,98.56,137
2026-03-16 01:45:00,98.57,98.6,98.48,98.51,114
2026-03-16 01:46:00,98.53,98.7,98.53,98.67,118
2026-03-16 01:47:00,98.67,98.79,98.59,98.62,248
2026-03-16 01:48:00,98.64,98.65,98.44,98.44,264
2026-03-16 01:49:00,98.43,98.51,98.37,98.37,130
2026-03-16 01:50:00,98.39,98.46,98.28,98.41,139
2026-03-16 01:51:00,98.42,98.5,98.41,98.5,34
2026-03-16 01:52:00,98.47,98.5,98.41,98.47,57
2026-03-16 01:53:00,98.46,98.55,98.46,98.54,47
2026-03-16 01:54:00,98.53,98.6,98.35,98.4,176
2026-03-16 01:55:00,98.43,98.5,98.3,98.46,83
2026-03-16 01:56:00,98.49,98.56,98.45,98.55,57
2026-03-16 01:57:00,98.57,98.7,98.55,98.69,115
2026-03-16 01:58:00,98.69,98.72,98.57,98.57,142
2026-03-16 01:59:00,98.55,98.63,98.49,98.49,101
2026-03-16 02:00:00,98.51,98.77,98.41,98.76,186
2026-03-16 02:01:00,98.74,98.95,98.64,98.65,305
2026-03-16 02:02:00,98.66,98.77,98.66,98.74,136
2026-03-16 02:03:00,98.72,98.75,98.65,98.65,61
2026-03-16 02:04:00,98.68,98.68,98.5,98.55,106
2026-03-16 02:05:00,98.56,98.6,98.44,98.48,122
2026-03-16 02:06:00,98.48,98.51,98.28,98.36,159
2026-03-16 02:07:00,98.37,98.38,98.15,98.25,370
2026-03-16 02:08:00,98.22,98.26,98.13,98.19,163
2026-03-16 02:09:00,98.21,98.22,98.11,98.17,84
2026-03-16 02:10:00,98.17,98.52,98.17,98.52,198
2026-03-16 02:11:00,98.49,98.65,98.45,98.5,188
2026-03-16 02:12:00,98.48,98.63,98.43,98.63,77
2026-03-16 02:13:00,98.63,98.98,98.6,98.87,326
2026-03-16 02:14:00,98.84,99.06,98.83,98.9,365
2026-03-16 02:15:00,98.91,98.92,98.57,98.69,183
2026-03-16 02:16:00,98.67,98.74,98.57,98.6,100
2026-03-16 02:17:00,98.6,98.76,98.6,98.71,80
2026-03-16 02:18:00,98.74,98.82,98.67,98.67,50
2026-03-16 02:19:00,98.66,98.68,98.58,98.66,276
2026-03-16 02:20:00,98.69,98.79,98.66,98.76,114
2026-03-16 02:21:00,98.7,98.8,98.7,98.77,25
2026-03-16 02:22:00,98.77,98.82,98.75,98.8,95
2026-03-16 02:23:00,98.79,98.82,98.75,98.77,45
2026-03-16 02:24:00,98.77,98.81,98.69,98.71,133
2026-03-16 02:25:00,98.74,98.84,98.69,98.8,77
2026-03-16 02:26:00,98.81,98.92,98.8,98.86,117
2026-03-16 02:27:00,98.87,98.98,98.82,98.92,107
2026-03-16 02:28:00,98.96,99.0,98.89,98.89,98
2026-03-16 02:29:00,98.9,98.94,98.87,98.92,33
2026-03-16 02:30:00,98.93,99.25,98.93,99.14,334
2026-03-16 02:31:00,99.12,99.15,98.96,99.03,201
2026-03-16 02:32:00,99.02,99.18,98.98,99.0,175
2026-03-16 02:33:00,98.98,99.14,98.94,99.11,149
2026-03-16 02:34:00,99.12,99.17,99.08,99.12,153
2026-03-16 02:35:00,99.08,99.33,99.07,99.25,193
2026-03-16 02:36:00,99.23,99.33,99.23,99.25,112
2026-03-16 02:37:00,99.27,99.38,99.17,99.27,267
2026-03-16 02:38:00,99.29,99.36,99.15,99.17,259
2026-03-16 02:39:00,99.17,99.29,99.07,99.29,239
2026-03-16 02:40:00,99.3,99.31,99.18,99.22,76
2026-03-16 02:41:00,99.22,99.22,99.07,99.11,68
2026-03-16 02:42:00,99.1,99.27,99.01,99.22,141
2026-03-16 02:43:00,99.2,99.2,99.08,99.11,53
2026-03-16 02:44:00,99.12,99.22,99.07,99.07,82
2026-03-16 02:45:00,99.07,99.2,99.07,99.13,94
2026-03-16 02:46:00,99.12,99.12,98.72,98.74,271
2026-03-16 02:47:00,98.75,99.0,98.72,98.85,209
2026-03-16 02:48:00,98.84,98.9,98.64,98.64,208
2026-03-16 02:49:00,98.66,98.85,98.66,98.85,155
2026-03-16 02:50:00,98.86,98.97,98.8,98.96,97
2026-03-16 02:51:00,98.98,99.04,98.93,98.97,104
2026-03-16 02:52:00,98.99,99.08,98.97,99.03,68
2026-03-16 02:53:00,99.09,99.21,99.01,99.21,142
2026-03-16 02:54:00,99.22,99.35,99.21,99.24,198
2026-03-16 02:55:00,99.24,99.24,99.02,99.08,113
2026-03-16 02:56:00,99.05,99.19,98.96,99.16,94
2026-03-16 02:57:00,99.14,99.16,99.07,99.11,31
2026-03-16 02:58:00,99.1,99.11,98.99,99.01,42
2026-03-16 02:59:00,98.99,99.0,98.82,98.92,219
2026-03-16 03:00:00,98.94,98.97,98.83,98.95,229
2026-03-16 03:01:00,98.93,98.97,98.87,98.93,157
2026-03-16 03:02:00,98.92,99.06,98.9,98.99,154
2026-03-16 03:03:00,98.99,98.99,98.9,98.92,52
2026-03-16 03:04:00,98.91,98.98,98.9,98.95,40
2026-03-16 03:05:00,98.94,99.04,98.89,99.0,69
2026-03-16 03:06:00,99.01,99.08,98.97,99.08,60
2026-03-16 03:07:00,99.08,99.19,98.99,99.01,115
2026-03-16 03:08:00,99.01,99.01,98.82,98.87,137
2026-03-16 03:09:00,98.89,99.03,98.89,98.99,67
2026-03-16 03:10:00,98.99,99.23,98.96,99.23,125
2026-03-16 03:11:00,99.22,99.29,99.14,99.19,102
2026-03-16 03:12:00,99.19,99.19,99.12,99.14,45
2026-03-16 03:13:00,99.13,99.14,99.02,99.09,60
2026-03-16 03:14:00,99.11,99.13,99.06,99.08,52
2026-03-16 03:15:00,99.08,99.11,99.03,99.07,77
2026-03-16 03:16:00,99.03,99.12,98.91,99.12,125
2026-03-16 03:17:00,99.12,99.16,99.0,99.0,77
2026-03-16 03:18:00,99.04,99.12,99.04,99.07,34
2026-03-16 03:19:00,99.08,99.09,98.97,98.97,45
2026-03-16 03:20:00,98.96,99.03,98.78,98.9,140
2026-03-16 03:21:00,98.9,99.03,98.88,98.99,61
2026-03-16 03:22:00,99.0,99.08,98.99,99.03,48
2026-03-16 03:23:00,99.05,99.11,98.93,98.94,91
2026-03-16 03:24:00,98.94,99.1,98.93,99.05,145
2026-03-16 03:25:00,99.05,99.06,98.94,98.94,20
2026-03-16 03:26:00,98.94,99.01,98.93,98.97,23
2026-03-16 03:27:00,98.95,98.97,98.84,98.88,59
2026-03-16 03:28:00,98.89,98.93,98.82,98.83,92
2026-03-16 03:29:00,98.82,98.93,98.82,98.89,93
