signal_hour,threshold,n,mean,wr,pf,sharpe,t_stat,total
9,20,171,94.75934109043452,77.19298245614034,6.6626219151703445,11.140766507679334,9.177256221601704,16203.847326464303
9,30,142,110.3225679294864,81.69014084507043,10.535527945977826,13.406661506666202,10.063859063522955,15665.804645987067
9,50,90,143.93976387349275,86.66666666666667,18.69296965111629,17.13093439003765,10.237691443801717,12954.578748614347
10,20,181,36.95050530026718,64.64088397790056,2.8332926791241935,6.137273584217436,5.201331100848011,6688.041459348359
10,30,150,42.58268984282562,67.33333333333333,3.1656908580506165,6.877176620192421,5.305856953883339,6387.403476423843
10,50,92,55.0694310147833,72.82608695652173,3.840884991575559,8.285766373677477,5.006409005450281,5066.387653360063
11,20,190,8.175955326177716,51.578947368421055,1.2799100539732193,1.4375581477160533,1.2482510802139182,1553.431511973766
11,30,163,13.55454453551738,54.601226993865026,1.4991843141631758,2.3366838768068736,1.8792886625388505,2209.390759289333
11,50,95,14.706167034711086,53.68421052631579,1.4597047184034837,2.1886053551021734,1.3437825271608141,1397.0858682975531
