date,dev,direction,entry,exit,pnl_bps,ym
2025-04-01,-94.91751177174379,-1,796.2,787.7,102.75709620698304,2025-04
2025-04-02,-67.20907778214213,-1,778.0,775.3,30.70437017994876,2025-04
2025-04-03,101.55364400338263,1,745.5,740.6,-69.72769953051561,2025-04
2025-04-07,113.49484745621696,1,598.1,613.0,245.12222036448605,2025-04
2025-04-09,50.14297443103332,1,626.9,621.8,-85.35268782900052,2025-04
2025-04-10,-120.42752979836924,-1,684.9,681.9,39.80201489268543,2025-04
2025-04-23,-72.14544011217572,-1,687.6,683.2,59.99069226294296,2025-04
2025-04-28,53.619332332284216,1,695.6,692.7,-45.690626797009635,2025-04
2025-05-09,75.61941240766146,1,715.6,712.4,-48.71771939631108,2025-05
2025-05-13,-159.42130661789622,-1,687.1,681.3,80.41274923592034,2025-05
2025-06-13,79.00592585237787,1,739.7,742.5,33.85318372313107,2025-06
2025-06-16,-106.56340649748853,-1,735.9,725.1,142.75907052588587,2025-06
2025-06-19,-58.547109852898906,-1,725.2,727.3,-32.95752895752723,2025-06
2025-06-23,-76.71204222497896,-1,730.2,720.1,134.31826896740674,2025-06
2025-07-09,89.2432143021571,1,738.8,740.6,20.36383324309732,2025-07
2025-07-17,66.76330031344379,1,734.6,736.5,21.86441600871181,2025-07
2025-08-04,56.482512053754874,1,776.8,777.1,-0.13800205973124235,2025-08
2025-08-07,54.51490828133565,1,811.7,813.7,20.63964518910844,2025-08
2025-08-13,56.22073030577157,1,838.2,841.2,31.790980672869566,2025-08
2025-08-15,55.85090031682283,1,857.3,865.7,93.98203662662041,2025-08
2025-08-20,72.87539209987371,1,874.5,870.3,-52.02744425385974,2025-08
2025-08-26,-54.17620256871536,-1,861.1,862.5,-20.25827430031368,2025-08
2025-08-27,56.96463491514425,1,854.7,863.2,95.4500994501002,2025-08
2025-09-02,101.19744040751443,1,907.0,901.9,-60.22932745314224,2025-09
2025-09-16,71.16574753181393,1,915.9,929.8,147.7632929359092,2025-09
2025-09-30,-54.36441187226193,-1,933.2,939.9,-75.79597085297917,2025-09
2025-10-06,-77.73564541295963,-1,928.7,930.8,-26.61225368795028,2025-10
2025-10-10,-52.3787573326473,-1,946.5,927.9,192.51347068145864,2025-10
2025-10-14,109.9677009042388,1,926.9,915.6,-125.91174884021993,2025-10
2025-10-23,62.791777128929915,1,942.3,952.6,105.30701475114103,2025-10
2025-11-05,-76.52341032157727,-1,960.1,964.6,-50.87011769607396,2025-11
2025-11-12,52.96377391892149,1,1020.5,1011.0,-97.09162175404228,2025-11
2025-11-13,108.03314532512599,1,1005.5,1030.5,244.63252113376478,2025-11
2025-11-14,94.45066541541092,1,1038.5,1044.5,53.7756379393346,2025-11
2025-11-18,-70.30491037922305,-1,1033.0,997.2,342.56340755082283,2025-11
2025-11-20,55.834577479461075,1,1033.5,1033.0,-8.837929366231508,2025-11
2025-11-21,80.25310452325796,1,1024.0,1016.5,-77.2421875,2025-11
2025-12-03,-103.51647589316615,-1,1044.0,1052.0,-80.6283524904221,2025-12
2025-12-12,57.32381574324208,1,1092.5,1100.5,69.22654462242673,2025-12
2025-12-17,-70.4001830438039,-1,1056.5,1069.5,-127.0477993374346,2025-12
2025-12-19,50.1975495207696,1,1084.5,1083.0,-17.831258644536604,2025-12
2026-01-06,95.0530288832474,1,1168.5,1182.0,111.53273427471034,2026-01
2026-01-07,-79.7236935684098,-1,1151.5,1139.0,104.55405992184153,2026-01
2026-01-09,-78.96763518268068,-1,1172.5,1171.0,8.793176972281106,2026-01
2026-01-19,-55.3213962037602,-1,1206.0,1225.0,-161.5456053067992,2026-01
2026-01-22,57.7016346411896,1,1246.5,1252.0,40.123545928600464,2026-01
2026-01-27,65.20240577059022,1,1232.0,1244.0,93.40259740259827,2026-01
2026-02-04,133.2604997246145,1,1355.5,1371.5,114.03762449280609,2026-02
2026-02-09,78.51560151821646,1,1437.0,1423.0,-101.42519137091121,2026-02
2026-02-13,-109.48331423207058,-1,1456.0,1425.5,205.47802197802235,2026-02
2026-02-24,-66.44338506043957,-1,1442.0,1455.0,-94.15256588072118,2026-02
2026-03-02,-100.85078570366335,-1,1513.0,1544.0,-208.89094514210217,2026-03
2026-03-03,-161.43951274119829,-1,1477.5,1447.5,199.04568527918732,2026-03
2026-03-05,50.635186314413886,1,1384.0,1407.5,165.7976878612706,2026-03
2026-03-09,-142.40705928955876,-1,1333.5,1333.0,-0.2504686914133156,2026-03
2026-03-12,-79.44623458077005,-1,1351.5,1352.5,-11.399186089529497,2026-03
2026-03-13,64.49431227723012,1,1352.0,1364.0,84.75739644970349,2026-03
2026-03-16,-52.86923086652462,-1,1348.0,1328.5,140.65875370919923,2026-03
2026-03-17,111.03103256252078,1,1367.0,1357.5,-73.49524506217996,2026-03
2026-03-18,68.17765491001549,1,1411.5,1439.0,190.82819695359586,2026-03
2026-03-23,-92.0761484317556,-1,1287.5,1293.5,-50.60194174757271,2026-03
2026-03-25,-64.98198689321887,-1,1385.5,1376.0,64.56730422230228,2026-03
2026-03-30,76.41389471406245,1,1412.5,1436.5,165.91150442477786,2026-03
2026-03-31,-104.9310683930127,-1,1397.0,1410.5,-100.63564781674961,2026-03
2026-04-02,-159.5594561930602,-1,1475.5,1439.0,243.3737716028468,2026-04
2026-04-08,-97.29316078542993,-1,1484.5,1464.0,134.09363422027653,2026-04
2026-04-09,-103.23302499154474,-1,1457.0,1443.5,88.6561427590944,2026-04
2026-04-10,-173.83275645266315,-1,1422.5,1425.5,-25.08963093145899,2026-04
2026-04-17,-76.8222552055875,-1,1393.5,1375.0,128.75923932543952,2026-04
