date,pnl_bps,n_stocks,cum_bps,peak,dd
2025-04-09,702.2743531311124,4,702.2743531311124,702.2743531311124,0.0
2025-05-02,29.73171981937362,5,732.0060729504861,732.0060729504861,0.0
2025-10-09,-100.51216346227942,5,631.4939094882067,732.0060729504861,-100.51216346227943
2025-10-15,138.48228195474113,5,769.9761914429478,769.9761914429478,0.0
2025-12-05,51.21533775009213,5,821.1915291930399,821.1915291930399,0.0
2025-12-15,-11.104526765487453,5,810.0870024275524,821.1915291930399,-11.104526765487435
2025-12-29,-161.70327982578203,5,648.3837226017704,821.1915291930399,-172.80780659126947
2025-12-30,497.3996107797842,5,1145.7833333815547,1145.7833333815547,0.0
2026-01-05,160.4716864073633,3,1306.255019788918,1306.255019788918,0.0
2026-01-06,8.161289396166175,4,1314.4163091850842,1314.4163091850842,0.0
2026-01-09,401.6560662557356,5,1716.0723754408198,1716.0723754408198,0.0
2026-01-14,24.469927480220925,5,1740.5423029210408,1740.5423029210408,0.0
2026-01-21,97.6421431274892,5,1838.18444604853,1838.18444604853,0.0
2026-01-29,73.15631682655366,5,1911.3407628750836,1911.3407628750836,0.0
2026-02-03,225.33102559100803,4,2136.6717884660916,2136.6717884660916,0.0
2026-02-24,252.19597049555324,5,2388.867758961645,2388.867758961645,0.0
2026-03-27,75.53629920703476,5,2464.40405816868,2464.40405816868,0.0
2026-04-08,73.31477936292308,2,2537.718837531603,2537.718837531603,0.0
2026-04-13,253.37399649261314,5,2791.0928340242162,2791.0928340242162,0.0
