mode,L,K,sh_all,sh_is,sh_oos,t_all,bps,n
MOM,1,3,0.7275923709625063,0.8884065541953866,0.6217443669028112,2.281594794534722,57.924591083983906,118
MOM,1,5,0.8218748693048155,1.2907809713981782,0.4961537580143489,2.577247231281652,60.22787830413927,118
MOM,3,3,1.4880486440212486,1.5194781868743668,1.4557643549311148,4.626531250740336,111.30135554836596,116
MOM,3,5,1.4762378795169009,1.8449383776213653,1.1502986535093822,4.589810091594063,95.89956909409064,116
MOM,6,3,0.9931253535537949,1.0394273207387108,0.9470791880470304,3.0475628291234975,77.63880501383855,113
MOM,6,5,1.3254258990043992,1.477942338183679,1.1777547759469915,4.067279813277471,88.42771568343562,113
MOM,12,3,1.3950856204392048,1.3197030207320097,1.447477383952105,4.165835610996089,104.0433922757093,107
MOM,12,5,1.365301638496781,1.121951174920711,1.585561707882288,4.076898293604808,90.92080166691595,107
REV,1,3,0.2591988818088909,0.3488859712889249,0.1734676092369978,0.8127996431601686,21.21320750434828,118
REV,1,5,0.31186900213841445,0.38010857573317436,0.24524745440330273,0.9779633765461953,24.009021893494285,118
REV,3,3,0.18695098926926226,-0.15752247071049955,0.4873202700791365,0.5812542470881162,15.844466290894815,116
REV,3,5,0.36563923714404883,0.19560296985865064,0.4945485965630436,1.136818587174925,26.50293770617877,116
REV,6,3,0.33305100276369615,0.39472351738672684,0.28600666664392427,1.0220198815717458,25.20395726758502,113
REV,6,5,0.31127310004859926,0.3296924297173437,0.29541949956999386,0.955190929341999,22.41384879372527,113
REV,12,3,0.19050957844722743,0.191274011911611,0.19099171508413063,0.5688766155309233,15.893617979086274,107
REV,12,5,0.18432922377784275,0.3344555393304218,0.09528250583044792,0.5504215894070046,13.30428416542163,107
LS,1,3,0.21621099089329668,0.17717774235918343,0.24845252992626018,0.6808643965201077,26.00081398430543,119
LS,1,5,0.27301979626694073,0.4185720565104612,0.1406143250939308,0.8597595249682406,28.998812394282744,119
LS,3,3,0.7650220775651175,1.031228915014611,0.538759864577476,2.388780671562372,86.68547304804285,117
LS,3,5,0.6908248367456462,1.1329254962521746,0.3323745916019197,2.157099861360231,63.2457688182998,117
LS,6,3,0.4495489132635468,0.4561236010726551,0.4414698009007425,1.3856028079706468,45.77829769947675,114
LS,6,5,0.7143336820609444,0.8293549148263667,0.6072458214747078,2.201724276244437,61.514620929703526,114
LS,12,3,0.7574363321100674,0.7477154572393011,0.758940005577805,2.2723089963302026,83.10753696437374,108
LS,12,5,0.8666953391601308,0.6183270480816504,1.0843018748443236,2.6000860174803924,73.78138209856927,108
