exit_date,pnl
2017-03-23,0.49453089380605564
2017-04-25,0.029580770715569676
2017-06-09,-0.008475150135291721
2017-12-12,0.01759406511240545
2018-02-13,-0.01793432004578605
2018-02-15,-0.043606832706937125
2018-02-16,0.5130097828195237
2018-03-01,0.01367674126926304
2018-03-13,0.21271243637980866
2018-05-30,-0.007408864657227317
2018-07-02,-0.011456897465676168
2018-07-03,-0.019763031145557674
2018-10-10,-0.013139656680417524
2018-10-16,-0.032606699213680715
2018-10-31,-0.006345051445793473
2018-11-21,-0.02491066585831675
2019-03-08,-0.009420025546829469
2019-04-04,-0.022443699376179457
2019-04-05,-0.00594485377417232
2019-05-07,-0.01351159355835948
2019-05-27,-0.06836997320891239
2019-08-13,-0.05723473008389231
2019-08-20,-0.03470597558614442
2019-08-30,-0.02071818612081775
2020-01-08,-0.003870793163113741
2020-01-17,-0.019408615800096066
2020-01-30,-0.0061045218158769544
2020-02-10,0.02148899895766483
2020-07-31,-0.02978994238893521
2020-08-26,-0.00919305042838953
2020-08-28,-0.01880411716228269
2020-10-02,0.032825479661939494
2021-05-14,-0.02855830703695063
2021-06-11,-0.0006977131209205561
2021-07-12,-0.016808733842214908
2021-09-22,-0.00479445955090662
2021-10-14,-0.0007715693948172175
2021-10-25,0.0008976597734510711
2021-12-08,-0.009592907390918726
2021-12-28,-0.0023842766908261834
2022-03-02,-0.024931308032749046
2022-05-09,-0.00708719944981905
2022-05-12,-0.009760320296858829
2022-05-19,0.02086357964077762
2022-07-01,-0.006857547025914737
2022-10-04,-0.004135696021047712
2022-10-19,-0.01716399985576032
2022-10-24,0.0026937525452899683
2022-10-26,-0.001120283520429785
2022-12-29,-0.014873047898285368
2023-01-30,-0.010699687625530273
2023-03-22,-0.007394540911421591
2023-03-27,0.0014049747563520316
2023-04-10,-0.0006327443952365518
2023-04-11,0.0036588497068093273
2023-04-12,0.0240135662932806
2023-06-20,0.0010556882076979937
2023-08-23,0.011540492984363488
2023-08-31,0.0006392344526986027
2023-09-01,-0.016164371609626298
2023-10-06,-0.018229981926236816
2023-10-13,-0.006762962856462397
2023-10-20,-0.01073397456443349
2024-03-13,0.05027577521372632
2024-06-27,0.035983571948893
2024-06-28,0.020056636334748183
2024-07-26,0.03772194592859217
2024-08-08,0.040245321065670525
2024-08-13,-0.015370752300734805
2024-11-28,-0.024751647591382146
2024-12-06,-0.009141037907243781
2025-03-04,0.02043092111296488
2025-03-12,0.09219842327849351
2025-04-17,-0.02693323362906493
2026-05-22,1.5116693827206173
