code,entry_date,exit_date,entry,exit,hold_days,reason,ret_pct,pnl
58010,2018-02-06,2018-03-01,5380.0,5770.0,23,DC,6.99837063463152,0.0683837063463152
58010,2018-10-05,2018-10-10,3785.0,3550.0,5,DC,-6.409828340208762,-0.06569828340208762
58010,2019-02-07,2019-04-04,3390.0,3035.0,56,DC,-11.061849688089728,-0.11221849688089729
58010,2019-06-27,2019-08-13,3105.0,2336.0,47,DC,-28.457365041946154,-0.2861736504194615
58010,2019-10-25,2020-01-17,3010.0,2736.0,84,DC,-9.544307900048032,-0.09704307900048033
58010,2020-06-01,2020-08-26,2627.0,2513.0,86,DC,-4.436525214194765,-0.045965252141947646
58010,2021-06-10,2021-06-11,2894.0,2895.0,1,DC,0.0345482815666537,-0.0012545171843334631
58010,2021-11-11,2021-12-08,2450.0,2339.0,27,DC,-4.636453695459363,-0.04796453695459363
58010,2022-06-10,2022-10-24,2261.0,2290.0,136,DC,1.2744624270315477,0.011144624270315475
58010,2022-11-28,2023-01-30,2610.0,2478.0,63,DC,-5.189843812765137,-0.053498438127651364
58010,2023-04-25,2023-06-20,2463.0,2480.0,56,DC,0.6878441038489969,0.005278441038489969
58010,2023-06-23,2023-08-31,2496.0,2508.0,69,DC,0.4796172263493014,0.0031961722634930136
58010,2023-09-27,2023-10-06,2510.0,2295.0,9,DC,-8.954990963118407,-0.09114990963118408
58010,2024-01-26,2024-08-08,2590.5,3173.0,195,DC,20.282660532835262,0.20122660532835263
58010,2024-10-29,2025-03-12,3538.0,5619.0,134,DC,46.25921163924676,0.46099211639246757
58010,2025-06-04,2026-05-22,6958.0,53650.0,352,EOD,204.2589392346957,2.0409893923469573
