code,entry_date,exit_date,entry,exit,hold_days,reason,ret_pct,pnl
58020,2016-09-08,2017-04-25,1494.5,1735.5,229,DC,14.950385357784837,0.14790385357784838
58020,2017-06-05,2017-06-09,1802.0,1730.0,4,DC,-4.077575067645861,-0.04237575067645861
58020,2017-10-03,2018-02-13,1844.5,1689.0,133,DC,-8.807160022893024,-0.08967160022893024
58020,2018-05-18,2018-07-03,1786.5,1621.0,46,DC,-9.721515572778836,-0.09881515572778837
58020,2018-08-08,2018-10-16,1814.5,1544.0,69,DC,-16.143349606840356,-0.16303349606840356
58020,2019-02-21,2019-04-05,1532.5,1490.0,43,DC,-2.81242688708616,-0.0297242688708616
58020,2019-10-04,2020-02-10,1341.0,1495.5,129,DC,10.904499478832417,0.10744499478832416
58020,2020-06-08,2020-08-28,1365.0,1244.5,81,DC,-9.242058581141343,-0.09402058581141344
58020,2021-06-09,2021-07-12,1737.5,1600.0,33,DC,-8.244366921107455,-0.08404366921107455
58020,2021-10-28,2021-12-28,1509.5,1494.0,61,DC,-1.0321383454130917,-0.011921383454130918
58020,2022-01-13,2022-03-02,1675.5,1481.5,48,DC,-12.305654016374522,-0.12465654016374522
58020,2022-06-09,2022-10-24,1526.0,1532.0,137,DC,0.3924138456134365,0.0023241384561343654
58020,2022-11-29,2022-12-29,1603.0,1490.5,30,DC,-7.276523949142684,-0.07436523949142684
58020,2023-02-16,2023-10-20,1695.0,1609.0,246,DC,-5.206987282216746,-0.05366987282216745
58020,2023-12-01,2024-07-26,1852.0,2240.0,238,DC,19.020972964296085,0.18860972964296085
58020,2024-10-21,2025-03-04,2337.0,2592.5,134,DC,10.375460556482441,0.1021546055648244
58020,2025-06-02,2026-05-22,2994.0,11820.0,354,EOD,137.31827259805155,1.3715827259805156
