code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
57110,2016-05-12,2016-05-16,336.0,313.0,4,-7.0907969423051,-0.072507969423051
57110,2016-07-06,2016-08-04,245.0,257.0,29,4.7817874350492735,0.04621787435049274
57110,2016-08-08,2016-08-17,276.0,263.0,9,-4.824683353938544,-0.04984683353938543
57110,2016-08-18,2016-08-29,270.0,276.0,11,2.197890671877517,0.020378906718775167
57110,2016-08-30,2016-09-15,282.0,284.0,16,0.7067167223092353,0.005467167223092353
57110,2016-09-29,2016-10-19,2787.0,2731.0,20,-2.0297906008243163,-0.021897906008243165
57110,2016-12-12,2016-12-15,3965.0,3755.0,3,-5.441756987071329,-0.05601756987071329
57110,2017-01-25,2017-02-03,3880.0,3825.0,9,-1.4276686356682862,-0.01587668635668286
57110,2017-02-23,2017-02-27,3915.0,3685.0,4,-6.054480380146647,-0.06214480380146647
57110,2017-04-18,2017-05-17,3225.0,3180.0,29,-1.4051753455650302,-0.015651753455650303
57110,2017-06-05,2017-06-20,3190.0,3150.0,15,-1.2618463959211461,-0.014218463959211463
57110,2017-06-21,2017-06-22,3105.0,3130.0,1,0.8019289166619796,0.006419289166619797
57110,2017-06-27,2017-08-17,3165.0,3760.0,51,17.226590180566355,0.17066590180566357
57110,2017-08-29,2017-09-08,3950.0,3910.0,10,-1.0178204915756153,-0.011778204915756154
57110,2017-10-11,2017-11-13,3985.0,4245.0,33,6.320450752113235,0.061604507521132355
57110,2017-12-14,2018-01-23,3750.0,4080.0,40,8.434114843375095,0.08274114843375095
57110,2018-03-02,2018-03-05,3255.0,3215.0,3,-1.2364917970949876,-0.013964917970949876
57110,2018-03-12,2018-05-14,3250.0,3215.0,63,-1.0827638652063392,-0.012427638652063392
57110,2018-06-06,2018-06-20,3160.0,3020.0,14,-4.531519621204249,-0.04691519621204249
57110,2018-07-17,2018-08-09,2965.0,2993.0,23,0.9399196420873075,0.007799196420873075
57110,2018-08-24,2018-08-27,2940.0,2938.0,3,-0.06805035989047262,-0.0022805035989047263
57110,2018-08-29,2018-10-12,2981.0,3250.0,44,8.639618164571168,0.08479618164571168
57110,2018-11-28,2018-12-18,3085.0,3085.0,20,0.0,-0.0016
57110,2019-01-11,2019-02-08,2986.0,3000.0,28,0.4677589551110997,0.0030775895511109975
57110,2019-02-21,2019-03-04,3100.0,3020.0,11,-2.6145280104322244,-0.027745280104322246
57110,2019-03-25,2019-03-29,2912.0,2909.0,4,-0.10307508213749522,-0.0026307508213749523
57110,2019-04-02,2019-04-24,3010.0,3055.0,22,1.4839513862774216,0.013239513862774216
57110,2019-05-22,2019-07-09,2846.0,3050.0,48,6.922709095165967,0.06762709095165967
57110,2019-09-03,2019-10-04,2558.0,2888.0,31,12.133851787392883,0.11973851787392883
57110,2019-10-18,2019-11-13,2951.0,3105.0,26,5.086961942463976,0.04926961942463976
57110,2019-12-10,2019-12-26,3005.0,2948.0,16,-1.9150593660080757,-0.02075059366008076
57110,2020-01-22,2020-01-24,2931.0,2824.0,2,-3.7189342097759726,-0.03878934209775972
57110,2020-02-07,2020-02-21,2899.0,2751.0,14,-5.240136799708098,-0.054001367997080975
57110,2020-03-25,2020-06-12,2199.0,2306.0,79,4.751171027424306,0.04591171027424306
57110,2020-07-14,2020-07-30,2300.0,2264.0,16,-1.577596259416755,-0.01737596259416755
57110,2020-08-07,2020-08-11,2100.0,2120.0,4,0.9478743954543739,0.007878743954543738
57110,2020-08-14,2020-09-18,2237.0,2232.0,35,-0.22376379889280656,-0.003837637988928066
