code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
57060,2016-08-25,2017-05-09,203.0,382.0,257,63.22146295647878,0.6306146295647878
57060,2017-05-23,2018-02-16,407.0,5300.0,269,256.6648914097618,2.5650489140976185
57060,2018-05-28,2018-07-02,4985.0,4715.0,35,-5.5684487328380845,-0.05728448732838084
57060,2019-02-22,2019-05-27,2679.0,2206.0,94,-19.4262669731161,-0.19586266973116098
57060,2019-10-03,2020-01-30,2518.0,2649.0,119,5.071727466777717,0.04911727466777717
57060,2020-06-04,2020-10-02,2445.0,2521.0,120,3.0610525278947396,0.029010525278947395
57060,2021-01-22,2021-03-22,3970.0,3760.0,59,-5.434713729729588,-0.05594713729729588
57060,2021-05-11,2021-05-14,4025.0,3495.0,3,-14.119153518475317,-0.14279153518475315
57060,2021-08-25,2021-10-25,3275.0,3295.0,61,0.6088298867255355,0.004488298867255355
57060,2022-01-24,2022-05-12,3145.0,3000.0,108,-4.7201601484294144,-0.04880160148429414
57060,2022-06-16,2022-07-01,3265.0,3160.0,15,-3.268773512957369,-0.034287735129573685
57060,2022-09-14,2022-10-04,3175.0,3115.0,20,-1.907848010523856,-0.02067848010523856
57060,2022-12-08,2023-04-10,3200.0,3195.0,123,-0.15637219761827587,-0.0031637219761827587
57060,2023-06-22,2024-03-13,3335.0,4295.0,265,25.297887606863164,0.25137887606863163
57060,2024-03-29,2024-08-13,4635.0,4299.0,137,-7.525376150367402,-0.07685376150367403
57060,2024-10-18,2024-12-06,4983.0,4768.0,49,-4.4105189536218905,-0.0457051895362189
57060,2025-05-30,2026-05-22,4900.0,49610.0,357,231.49572211963766,2.3133572211963767
