code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
58010,2016-05-12,2016-06-09,261.0,259.0,28,0.7692345623155614,0.006092345623155614
58010,2016-09-29,2016-12-20,2664.0,3345.0,82,-22.763794090204907,-0.22923794090204905
58010,2017-01-20,2017-03-16,3705.0,4145.0,55,-11.22195298392081,-0.1138195298392081
58010,2017-04-28,2017-05-22,4470.0,4445.0,24,0.5608539659609537,0.004008539659609537
58010,2017-05-26,2017-07-03,4870.0,4990.0,38,-2.43419726689288,-0.0259419726689288
58010,2017-08-07,2017-09-06,5900.0,5680.0,30,3.800111817861375,0.03640111817861375
58010,2017-09-20,2017-11-07,6270.0,6110.0,48,2.5849581461325317,0.024249581461325317
58010,2019-07-02,2019-07-18,3250.0,3075.0,16,5.535009508316495,0.05375009508316496
58010,2019-10-16,2019-11-22,2838.0,2950.0,37,-3.8705591613877472,-0.04030559161387747
58010,2020-05-21,2020-07-13,2422.0,2595.0,53,-6.899287148695142,-0.07059287148695143
58010,2020-11-05,2020-11-09,2758.0,2459.0,4,11.475101613705453,0.11315101613705453
58010,2020-12-03,2020-12-24,2920.0,2811.0,21,3.8043324355795582,0.03644332435579559
58010,2021-02-05,2021-02-08,2900.0,2910.0,3,-0.3442344190972699,-0.005042344190972698
58010,2022-08-16,2022-09-27,2453.0,2361.0,42,3.8226507172976327,0.03662650717297633
58010,2022-11-10,2022-12-09,2511.0,2522.0,29,-0.4371157367279811,-0.005971157367279811
58010,2023-07-25,2023-08-04,2693.5,2351.5,10,13.57880407354858,0.13418804073548582
58010,2024-01-25,2024-06-24,2544.5,3952.0,151,-44.028761283887114,-0.4418876128388711
58010,2024-11-11,2025-01-16,5111.0,6778.0,66,-28.228699339871717,-0.28388699339871715
58010,2025-05-23,2025-08-12,6223.0,8400.0,81,-29.997960026218706,-0.30157960026218705
58010,2025-11-04,2025-11-11,11500.0,9797.0,7,16.027081900669913,0.15867081900669913
58010,2026-01-22,2026-05-22,12195.0,53650.0,120,-148.1455437408824,-1.483055437408824
