code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
58020,2016-05-12,2016-05-17,1274.5,1438.0,5,12.069931446482194,0.11909931446482194
58020,2016-07-07,2016-07-14,1260.0,1406.0,7,10.963707242508656,0.10803707242508656
58020,2017-04-18,2017-04-27,1720.0,1815.0,9,5.376117689145253,0.052161176891452526
58020,2018-02-07,2018-04-11,1754.0,1640.0,63,-6.720265211388423,-0.06880265211388423
58020,2018-10-15,2018-11-09,1560.0,1619.5,25,3.743163836780134,0.035831638367801344
58020,2018-12-26,2019-01-10,1353.5,1480.5,15,8.968603848729018,0.08808603848729017
58020,2019-05-09,2019-06-20,1408.0,1391.0,42,-1.2147344794544812,-0.013747344794544812
58020,2019-08-05,2019-09-04,1264.5,1249.0,30,-1.2333555984442162,-0.013933555984442162
58020,2020-01-29,2020-05-01,1507.0,1098.0,93,-31.663057655701948,-0.3182305765570195
58020,2021-08-23,2021-09-06,1424.0,1511.0,14,5.930187030081857,0.057701870300818574
58020,2022-03-08,2022-03-23,1316.5,1486.5,15,12.144766350178822,0.11984766350178822
58020,2022-10-03,2022-10-26,1463.5,1560.0,23,6.385499411164212,0.06225499411164213
58020,2023-10-05,2023-11-07,1647.5,1820.0,33,9.957751369417885,0.09797751369417884
58020,2024-08-06,2024-08-15,2022.5,2300.0,9,12.85747529845943,0.12697475298459432
58020,2025-04-04,2025-04-30,2176.0,2280.0,26,4.668711397265326,0.04508711397265326
