code,entry_date,exit_date,entry,exit,hold_days,reason,ret_pct,pnl
58030,2017-05-02,2017-05-08,838.0,855.0,6,DC,2.00833684546771,0.018483368454677098
58030,2017-05-09,2017-08-23,863.0,899.0,106,DC,4.086834338819239,0.03926834338819239
58030,2017-11-02,2018-02-20,993.0,770.0,110,DC,-25.434014919744314,-0.2559401491974431
58030,2018-05-25,2018-07-02,773.0,702.0,38,DC,-9.634564456161085,-0.09794564456161085
58030,2019-02-15,2019-03-28,487.0,412.0,41,DC,-16.72407737330634,-0.1688407737330634
58030,2019-07-30,2019-08-09,412.0,345.0,10,DC,-17.747893231816665,-0.17907893231816666
58030,2019-10-04,2020-01-21,410.0,442.0,109,DC,7.51527223793447,0.0735527223793447
58030,2020-06-05,2020-08-06,332.0,303.0,62,DC,-9.140216340711937,-0.09300216340711938
58030,2021-07-20,2021-11-17,530.0,591.0,120,DC,10.893901085993075,0.10733901085993075
58030,2022-02-08,2022-03-24,621.0,586.0,44,DC,-5.801129235646618,-0.05961129235646618
58030,2022-05-19,2022-10-31,727.0,880.0,165,DC,19.099542993873282,0.18939542993873285
58030,2022-11-17,2023-01-25,1101.0,969.0,69,DC,-12.770952483191373,-0.1293095248319137
58030,2023-05-26,2023-10-26,1060.0,1082.5,153,DC,2.1004272770531998,0.019404272770531996
58030,2024-01-26,2024-08-09,1185.0,3038.0,196,DC,94.14566295864866,0.9398566295864865
58030,2024-08-21,2025-03-25,4079.0,6388.0,216,DC,44.85693700173446,0.4469693700173446
58030,2025-05-30,2026-01-20,6680.0,17095.0,235,DC,93.96680355427101,0.9380680355427101
58030,2026-02-05,2026-04-08,22500.0,4835.0,62,DC,-153.76341803051167,-1.5392341803051168
