code,dt,total_vol,close_vol,close_px,pre_px,open_px,close_pct,adv60,adj_close,fwd_open,fwd_close,fwd2_close,cp_med,close_x,close_jump_bps,fwd_oc_bps,fwd_co_bps,fwd_cc_bps
13060,2025-01-31,1551080.0,459940.0,2925.0,2934.0,2919.0,29.653,5048030335.583333,292.5,285.8,285.4,287.3,3.38,8.773076923076923,-30.674846625766694,-13.995801259623075,-9022.905982905982,-9024.273504273504
13060,2025-05-07,1520260.0,292060.0,2864.0,2867.5,2872.5,19.211,6232977592.5,286.4,286.6,286.5,290.2,3.617,5.311307713574785,-12.205754141237923,-3.4891835310546515,-8999.301675977653,-8999.650837988826
13060,2025-05-20,1981190.0,513440.0,2904.0,2904.0,2924.5,25.916,5883871332.083333,290.4,291.8,290.2,288.3,3.8055,6.810143213769544,0.0,-54.83207676490798,-8995.179063360882,-9000.68870523416
13060,2025-07-10,4759690.0,2955060.0,2915.0,2917.5,2928.0,62.085,4176787176.9166665,291.5,293.5,293.3,293.3,3.5865,17.310748640736094,-8.568980291345785,-6.8143100511064425,-8993.138936535162,-8993.825042881646
13060,2025-07-15,923570.0,137870.0,2934.0,2932.0,2939.5,14.928,4142691270.0833335,293.4,293.6,292.8,295.0,3.5865,4.162275198661648,6.821282401090478,-27.24795640327016,-8999.31833674165,-9002.044989775051
13060,2025-07-31,1644940.0,257140.0,3056.0,3057.0,3039.0,15.632,3877963545.4166665,305.6,305.2,306.4,302.8,3.644,4.2897914379802415,-3.271180896303738,39.31847968545288,-9001.30890052356,-8997.382198952879
13060,2025-10-01,1783830.0,459110.0,3245.0,3242.0,3265.0,25.737,4428939698.833333,324.5,324.6,323.6,328.0,3.9855,6.457659013925479,9.253547193091016,-30.807147258163916,-8999.69183359014,-9002.773497688751
13060,2025-10-08,1213350.0,257210.0,3394.0,3390.0,3402.0,21.198,4370267944.166667,339.4,340.9,341.5,335.0,4.0125,5.282990654205608,11.799410029498247,17.60046934585091,-8995.580436063641,-8993.812610489098
13060,2025-11-17,1264310.0,276270.0,3507.0,3507.0,3508.0,21.851,5645246192.333333,350.7,348.5,341.1,340.5,4.106,5.321724305893814,0.0,-212.338593974174,-9006.273167949814,-9027.37382378101
13060,2025-12-02,1895160.0,790070.0,3501.0,3502.0,3512.0,41.689,6531740275.0,350.1,350.6,349.6,356.6,4.245,9.82073027090695,-2.855511136493627,-28.522532800913105,-8998.571836618108,-9001.42816338189
13060,2025-12-25,459000.0,112630.0,3586.0,3583.0,3582.0,24.538,7851973933.333333,358.6,359.0,358.8,359.9,4.897,5.010822952828262,8.372871895059308,-5.571030640668662,-8998.88455103179,-8999.442275515896
13060,2026-01-08,1644510.0,361370.0,3655.0,3658.0,3679.0,21.974,8008816388.833333,365.5,367.3,369.0,377.5,4.7829999999999995,4.594187748275142,-8.201202843083344,46.28369180506464,-8995.075239398086,-8990.424076607387
13060,2026-02-25,1662870.0,405070.0,4045.0,4042.0,4025.0,24.36,8274429441.333333,404.5,408.6,407.8,413.1,4.776,5.100502512562814,7.422068283027272,-19.579050416055345,-8989.864029666254,-8991.841779975279
13060,2026-02-27,2116310.0,642540.0,4131.0,4134.0,4073.0,30.361,8295388045.0,413.1,403.8,409.4,395.9,4.776,6.356993299832496,-7.256894049346707,138.68251609707727,-9022.512708787219,-9008.956669087387
13060,2026-03-18,2268090.0,543100.0,3907.0,3903.0,3845.0,23.945,9517739793.666666,390.7,381.7,379.1,365.9,4.3385,5.519188659675003,10.2485267742769,-68.11632171862647,-9023.035577169185,-9029.690299462503
13060,2026-03-31,25178030.0,7443120.0,371.4,372.4,371.0,29.562,9163959997.866667,371.4,383.5,389.2,383.0,4.561999999999999,6.4800526085050425,-26.852846401718146,148.63102998696087,325.7942918686063,479.2676359719983
13060,2026-04-09,12475840.0,3725490.0,396.7,396.5,399.5,29.862,8990475262.8,396.7,398.9,396.5,394.8,4.8565000000000005,6.148872644908884,5.044136191676429,-60.16545500125314,55.45752457776665,-5.041593143433332
13060,2026-04-30,17418510.0,4477660.0,394.1,393.6,395.7,25.706,8905474253.933332,394.1,394.2,394.6,407.2,5.541,4.639234795163327,12.703252032519874,10.147133434805777,2.537427048971974,12.687135244862091
13060,2026-05-07,25211910.0,8022270.0,407.2,407.7,,31.819,8900799155.15,407.2,405.5,405.9,407.1,5.737,5.5462785427923995,-12.26391954868733,9.864364981504448,-41.748526522592535,-31.925343811395337
13060,2026-05-14,16840080.0,4780830.0,411.2,411.6,416.6,28.39,8555156482.416667,411.2,413.2,409.9,405.9,6.79,4.181148748159058,-9.718172983479434,-79.8644724104558,48.63813229571967,-31.614785992217787
13060,2026-05-29,16905480.0,4397730.0,417.9,421.7,417.3,26.014,8178806892.6,417.9,,,,5.793,4.4905920939064385,-90.11145364002826,,,
13080,2025-05-07,218170.0,50078.0,2825.0,2833.0,2837.0,22.954,1347939134.55,2825.0,2829.0,2836.0,2864.0,0.5429999999999999,42.272559852670355,-28.23861630780078,24.74372569812644,14.159292035398341,38.93805309734599
13080,2026-03-18,113898.0,10663.0,3860.0,3856.0,3801.0,9.362,1329252749.7333333,3860.0,3772.0,3747.0,3608.0,0.3515,26.634423897581794,10.373443983402453,-66.27783669141074,-227.97927461139844,-292.746113989637
13080,2026-05-07,467740.0,51017.0,4023.0,4030.0,,10.907,1304797299.15,4023.0,4006.0,4009.0,4021.0,0.666,16.376876876876874,-17.369727047146235,7.488766849725881,-42.257022122793586,-34.79990057171256
