,pair_portfolio,eneos_vwap_trend,lme_on_copper,lasertec_ma25,nonferrous_D_strong,nonferrous_D_freq,nonferrous_B_disp,semi_sox_fade
2025-04-09,0.0,-85.35268782900052,702.2743531311124,0.0,111.47722946979296,19.81175890035612,0.0,-104.00215719475337
2025-04-10,0.0,39.80201489268543,0.0,0.0,-171.56173892226178,-267.12816280451403,-25.593244194229474,160.76613729209612
2025-04-11,18.11217315510862,0.0,0.0,0.0,0.0,98.7887240670702,0.0,851.000915960674
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.44767846761692
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,50.13953488372103,54.26461370504022
2025-04-16,0.0,0.0,0.0,0.0,0.0,70.5645046953777,0.0,309.8113560876539
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.92637436363145
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,13.417862497323805,-42.22970927098001
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013204304245346
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,-28.27027027027062,-61.09071536871568
2025-04-23,104.30844711681226,59.99069226294296,0.0,0.0,0.0,0.0,0.0,93.61314392466748
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.881723661308689
2025-04-25,41.81320053164544,0.0,0.0,0.0,0.0,35.1706401299821,0.0,-114.95380511886852
2025-04-28,0.0,-45.690626797009635,0.0,0.0,0.0,0.0,0.0,282.1761525863584
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,-4.151405866102735,153.68606958620325
2025-05-01,0.0,0.0,0.0,0.0,-114.9743074750368,-79.17783888484067,0.0,-227.8163137304556
2025-05-02,-10.438846017415695,0.0,29.73171981937362,0.0,0.0,-130.04375264925983,0.0,39.04480234477692
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.893369647820624
2025-05-08,0.0,0.0,0.0,0.0,0.0,-26.065892459749083,0.0,-86.81055275975402
2025-05-09,53.036875373439955,-48.71771939631108,0.0,0.0,0.0,0.0,0.0,-19.826534570967603
