p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
4568.T,4151.T,304,0.2842525750903789,-0.32818288036284143,0.020639873412902247,0.8210924279085712,0.4378037732878538,3.161213980643209e-14,0.10179535944541844,医薬
4502.T,4151.T,304,0.3885920487422557,0.6296108946868517,0.710937082922875,0.8787308246120622,0.445609497470088,1.4462115715511908e-15,0.09956786054095108,医薬
4503.T,4151.T,304,0.4260044049466863,1.5843784234097107,0.7870879900988732,0.9426574093182741,0.3376268057112026,1.892053765124346e-14,0.18245550994801832,医薬
4578.T,4151.T,304,0.33405666382622307,0.8685753435884185,0.8413821260412504,0.9437912108218104,0.4445480724854496,-1.8114165138620976e-14,0.13518398973515133,医薬
7011.T,7013.T,350,0.7424933192440971,0.7066041231202506,0.009709100221258277,0.037709674351877,0.3568865482676965,-6.970931768332126e-15,0.05392354992070507,重工
7012.T,7013.T,350,0.14637099432915743,0.6150401395221617,0.20939633392281276,0.4258625712787768,0.44692872319401566,-4.791088161125247e-15,0.6072903353369306,重工
7011.T,7012.T,350,0.13667888641246112,0.14160652634915327,0.78954565809237,0.9200316539610621,0.47128509241302735,1.380483029476766e-15,0.266867669894869,重工
6501.T,6503.T,304,0.5655352557904174,0.41589735693989954,0.026015124500434812,0.08577711726067644,0.42226668986593957,4.66001506388717e-15,0.07263936720182966,電機
6501.T,6702.T,304,0.5208733415865867,0.8806477592434786,0.036096134682892855,0.11218781708589382,0.3718723546845618,2.0615088583566064e-14,0.08127890013835191,電機
6594.T,6752.T,304,0.3383593391880543,-0.34286300301808725,0.04674606720815179,0.13738205242364654,0.4496727568334352,2.0626775141720012e-15,0.11457361220767225,電機
