p1,p2,beta,n_trades,mean_bps,median_bps,sharpe,wr,pf,t_stat,avg_hold,gross_mean,wins_mr,stops,times,sector
7011.T,7013.T,0.7066041231202506,9,318.11373948878395,322.36927738669687,22.507143869325045,100.0,inf,12.521818887929415,8.666666666666666,326.11373948878395,9,0,0,重工
8306.T,8411.T,0.7225080642079817,10,171.93596830200391,146.21108827903797,11.871282609586803,100.0,inf,7.250388871587307,9.4,179.93596830200391,10,0,0,銀行
6146.T,6323.T,0.9908479032050265,5,-22.05617995122277,76.76989962528106,-0.2834710053319941,60.0,0.8816739761693521,-0.11844990364983289,8.8,-14.05617995122277,3,1,1,半導体装置
