trade_date,bps
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,-0.6222222222222222
2015-02-04,-8.674083376042605
2015-02-05,-59.50461246307149
2015-02-06,26.85185398254075
2015-02-09,11.035647260003238
2015-02-10,-24.041986462918654
2015-02-12,-14.225870842524294
2015-02-13,28.43582505866042
2015-02-16,-102.06980120912587
2015-02-17,79.78068918543113
2015-02-18,13.240941800814936
2015-02-19,20.84657411332155
2015-02-20,21.362272847614044
2015-02-23,43.961577557483714
2015-02-24,-1.7800000089687167
2015-02-25,-16.016967203493834
2015-02-26,-57.10706492239964
2015-02-27,16.211737189632036
2015-03-02,13.383798245930569
2015-03-03,-13.0044956177451
2015-03-04,17.498129387595473
2015-03-05,-67.08707316556236
2015-03-06,-28.316916645268822
2015-03-09,22.824481699847208
2015-03-10,38.65491551193166
2015-03-11,11.412758050305692
2015-03-12,-52.09774767810117
2015-03-13,57.76214780810675
2015-03-16,-24.25364755427176
2015-03-17,-0.012805159160547634
2015-03-18,10.486176293485045
2015-03-19,-13.621250074000747
2015-03-20,14.682596712272154
2015-03-23,-61.503713652605114
2015-03-24,-30.64864493118717
2015-03-25,-15.0633480987264
2015-03-26,38.92872264326635
2015-03-27,78.60625237515717
2015-03-30,14.957332867627208
2015-03-31,-1.7794234007586454
2015-04-01,-39.29523661910273
2015-04-02,46.465732018829705
2015-04-03,27.418410931307424
2015-04-06,-30.357032403525384
2015-04-07,-33.25487866295584
2015-04-08,12.924655909214218
2015-04-09,-22.204497847065017
2015-04-10,17.852291645377633
2015-04-13,-0.76126400472866
2015-04-14,10.604269020111733
2015-04-15,-35.54907469860076
2015-04-16,-9.877430721571235
2015-04-17,11.798855940526932
2015-04-20,-3.302827835613845
2015-04-21,-34.66253660509975
2015-04-22,-10.549394881973946
2015-04-23,60.04904123526041
2015-04-24,-65.5503271015248
2015-04-27,-55.007722897136986
2015-04-28,-86.37043396204693
2015-04-30,74.21427506018489
2015-05-01,-92.81979876171631
2015-05-07,47.7449383289172
2015-05-08,1.7826952283777127
2015-05-11,-79.39942871890601
2015-05-12,-54.97004140344356
2015-05-13,26.64738460702037
2015-05-14,-53.60845406666616
2015-05-15,45.37819609581366
2015-05-18,-21.547570137316168
2015-05-19,43.195284763260084
2015-05-20,-23.16716657060492
2015-05-21,-9.648385058069179
2015-05-22,-34.127512442997734
2015-05-25,33.283814437633566
2015-05-26,23.885558293893542
2015-05-27,1.9411941177472076
2015-05-28,-72.81138215918509
2015-05-29,20.035438284725604
2015-06-01,-12.366418854234922
2015-06-02,12.99867798939238
2015-06-03,71.46753176682594
2015-06-04,21.58355018031169
2015-06-05,3.124477703314148
2015-06-08,-93.96382835248284
2015-06-09,27.39060710975803
2015-06-10,53.22407787436729
2015-06-11,30.65481877253453
2015-06-12,-53.271121614008045
2015-06-15,1.3368165186210743
2015-06-16,-22.79305581620335
2015-06-17,5.298152190951921
2015-06-18,9.270319450104902
2015-06-19,18.183753339898843
2015-06-22,57.489907346179606
2015-06-23,-6.9916280239324795
2015-06-24,4.060344058698354
2015-06-25,16.708710433275694
2015-06-26,39.150366473305304
2015-06-29,-9.553205408556574
2015-06-30,48.414478924320456
2015-07-01,11.928284099304172
2015-07-02,29.480834215281075
2015-07-03,-7.997893028573115
2015-07-06,33.31150874896596
2015-07-07,-0.11775303660851616
2015-07-08,6.334307492284148
2015-07-09,21.838376611498855
2015-07-10,31.96798055331882
2015-07-13,-9.661216683215706
2015-07-14,13.39889515485227
2015-07-15,-21.66605607778509
2015-07-16,13.948889655970033
2015-07-17,15.540038403028896
2015-07-21,-0.25687125650647463
2015-07-22,-21.5605801313022
2015-07-23,12.600010812581324
2015-07-24,-7.257867860877425
2015-07-27,-8.67389692937788
2015-07-28,-12.958226125487641
2015-07-29,26.58234286087832
2015-07-30,24.79431157164278
2015-07-31,62.39004682606881
2015-08-03,-34.811263725773706
2015-08-04,-11.19120322431979
2015-08-05,32.375088665055415
2015-08-06,4.432100145608416
2015-08-07,36.0643228321143
2015-08-10,53.478626171214415
2015-08-11,29.007718019733684
2015-08-12,19.676499548529268
2015-08-13,38.13382627288047
2015-08-14,-32.719203887812256
2015-08-17,12.7828446953249
2015-08-18,58.316340321344455
2015-08-19,-77.8215210294429
2015-08-20,25.938753672586415
2015-08-21,15.24433060124511
2015-08-24,28.371369778021784
2015-08-25,-16.39049591857388
2015-08-26,-20.64364476498907
2015-08-27,44.51906741603446
2015-08-28,-1.8473201506570704
2015-08-31,-79.30156631677346
2015-09-01,29.11465658540855
2015-09-02,-36.39154363294433
2015-09-03,-7.707053591720174
2015-09-04,-19.167402478567364
2015-09-07,-45.018341364769284
2015-09-08,55.12165527144695
2015-09-09,4.67271027552054
2015-09-10,-23.776453153993995
2015-09-11,-52.798099118890974
2015-09-14,-47.27543883898601
2015-09-15,18.227746630047736
2015-09-16,24.967634423466965
2015-09-17,0.992618312787971
2015-09-18,-36.03924279324721
2015-09-24,-42.123756221800235
2015-09-25,66.58190209301081
2015-09-28,46.567787018866674
2015-09-29,-3.762083948145545
2015-09-30,-38.25615579628914
2015-10-01,39.450563848791624
