pair,p1,p2,ez,zw,hd,n,mean,sharpe,t,wr,pf,avg_hold,mr,stop,time,h1_sh,h2_sh,h1_mean,h2_mean,h1_n,h2_n
エネルギー: INPEX/ENEOS,1605.T,5020.T,2.5,20,30,42,135.22971180775068,1.3162121634793598,2.177961381979044,59.523809523809526,2.5732232620725752,16.428571428571427,39,0,3,2.4418453577470256,0.395364062476242,228.56629162199624,41.893131993505115,21,21
銀行: MUFG/SMFG,8306.T,8316.T,2.0,60,20,45,62.775961494102035,1.2294510123539073,2.1421095435269115,60.0,2.4159021962860217,17.0,13,3,29,0.8216166124306747,1.59273694558842,32.551301934311795,91.68650542085794,22,23
電機: 日立/三菱電,6501.T,6503.T,2.5,20,10,49,115.99954861892608,1.2272599948474705,1.654508666203229,46.93877551020408,2.277517601270138,9.346938775510203,11,0,38,0.5775970421891833,1.717863203738808,44.34259385259719,184.79022519460185,24,25
半導体: TEL/レーザー,8035.T,6920.T,2.5,40,10,36,96.90115717395388,1.1467542021826813,1.2922455908033317,55.55555555555556,1.7299687476411434,8.88888888888889,5,3,28,-0.6000418886003759,2.7323216158270025,-43.99931081159218,237.8016251594999,18,18
非鉄: 三菱マテ/住友金鉱,5711.T,5713.T,2.5,20,30,41,115.82328481134557,1.0040783885203444,1.747147689187561,68.29268292682927,2.1021454167895275,18.609756097560975,31,0,10,1.7106071034171833,0.29406421018196,204.64693411531644,31.229333093278093,20,21
半導体: TEL/ディスコ,8035.T,6146.T,2.5,20,20,45,98.61466930614071,0.8859910258763425,1.4955167264302012,55.55555555555556,1.8871696350972638,15.955555555555556,25,0,20,1.7749213873668472,-0.08823728527397874,210.54075927692875,-8.44506892678701,22,23
鉄道: JR東/JR東海,9020.T,9022.T,2.5,40,30,33,79.64793180591305,0.8493081529045655,1.4345955121626361,63.63636363636363,1.822166794780413,21.78787878787879,24,0,9,0.6997688999356847,0.9804969198174268,62.58343245444738,95.70863707788075,16,17
商社: 住友商/三菱商,8053.T,8058.T,2.5,40,10,42,31.215602883691037,0.8231057887772177,0.9973698777798818,50.0,1.4852520218958811,8.80952380952381,1,6,35,-0.06133831471990513,1.968097372753173,-2.480493063692742,64.91169883107482,21,21
電線: 住電/古河,5802.T,5801.T,1.5,40,20,88,85.02302663903862,0.746943644612431,1.7737181292263269,53.40909090909091,1.6410404532838108,16.147727272727273,30,8,50,0.33568672962414686,1.1504282471628047,37.23489934013224,132.811153937945,44,44
医薬: アステラス/大塚,4503.T,4578.T,2.5,40,10,42,47.54003219469174,0.739754998570666,0.9366521202813782,52.38095238095239,1.4932237952459015,9.619047619047619,6,1,35,0.5662873869022119,0.8878829859504667,22.482025086093543,72.59803930328995,21,21
電機: ソニー/富士通,6758.T,6702.T,2.0,40,10,77,45.91799534784686,0.6778976128413934,1.1458561035264168,48.05194805194805,1.4043030979958278,9.35064935064935,10,3,64,0.7323731632169359,0.631106911996932,47.52039878511413,44.356679178201794,38,39
通信: NTT/KDDI,9432.T,9433.T,2.5,60,10,33,22.334870189116554,0.6642085265719118,0.695118291945064,54.54545454545454,1.3855315655239138,8.363636363636363,2,7,24,1.1583968866139822,0.06793501096669113,44.067711396573195,1.8804314056279612,16,17
銀行: MUFG/みずほ,8306.T,8411.T,2.0,60,30,43,65.98625841728101,0.6617407266442799,1.3762611248871648,51.162790697674424,1.9145026253027484,25.348837209302324,21,1,21,2.091873182621118,0.28839466967396404,94.95042853504695,38.33864148668622,21,22
重工: MHI/IHI,7011.T,7013.T,2.0,20,30,73,100.48970383919544,0.6376513369028378,1.53272306071423,54.794520547945204,1.6032602745275977,19.945205479452056,53,0,20,1.0221791535690272,0.2707254538620111,160.20849024331858,42.38493868923777,36,37
商社: 丸紅/三井物産,8002.T,8031.T,2.5,60,10,31,32.991099737915505,0.5872783749191537,0.6078908704173819,35.483870967741936,1.5382450862002868,8.709677419354838,4,4,23,0.5050382330452744,0.6925867162369169,13.86121416204119,50.925367465297676,15,16
非鉄: 三菱マテ/三井金,5711.T,5706.T,2.5,20,30,42,57.74842179452776,0.4983352988396604,0.8688319144282534,50.0,1.5161518996643237,18.238095238095237,33,0,9,0.07799116084660532,0.8670179510658165,8.2945699143853,107.20227367467021,21,21
半導体: レーザー/アドバン,6920.T,6857.T,2.5,40,10,38,65.28521659401558,0.48595829564700466,0.5751565666179134,57.89473684210527,1.3005006309069087,9.289473684210526,4,2,32,0.3729262430519218,0.5900496544265641,47.180568020473466,83.3898651675577,19,19
