date,①上流(材料),②製造装置,③デバイス部品,④AI/DC下流
2018-01-04,,,,
2018-01-05,-0.0021111615688726437,0.020087672282754376,0.011892412122532513,0.00013540850605633925
2018-01-09,0.023700195379082134,0.01936916572105002,0.0059308329749048205,0.008717474052734736
2018-01-10,-0.010034655456578029,-0.0034968410613008816,-0.014356884291600513,-0.0013261571860468113
2018-01-11,-0.013657955140168876,-0.01652347641376875,-0.015091806638469363,-0.0037999064580846176
2018-01-12,-0.006447396004299,0.011412591628446433,-0.0017923124078031093,-0.015124758049018583
2018-01-15,0.004563205356780314,-0.002825282203443996,-0.0006487373228937443,0.0063745122185248915
2018-01-16,0.012581005204256562,0.014024257328129897,0.004875713717853225,0.011042546288686783
2018-01-17,0.0054679832497271375,0.037002779412046216,0.00960524392756774,-0.012973421512024047
2018-01-18,0.014660007861427349,0.018474968857216945,0.009400907056654662,-0.010072157158675293
2018-01-19,0.007445847751845203,0.009364284642066456,0.0034910663311181088,0.003502728876013911
2018-01-22,0.009312527857247621,-0.008594126336739255,0.0018935189953368735,0.004370328949356128
2018-01-23,0.0039240937686505495,0.01571355813584696,0.009298822450581778,0.013842492809869711
2018-01-24,-0.02170844123054183,-0.02344767384200694,-0.020532092784359014,0.004148909049131677
2018-01-25,-0.008961918398324997,-0.017539679541533265,-0.01044508949651506,-0.001774163718265831
2018-01-26,-0.007835999713403707,-0.019956145618960863,-0.0098821477756309,-0.0018912460205269543
2018-01-29,0.021679820144905937,0.018493886096406897,0.00596792587689432,-0.0031066621903848013
2018-01-30,-0.028420119520529252,-0.018044974770167976,-0.017729619932705366,-0.01952785739728144
2018-01-31,-0.0069958894471803534,-0.00385449789370923,0.003968936647009614,-0.00964781159232167
2018-02-01,0.01126016731220203,0.012430771014404957,0.016749160236171255,0.016639873945913763
2018-02-02,-0.018958157189042202,-0.014517542929436827,-0.015236774842801504,-0.010184521442723471
2018-02-05,-0.02579940829100899,-0.030514900756734825,-0.03944194324816388,-0.019061087700464108
2018-02-06,-0.049625752284175484,-0.03748055194269492,-0.042736625289627225,-0.0455502426011124
2018-02-07,0.03133306823979898,-0.003495292483546214,-0.004295942990850432,0.009665409488406607
2018-02-08,0.0063257471352573535,0.034012613072873066,0.007868381154081127,0.0035293514835489093
2018-02-09,-0.014404057693364947,-0.030346279359879963,-0.024779071412295472,-0.010593911094542302
2018-02-13,-0.0056401240138971576,-0.0059105310892274,-0.007806862587364205,-0.01029401508450764
2018-02-14,-0.007865332371369382,0.0015309777887768383,-0.022016409770940347,-0.021855620362260575
2018-02-15,-0.019670310323266382,0.056129428648972746,0.021874498568055678,0.012475079199578687
2018-02-16,0.0001201448458352794,0.0055944662518007116,0.00987046024349909,0.00721926220906946
2018-02-19,0.02449045107804837,0.020760598574684264,0.010078471636142217,0.01863777225013069
2018-02-20,0.0021877712084976686,-0.015444603196652334,-0.006449243855394649,-0.0005752908326489281
2018-02-21,-0.00652754482945514,0.02264610027521352,0.011617293518514926,-0.004990647456020542
2018-02-22,-0.010716465611807502,-0.003158846437564561,-0.0022187582963445916,-0.0004879639812366554
2018-02-23,0.007951564313081472,-0.0012216693164286418,0.005791618267966925,0.006690775715953945
2018-02-26,0.008224782304173284,0.0027769194910063355,0.0068860098864807155,0.017023700785666784
2018-02-27,0.019112543581488284,0.027459816325666353,0.02729286311560908,-0.00015423453562343759
2018-02-28,-0.00990271255116637,-0.004529413758503437,-0.012279381926927502,-0.010615392188912831
2018-03-01,-0.01945810278109944,-0.01094897412136897,-0.021280174172840293,-0.009904940311441485
2018-03-02,-0.01528017863996553,-0.01675174511925767,-0.02789575287349715,-0.01906663874911141
2018-03-05,-0.028172055309369448,-0.025756983477862067,-0.020033243858135076,7.858912577024535e-05
2018-03-06,0.02248547510629062,0.04158479110965957,0.026186765172828162,0.010295315284216011
2018-03-07,-0.008810058729904618,-0.004794375814392737,-0.011474477688762686,-0.0052546376214800405
2018-03-08,0.019558256107072458,0.04335787434274474,0.01846858565211664,0.004398731456162791
2018-03-09,0.02134374121972854,-0.001168472964413081,0.017101923001841834,0.0035046616938274877
2018-03-12,0.02022372992896826,0.01774897304498202,0.019285607991708975,0.006468297648465959
2018-03-13,0.019072631165311882,0.004890801045011994,0.008445487913697702,0.009831444347866397
2018-03-14,-0.01917035326946681,-0.022598027865966652,-0.014190407554947515,-0.004725367805613334
2018-03-15,0.002372797240510094,-0.0024845633055021743,0.0014661606549473127,0.005967634729998228
2018-03-16,-0.006644994391233172,-0.01632759973551612,-0.02071167456508465,0.0008051464025583266
2018-03-19,-0.0079289035422756,-0.022475607522892266,-0.00819002203310697,-0.009439658026160369
2018-03-20,-0.01019208344346656,-0.008727773082905455,-0.007087294386774889,0.004470921336007017
2018-03-22,-0.006143306618279082,6.0481320553695816e-05,-0.0017464470479434003,0.0030580068267059
2018-03-23,-0.05156217419189216,-0.04814220278085471,-0.051700938438422314,-0.03545773939578367
2018-03-26,0.0017980658258889837,-0.00940395463104765,-0.00044644798958546337,0.0020970651771754223
2018-03-27,0.023248733599380345,0.02705804176518989,0.030230104477135634,0.017218036365416134
2018-03-28,-0.016389997236325504,-0.03372720689794875,-0.01551381834497958,-0.024544654307899427
2018-03-29,-0.010799174045254156,-0.005440953941238613,-0.005942731998816874,0.00673093781732767
2018-03-30,0.012435475622828207,0.02925393950890387,0.017952335180964195,0.011355773949133174
2018-04-02,0.004860359539966275,0.013459175998110418,0.006207517846801269,-0.006150390649916099
2018-04-03,-0.010917093931571115,-0.017375657671550776,-0.03223126211810516,-0.0034228831782012192
2018-04-04,-0.017628746987401495,-0.026137580862150983,-0.0061372135339668125,0.0018256144186576395
2018-04-05,0.011107445205937316,0.010175782967302871,0.009457917653499015,0.014659921028128797
2018-04-06,-0.01923100683754536,-0.002603752535772663,-0.01001720581855503,-0.0012529546826543225
2018-04-09,0.002425464279240702,0.001940911624393915,0.0029811707160063206,0.008463363825429976
2018-04-10,0.015791307009752453,0.013716635890303808,0.002911297721403039,-0.0012044753295005206
2018-04-11,0.006255635146928701,0.006378194893597283,0.007661321627978035,0.0018798876032397605
2018-04-12,-0.0042328284052438325,-0.0028942883149148113,-0.020782441540404473,0.004106890276669495
2018-04-13,0.032063260653568904,0.025256675630074887,0.03113252600075418,0.0062590334545877535
2018-04-16,-0.005434398804947227,-0.004835255072738742,0.012566072919236459,0.0051154633767082625
2018-04-17,-0.0018883844359361412,0.003666264036938649,0.005572135356770147,-0.006690042673916291
2018-04-18,0.017928274518424492,0.01716610898562604,0.011677067552374253,0.016385337198246808
2018-04-19,0.001594795703373758,-0.02478060693945469,0.0015881670724215314,-0.003687872500377276
2018-04-20,-0.029345696899370582,-0.004785348814861867,-0.011850599998624345,0.00513444328863169
