period,lead,follow,lag,r
all,装置,AI下流,-3,0.4798123510422569
all,装置,AI下流,-2,0.4796118048537114
all,装置,AI下流,-1,0.47891894835488213
all,装置,AI下流,0,0.4787282339292452
all,装置,AI下流,1,0.47891894835488213
all,装置,AI下流,2,0.4796118048537114
all,装置,AI下流,3,0.4798123510422569
all,装置,AI下流,4,0.4795620394511404
all,装置,AI下流,5,0.48016505425648714
all,部品,上流,-5,0.8001953775652302
all,部品,上流,-4,0.8001099805918578
all,部品,上流,-3,0.7993868232364822
all,部品,上流,-2,0.8011952252766563
all,部品,上流,-1,0.8010928224287176
all,部品,上流,0,0.8010344630492496
all,部品,上流,1,0.8010928224287176
all,部品,上流,2,0.8011952252766563
all,部品,上流,3,0.7993868232364822
all,部品,上流,4,0.8001099805918578
all,部品,上流,5,0.8001953775652302
all,部品,装置,-5,0.730282634349871
all,部品,装置,-4,0.7298389083590924
all,部品,装置,-3,0.7287701227824228
all,部品,装置,-2,0.7252627578100719
all,部品,装置,-1,0.7250200345797451
all,部品,装置,0,0.7246182790818961
all,部品,装置,1,0.7250200345797451
all,部品,装置,2,0.7252627578100719
all,部品,装置,3,0.7287701227824228
all,部品,装置,4,0.7298389083590924
all,部品,装置,5,0.730282634349871
all,部品,AI下流,-5,0.5284055074679723
all,部品,AI下流,-4,0.5284069033924592
all,部品,AI下流,-3,0.5274020402700252
all,部品,AI下流,-2,0.5268260926808495
all,部品,AI下流,-1,0.5268090170556081
all,部品,AI下流,0,0.5267566206109411
all,部品,AI下流,1,0.5268090170556081
all,部品,AI下流,2,0.5268260926808495
all,部品,AI下流,3,0.5274020402700252
all,部品,AI下流,4,0.5284069033924592
all,部品,AI下流,5,0.5284055074679723
all,AI下流,上流,-5,0.5139880073391879
all,AI下流,上流,-4,0.5139993375808108
all,AI下流,上流,-3,0.5141098971314886
all,AI下流,上流,-2,0.512910766765057
all,AI下流,上流,-1,0.5128814104692212
all,AI下流,上流,0,0.5127684622648028
all,AI下流,上流,1,0.5128814104692212
all,AI下流,上流,2,0.512910766765057
all,AI下流,上流,3,0.5141098971314886
all,AI下流,上流,4,0.5139993375808108
all,AI下流,上流,5,0.5139880073391879
all,AI下流,装置,-5,0.48016505425648714
all,AI下流,装置,-4,0.4795620394511404
all,AI下流,装置,-3,0.4798123510422569
all,AI下流,装置,-2,0.4796118048537114
all,AI下流,装置,-1,0.47891894835488213
all,AI下流,装置,0,0.4787282339292452
all,AI下流,装置,1,0.47891894835488213
all,AI下流,装置,2,0.4796118048537114
all,AI下流,装置,3,0.4798123510422569
all,AI下流,装置,4,0.4795620394511404
all,AI下流,装置,5,0.48016505425648714
all,AI下流,部品,-5,0.5284055074679723
all,AI下流,部品,-4,0.5284069033924592
all,AI下流,部品,-3,0.5274020402700252
all,AI下流,部品,-2,0.5268260926808495
all,AI下流,部品,-1,0.5268090170556081
all,AI下流,部品,0,0.5267566206109411
all,AI下流,部品,1,0.5268090170556081
all,AI下流,部品,2,0.5268260926808495
all,AI下流,部品,3,0.5274020402700252
all,AI下流,部品,4,0.5284069033924592
all,AI下流,部品,5,0.5284055074679723
IS,上流,装置,-5,0.7713843604065791
IS,上流,装置,-4,0.7706943812567218
IS,上流,装置,-3,0.7707084979533453
IS,上流,装置,-2,0.7708106808864099
IS,上流,装置,-1,0.7709484082058693
IS,上流,装置,0,0.7705744221292512
IS,上流,装置,1,0.7709484082058693
IS,上流,装置,2,0.7708106808864099
IS,上流,装置,3,0.7707084979533453
IS,上流,装置,4,0.7706943812567218
IS,上流,装置,5,0.7713843604065791
IS,上流,部品,-5,0.7917199555942336
IS,上流,部品,-4,0.7917068236385177
IS,上流,部品,-3,0.791853898076999
IS,上流,部品,-2,0.792038186354765
IS,上流,部品,-1,0.7918296828184272
IS,上流,部品,0,0.7914891966742987
IS,上流,部品,1,0.7918296828184272
IS,上流,部品,2,0.792038186354765
IS,上流,部品,3,0.791853898076999
IS,上流,部品,4,0.7917068236385177
IS,上流,部品,5,0.7917199555942336
IS,上流,AI下流,-5,0.5507811198127026
IS,上流,AI下流,-4,0.550877685714637
IS,上流,AI下流,-3,0.550821046859269
IS,上流,AI下流,-2,0.5511194270680605
IS,上流,AI下流,-1,0.5505255214312241
IS,上流,AI下流,0,0.5504555002029544
IS,上流,AI下流,1,0.5505255214312241
IS,上流,AI下流,2,0.5511194270680605
IS,上流,AI下流,3,0.550821046859269
IS,上流,AI下流,4,0.550877685714637
IS,上流,AI下流,5,0.5507811198127026
IS,装置,上流,-5,0.7713843604065791
IS,装置,上流,-4,0.7706943812567218
IS,装置,上流,-3,0.7707084979533453
IS,装置,上流,-2,0.7708106808864099
IS,装置,上流,-1,0.7709484082058693
IS,装置,上流,0,0.7705744221292512
IS,装置,上流,1,0.7709484082058693
IS,装置,上流,2,0.7708106808864099
IS,装置,上流,3,0.7707084979533453
IS,装置,上流,4,0.7706943812567218
IS,装置,上流,5,0.7713843604065791
IS,装置,部品,-5,0.7519433904595441
IS,装置,部品,-4,0.7515374547070159
IS,装置,部品,-3,0.7514770340677003
IS,装置,部品,-2,0.7515151209791546
IS,装置,部品,-1,0.7515415286225734
IS,装置,部品,0,0.7515786281884488
IS,装置,部品,1,0.7515415286225734
IS,装置,部品,2,0.7515151209791546
IS,装置,部品,3,0.7514770340677003
IS,装置,部品,4,0.7515374547070159
IS,装置,部品,5,0.7519433904595441
IS,装置,AI下流,-5,0.5005401793367888
IS,装置,AI下流,-4,0.49893544022871417
IS,装置,AI下流,-3,0.49827919200043125
IS,装置,AI下流,-2,0.49857229289309096
IS,装置,AI下流,-1,0.49839197981875094
IS,装置,AI下流,0,0.4981727381032553
IS,装置,AI下流,1,0.49839197981875094
IS,装置,AI下流,2,0.49857229289309096
IS,装置,AI下流,3,0.49827919200043125
IS,装置,AI下流,4,0.49893544022871417
IS,装置,AI下流,5,0.5005401793367888
IS,部品,上流,-5,0.7917199555942336
IS,部品,上流,-4,0.7917068236385177
IS,部品,上流,-3,0.791853898076999
IS,部品,上流,-2,0.792038186354765
IS,部品,上流,-1,0.7918296828184272
IS,部品,上流,0,0.7914891966742987
IS,部品,上流,1,0.7918296828184272
IS,部品,上流,2,0.792038186354765
IS,部品,上流,3,0.791853898076999
IS,部品,上流,4,0.7917068236385177
IS,部品,上流,5,0.7917199555942336
IS,部品,装置,-5,0.7519433904595441
IS,部品,装置,-4,0.7515374547070159
IS,部品,装置,-3,0.7514770340677003
IS,部品,装置,-2,0.7515151209791546
IS,部品,装置,-1,0.7515415286225734
IS,部品,装置,0,0.7515786281884488
IS,部品,装置,1,0.7515415286225734
IS,部品,装置,2,0.7515151209791546
IS,部品,装置,3,0.7514770340677003
IS,部品,装置,4,0.7515374547070159
IS,部品,装置,5,0.7519433904595441
