label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe
全期間 (2025/1~),3197,37.6,33.6,277.2,7.66,0.0,56.8,1.92
関税ショック除外,2908,26.5,22.5,230.0,6.21,0.0,55.9,1.55
ショック前 (~4/1),427,12.1,8.1,163.8,1.53,0.1272,56.7,0.79
ショック期間 (4/2~4/25),289,149.1,145.1,551.4,4.59,0.0,65.4,4.18
ショック後 (4/26~),2481,28.9,24.9,239.4,6.02,0.0,55.8,1.65
