層,n,生ギャップ平均,生ギャップ中央値,生勝率,超過平均,超過t,翌日寄引
市場≤-1.5%,145,-1.4285867851826504,-2.970297029702973,21.379310344827587,0.3394340947460501,0.6119516513434717,1.6738186830629351
-1.5〜-0.5%,999,1.7245255749201582,0.0,47.74774774774775,2.6163951844510334,11.895977471464954,-1.069276239442523
-0.5〜+0.5%,3587,3.6471659580709948,1.9230769230769162,62.810147755784776,3.6339265316669787,29.30154929874306,-1.467616475639801
+0.5〜+1.5%,1410,3.993405490929385,2.6254384666050568,70.70921985815602,3.1619906515846927,17.091601180094212,-1.9838537170722355
市場>+1.5%,147,6.961527453944922,6.78391959798994,82.99319727891157,5.250841218169691,6.6776057753046345,0.9789375777334879
