出来高比,n,生ギャップ平均,生ギャップ中央値,生勝率,超過平均,超過t
<0.5x(気配張付),821,8.030750304177362,6.951871657754016,80.63337393422655,7.990024745801957,24.739170082620504
0.5-1x,689,4.5540033504355995,3.3129904097646046,66.76342525399129,4.543169827790484,15.872598186635058
1-2x,1181,3.1774305896485022,2.0740740740740726,62.48941574936494,3.1609763241615543,16.93959606501224
2-5x,1924,2.445037921859369,1.4234875444839812,58.991683991684,2.365034596868593,16.162212469347327
>5x(大商い),1673,1.8316400112508648,0.3324468085106336,52.898983861326954,1.7660954865741512,10.792269317240425
