sym,time,N,corr,dev_std
5711.T,9:30,257,-0.02060581786846956,56.950035317286634
5711.T,10:00,257,0.007250228793691052,60.93751463123019
5711.T,11:00,257,-0.043373880238906565,75.33578458732595
5711.T,11:30,257,-0.1205219112345497,83.93916702906932
5711.T,13:30,257,0.011564352962035788,79.68184495138134
5711.T,14:00,257,0.005315275823592237,76.35425873969146
6501.T,9:30,258,0.03076438924688577,56.270857899550755
6501.T,10:00,258,-0.0758551724057101,66.67241555160625
6501.T,11:00,258,-0.16494342309102245,74.64853291862804
6501.T,11:30,258,-0.1494849599344448,74.58433099565548
6501.T,13:30,258,0.051153944670926516,72.93232989010298
6501.T,14:00,258,0.03610347185567393,71.12129497035983
7011.T,9:30,258,0.011801664301796211,58.399767295004054
7011.T,10:00,258,-0.01792067161455632,66.08184248910455
7011.T,11:00,258,-0.09027513273503121,76.01914091876192
7011.T,11:30,258,-0.04297373665044881,79.92900672092958
7011.T,13:30,258,0.03737371669140941,87.574771852818
7011.T,14:00,258,-0.009919191565889706,92.69033091763775
5016.T,9:30,256,-0.15928977797489624,75.47823771288402
5016.T,10:00,256,-0.19826213494049122,92.86213952265167
5016.T,11:00,256,-0.017558087026220207,108.3357987703577
5016.T,11:30,256,-0.03633178683781517,122.17020230297757
5016.T,13:30,256,-0.021835229363620777,130.91138762341907
5016.T,14:00,256,0.04816304284107242,122.53661215188501
4502.T,9:30,258,0.14315853197532946,36.03767374915927
4502.T,10:00,258,0.040475466378251064,38.82537094063537
4502.T,11:00,258,0.089814293192436,40.66269353657865
4502.T,11:30,258,0.005833597238145828,42.93486018384849
4502.T,13:30,258,-0.06917612278690663,42.769293172199
4502.T,14:00,258,-0.029148938939083387,41.60340966758027
5706.T,9:30,258,-0.02752717305080778,88.14509003181675
5706.T,10:00,258,-0.031522549961983955,98.68760661384783
5706.T,11:00,258,0.003476315172887744,115.11630315809475
5706.T,11:30,258,-0.11283600478245753,134.57287682875264
5706.T,13:30,258,-0.005499974568582605,127.32442780528586
5706.T,14:00,258,-0.018929377475648056,129.0523391336375
5713.T,9:30,258,-0.009526977498864221,70.6736856180339
5713.T,10:00,258,-0.032730185060465114,78.78721314304943
5713.T,11:00,258,0.07026710480388186,94.20730841424584
5713.T,11:30,258,-0.01846436491618093,103.43990707154741
5713.T,13:30,258,0.07755834019773188,112.3768193089205
5713.T,14:00,258,0.058620105037802676,106.86069587505972
1605.T,9:30,258,-0.01665197434264074,53.795441744288574
1605.T,10:00,258,0.015913356945449316,56.025676398421446
1605.T,11:00,258,0.008268446888266584,64.22939442051235
1605.T,11:30,258,-0.047966833201413095,66.09104586615283
1605.T,13:30,258,0.04438920152813596,65.71089108386481
1605.T,14:00,258,0.06517160344293149,66.88082800057434
5020.T,9:30,258,0.22250102093324836,52.39065701233989
5020.T,10:00,258,0.09785401246709499,61.21224513483607
5020.T,11:00,258,-0.03687709950192755,65.8758327122769
5020.T,11:30,258,-0.09473326968428687,68.11193868644165
