sym,break_dir,persist,hold,N,mean,wr,pf,sharpe,t
5711.T,up,20,30,219,-3.6691789287406977,44.29223744292237,0.7595450930152133,-1.5393313181913795,-1.4350065796391016
5711.T,down,20,30,264,-5.511582608992977,40.15151515151515,0.6885402190757721,-2.0888082835825657,-2.1379634390654196
5711.T,up,20,60,219,-7.687236403429261,44.74885844748858,0.671806078633272,-1.950213187911865,-1.8180418492625887
5711.T,down,20,60,264,-6.718536160190714,39.39393939393939,0.7081905999899311,-1.7460794030072893,-1.787169246060298
5711.T,up,20,120,219,-6.430136663525603,43.83561643835616,0.7499717639527588,-1.4700925914486522,-1.3704603528018624
5711.T,down,20,120,264,-4.307926983617935,43.56060606060606,0.8394845265756172,-0.9580945377774636,-0.9806410234180462
5711.T,up,30,30,160,-1.1700886660794176,45.0,0.9123008718397722,-0.503345983963291,-0.4010756802843308
5711.T,down,30,30,190,-4.559070298943741,40.0,0.7416849842595485,-1.6291052368409402,-1.4145739947282594
5711.T,up,30,60,160,-4.724494724388924,45.625,0.7613254390897806,-1.4290091173035928,-1.1386617200006286
5711.T,down,30,60,190,-3.627204412351877,38.94736842105263,0.8366534607075844,-0.9252263289294871,-0.8033864691758607
5711.T,up,30,120,160,-1.1999592606970721,45.0,0.9437493598102793,-0.31933598991972806,-0.25445300742811894
5711.T,down,30,120,190,-0.30864648435028275,43.15789473684211,0.987702521139981,-0.06845455245495372,-0.059440008867268516
5711.T,up,60,30,87,-0.4984688088471662,47.12643678160919,0.9615829712510864,-0.2066118279911922,-0.12139883974645595
5711.T,down,60,30,102,-4.350517521519381,36.27450980392157,0.7758198016360005,-1.3450654253613725,-0.855742743031479
5711.T,up,60,60,87,-1.8993981629236054,47.12643678160919,0.8991759700466473,-0.5358609929215191,-0.31485565680600547
5711.T,down,60,60,102,1.7565089249815322,35.294117647058826,1.0853130569619227,0.3954100006175273,0.2515634051478303
5711.T,up,60,120,87,-3.2025290576582295,42.5287356321839,0.8533768872630084,-0.8495496750943479,-0.49916960643622504
5711.T,down,60,120,102,1.2663987135252808,39.21568627450981,1.0504139887415989,0.25983054422360014,0.16530653338110182
6501.T,up,20,30,281,-6.214880970634931,37.72241992882562,0.6378888564309452,-2.4214124846477216,-2.556946650906772
6501.T,down,20,30,257,-3.1501943516867144,38.91050583657588,0.7890126144948443,-1.3408325373895222,-1.354069112359881
6501.T,up,20,60,281,-2.9520919621628465,43.77224199288256,0.8431536761191151,-0.9829826303057513,-1.0380032978253546
6501.T,down,20,60,257,0.3268327433187969,43.57976653696498,1.0191036756972298,0.09920925175002883,0.10018863632037878
6501.T,up,20,120,281,-4.158218805074297,43.41637010676156,0.8245773957464498,-1.1143414771208273,-1.17671471752783
6501.T,down,20,120,257,3.2578760670587883,45.91439688715953,1.1678944272593905,0.800782303903441,0.8086875528476462
6501.T,up,30,30,209,-5.916204820975226,36.36363636363637,0.6386573903971238,-2.4066408344143495,-2.1917153734647132
6501.T,down,30,30,179,-2.378136917405619,39.10614525139665,0.8390790510310873,-0.995972051513592,-0.8394085658913305
6501.T,up,30,60,209,-2.3771216368740644,43.54066985645933,0.86435233326332,-0.8240342616617345,-0.7504437445420331
6501.T,down,30,60,179,1.2315229095616134,41.340782122905026,1.0744319918396972,0.36973170542331923,0.3116111141294499
6501.T,up,30,120,209,-4.732084649154567,43.0622009569378,0.7876934096128045,-1.3620637466199672,-1.2404244166464427
6501.T,down,30,120,179,3.6782556429133257,44.6927374301676,1.1963850139903234,0.946030699157104,0.7973178276055272
6501.T,up,60,30,114,-4.950364561559703,35.96491228070175,0.6730336549738005,-2.2260796506649805,-1.4972449429900503
6501.T,down,60,30,95,-5.173617332179221,35.78947368421053,0.6323908901285513,-2.6418180046855047,-1.6220507120478542
6501.T,up,60,60,114,0.40457467587564505,43.859649122807014,1.0285632235296358,0.16224849204393377,0.10912715281682478
6501.T,down,60,60,95,-1.845476439909583,38.94736842105263,0.8769090117194001,-0.7588327232203307,-0.4659159551648516
6501.T,up,60,120,114,0.7291560362152486,45.614035087719294,1.0388651773066182,0.21867951860757107,0.1470822498525053
6501.T,down,60,120,95,-2.979366124494714,38.94736842105263,0.8356289363722632,-0.9731116134541044,-0.597481121979548
7011.T,up,20,30,276,-3.479393723743458,43.47826086956522,0.8254549228690635,-1.0508839468492457,-1.0997881312010642
7011.T,down,20,30,244,-1.2388405512146459,45.08196721311475,0.9419625345129873,-0.3165019179652811,-0.31143756052384614
